panel,row_role,sample_index_or_refinement_index,phase_theta_radians,coupling_helicity_positive,coupling_helicity_negative,signed_control_two_cos_two_theta,direction_cosine_z,quadrupole_K_S0,quadrupole_positive_part,quadrupole_negative_part,radius_r,source_square_norm_normalized,core_dual_square_norm_normalized,cauchy_product_normalized,signed_pairing_normalized,source_square_norm_raw_Lambda_4,signed_pairing_raw_Lambda_2,exact_summary
A,phase-sweep,39,3.4033920413889427,1,1,1.7320508075688772,,,,,,,,,,,,
A,phase-sweep,40,3.4906585039886591,1,1,1.5320888862379562,,,,,,,,,,,,
A,phase-sweep,41,3.5779249665883754,1,1,1.2855752193730792,,,,,,,,,,,,
A,phase-sweep,42,3.6651914291880918,1,1,1.0000000000000011,,,,,,,,,,,,
A,phase-sweep,43,3.7524578917878082,1,1,0.68404028665133898,,,,,,,,,,,,
A,phase-sweep,44,3.839724354387525,1,1,0.34729635533386088,,,,,,,,,,,,
A,phase-sweep,45,3.9269908169872414,1,1,6.1232339957367663e-16,,,,,,,,,,,,
A,phase-sweep,46,4.0142572795869578,1,1,-0.34729635533385972,,,,,,,,,,,,
A,phase-sweep,47,4.1015237421866741,1,1,-0.68404028665133609,,,,,,,,,,,,
A,phase-sweep,48,4.1887902047863905,1,1,-0.99999999999999845,,,,,,,,,,,,
A,phase-sweep,49,4.2760566673861069,1,1,-1.2855752193730769,,,,,,,,,,,,
A,phase-sweep,50,4.3633231299858233,1,1,-1.5320888862379545,,,,,,,,,,,,
A,phase-sweep,51,4.4505895925855405,1,1,-1.7320508075688776,,,,,,,,,,,,
A,phase-sweep,52,4.5378560551852569,1,1,-1.8793852415718169,,,,,,,,,,,,
A,phase-sweep,53,4.6251225177849733,1,1,-1.969615506024416,,,,,,,,,,,,
A,phase-sweep,54,4.7123889803846897,1,1,-2,,,,,,,,,,,,
A,phase-sweep,55,4.7996554429844061,1,1,-1.9696155060244163,,,,,,,,,,,,
A,phase-sweep,56,4.8869219055841224,1,1,-1.8793852415718173,,,,,,,,,,,,
A,phase-sweep,57,4.9741883681838388,1,1,-1.7320508075688783,,,,,,,,,,,,
A,phase-sweep,58,5.0614548307835552,1,1,-1.5320888862379576,,,,,,,,,,,,
A,phase-sweep,59,5.1487212933832716,1,1,-1.2855752193730807,,,,,,,,,,,,
A,phase-sweep,60,5.2359877559829888,1,1,-0.99999999999999967,,,,,,,,,,,,
A,phase-sweep,61,5.3232542185827052,1,1,-0.68404028665133754,,,,,,,,,,,,
A,phase-sweep,62,5.4105206811824216,1,1,-0.34729635533386116,,,,,,,,,,,,
A,phase-sweep,63,5.497787143782138,1,1,-8.5725275940314722e-16,,,,,,,,,,,,
A,phase-sweep,64,5.5850536063818543,1,1,0.34729635533385944,,,,,,,,,,,,
A,phase-sweep,65,5.6723200689815707,1,1,0.68404028665133587,,,,,,,,,,,,
A,phase-sweep,66,5.7595865315812871,1,1,0.99999999999999822,,,,,,,,,,,,
A,phase-sweep,67,5.8468529941810035,1,1,1.2855752193730767,,,,,,,,,,,,
A,phase-sweep,68,5.9341194567807198,1,1,1.5320888862379543,,,,,,,,,,,,
A,phase-sweep,69,6.0213859193804371,1,1,1.7320508075688774,,,,,,,,,,,,
A,phase-sweep,70,6.1086523819801535,1,1,1.8793852415718166,,,,,,,,,,,,
A,phase-sweep,71,6.1959188445798699,1,1,1.969615506024416,,,,,,,,,,,,
A,phase-sweep,72,6.2831853071795862,1,1,2,,,,,,,,,,,,
B,directional-quadrupole,0,,,,,-1,1,1,0,,,,,,,,
B,directional-quadrupole,1,,,,,-0.95833333333333337,0.87760416666666696,0.87760416666666696,0,,,,,,,,
B,directional-quadrupole,2,,,,,-0.91666666666666663,0.76041666666666652,0.76041666666666652,0,,,,,,,,
B,directional-quadrupole,3,,,,,-0.875,0.6484375,0.6484375,0,,,,,,,,
B,directional-quadrupole,4,,,,,-0.83333333333333337,0.54166666666666674,0.54166666666666674,0,,,,,,,,
B,directional-quadrupole,5,,,,,-0.79166666666666674,0.44010416666666696,0.44010416666666696,0,,,,,,,,
B,directional-quadrupole,6,,,,,-0.75,0.34375,0.34375,0,,,,,,,,
B,directional-quadrupole,7,,,,,-0.70833333333333337,0.25260416666666674,0.25260416666666674,0,,,,,,,,
B,directional-quadrupole,8,,,,,-0.66666666666666674,0.16666666666666674,0.16666666666666674,0,,,,,,,,
B,directional-quadrupole,9,,,,,-0.625,0.0859375,0.0859375,0,,,,,,,,
B,directional-quadrupole,10,,,,,-0.58333333333333337,0.010416666666666741,0.010416666666666741,0,,,,,,,,
B,directional-quadrupole,11,,,,,-0.54166666666666674,-0.059895833333333259,0,-0.059895833333333259,,,,,,,,
B,directional-quadrupole,12,,,,,-0.5,-0.125,0,-0.125,,,,,,,,
B,directional-quadrupole,13,,,,,-0.45833333333333337,-0.18489583333333326,0,-0.18489583333333326,,,,,,,,
B,directional-quadrupole,14,,,,,-0.41666666666666674,-0.23958333333333326,0,-0.23958333333333326,,,,,,,,
B,directional-quadrupole,15,,,,,-0.375,-0.2890625,0,-0.2890625,,,,,,,,
B,directional-quadrupole,16,,,,,-0.33333333333333337,-0.33333333333333331,0,-0.33333333333333331,,,,,,,,
B,directional-quadrupole,17,,,,,-0.29166666666666674,-0.37239583333333326,0,-0.37239583333333326,,,,,,,,
B,directional-quadrupole,18,,,,,-0.25,-0.40625,0,-0.40625,,,,,,,,
B,directional-quadrupole,19,,,,,-0.20833333333333337,-0.43489583333333331,0,-0.43489583333333331,,,,,,,,
B,directional-quadrupole,20,,,,,-0.16666666666666674,-0.45833333333333331,0,-0.45833333333333331,,,,,,,,
B,directional-quadrupole,21,,,,,-0.125,-0.4765625,0,-0.4765625,,,,,,,,
B,directional-quadrupole,22,,,,,-0.08333333333333337,-0.48958333333333331,0,-0.48958333333333331,,,,,,,,
B,directional-quadrupole,23,,,,,-0.041666666666666741,-0.49739583333333331,0,-0.49739583333333331,,,,,,,,
B,directional-quadrupole,24,,,,,0,-0.5,0,-0.5,,,,,,,,
B,directional-quadrupole,25,,,,,0.041666666666666519,-0.49739583333333337,0,-0.49739583333333337,,,,,,,,
B,directional-quadrupole,26,,,,,0.083333333333333259,-0.48958333333333337,0,-0.48958333333333337,,,,,,,,
B,directional-quadrupole,27,,,,,0.125,-0.4765625,0,-0.4765625,,,,,,,,
B,directional-quadrupole,28,,,,,0.16666666666666652,-0.45833333333333343,0,-0.45833333333333343,,,,,,,,
B,directional-quadrupole,29,,,,,0.20833333333333326,-0.43489583333333337,0,-0.43489583333333337,,,,,,,,
B,directional-quadrupole,30,,,,,0.25,-0.40625,0,-0.40625,,,,,,,,
B,directional-quadrupole,31,,,,,0.29166666666666652,-0.37239583333333348,0,-0.37239583333333348,,,,,,,,
B,directional-quadrupole,32,,,,,0.33333333333333326,-0.33333333333333337,0,-0.33333333333333337,,,,,,,,
B,directional-quadrupole,33,,,,,0.375,-0.2890625,0,-0.2890625,,,,,,,,
B,directional-quadrupole,34,,,,,0.41666666666666652,-0.23958333333333348,0,-0.23958333333333348,,,,,,,,
B,directional-quadrupole,35,,,,,0.45833333333333326,-0.18489583333333348,0,-0.18489583333333348,,,,,,,,
B,directional-quadrupole,36,,,,,0.5,-0.125,0,-0.125,,,,,,,,
B,directional-quadrupole,37,,,,,0.54166666666666652,-0.059895833333333592,0,-0.059895833333333592,,,,,,,,
B,directional-quadrupole,38,,,,,0.58333333333333326,0.010416666666666519,0.010416666666666519,0,,,,,,,,
B,directional-quadrupole,39,,,,,0.625,0.0859375,0.0859375,0,,,,,,,,
B,directional-quadrupole,40,,,,,0.66666666666666652,0.16666666666666641,0.16666666666666641,0,,,,,,,,
B,directional-quadrupole,41,,,,,0.70833333333333326,0.25260416666666652,0.25260416666666652,0,,,,,,,,
B,directional-quadrupole,42,,,,,0.75,0.34375,0.34375,0,,,,,,,,
B,directional-quadrupole,43,,,,,0.79166666666666652,0.4401041666666663,0.4401041666666663,0,,,,,,,,
B,directional-quadrupole,44,,,,,0.83333333333333326,0.54166666666666652,0.54166666666666652,0,,,,,,,,
B,directional-quadrupole,45,,,,,0.875,0.6484375,0.6484375,0,,,,,,,,
B,directional-quadrupole,46,,,,,0.91666666666666652,0.76041666666666607,0.76041666666666607,0,,,,,,,,
B,directional-quadrupole,47,,,,,0.95833333333333326,0.87760416666666652,0.87760416666666652,0,,,,,,,,
B,directional-quadrupole,48,,,,,1,1,1,0,,,,,,,,
C,critical-scale-ledger,1,,,,,,,,,0.5,0.5,2,1,1,0.001953125,0.0625,
C,critical-scale-ledger,2,,,,,,,,,0.25,0.25,4,1,1,0.0009765625,0.0625,
C,critical-scale-ledger,3,,,,,,,,,0.125,0.125,8,1,1,0.00048828125,0.0625,
C,critical-scale-ledger,4,,,,,,,,,0.0625,0.0625,16,1,1,0.000244140625,0.0625,
C,critical-scale-ledger,5,,,,,,,,,0.03125,0.03125,32,1,1,0.0001220703125,0.0625,
C,critical-scale-ledger,6,,,,,,,,,0.015625,0.015625,64,1,1,6.103515625e-05,0.0625,
C,critical-scale-ledger,7,,,,,,,,,0.0078125,0.0078125,128,1,1,3.0517578125e-05,0.0625,
C,critical-scale-ledger,8,,,,,,,,,0.00390625,0.00390625,256,1,1,1.52587890625e-05,0.0625,
C,critical-scale-ledger,9,,,,,,,,,0.001953125,0.001953125,512,1,1,7.62939453125e-06,0.0625,
C,critical-scale-ledger,10,,,,,,,,,0.0009765625,0.0009765625,1024,1,1,3.814697265625e-06,0.0625,
C,critical-scale-ledger,11,,,,,,,,,0.00048828125,0.00048828125,2048,1,1,1.9073486328125e-06,0.0625,
C,critical-scale-ledger,12,,,,,,,,,0.000244140625,0.000244140625,4096,1,1,9.5367431640625e-07,0.0625,
summary,exact-summary,0,,,,,,,,,,,,,,,,sphere_signed_mean=0
summary,exact-summary,1,,,,,,,,,,,,,,,,sphere_positive_part_mean=0.19245008972987523
summary,exact-summary,2,,,,,,,,,,,,,,,,positive_angular_zero=0.57735026918962584
summary,exact-summary,3,,,,,,,,,,,,,,,,negative_angular_zero=-0.57735026918962584
summary,exact-summary,4,,,,,,,,,,,,,,,,great_circle_mean_e3=-0.5
summary,exact-summary,5,,,,,,,,,,,,,,,,same_shell_pairing=1.46
summary,exact-summary,6,,,,,,,,,,,,,,,,same_shell_second_quadratic=-0.46000000000000002
summary,exact-summary,7,,,,,,,,,,,,,,,,three_axis_positive_sum=1
summary,exact-summary,8,,,,,,,,,,,,,,,,source_square_radius_exponent=1
summary,exact-summary,9,,,,,,,,,,,,,,,,core_dual_square_radius_exponent=-1
summary,exact-summary,10,,,,,,,,,,,,,,,,pairing_radius_exponent=0
