N,same_radius_exact,same_radius_decimal,half_radius_exact,half_radius_decimal
61,11163/484,23.0640495867768607,11163/2573385399839597129941770468702747099136,4.33786559941461029e-36
62,961/41,23.4390243902439011,961/871973565234904812624897431543906041856,1.10209763038070071e-36
63,11907/500,23.8140000000000001,11907/42535295865117307932921825928971026432000,2.79932224704819548e-37
64,3072/127,24.1889763779527556,3/42202988866171078964695874163900940288,7.10850127111430546e-38
65,4225/172,24.5639534883720927,4225/234114268441605662862801729913056529481728,1.80467428496517611e-38
66,3267/131,24.9389312977099245,3267/713231841066287019419233177176986171211776,4.58055825875049309e-39
67,13467/532,25.313909774436091,13467/11585934028924112804000978633836844063653888,1.16235773191698091e-39
68,1156/45,25.68888888888889,289/980013216732302774774518869403492448993280,2.94893982107327348e-40
69,14283/548,26.0638686131386876,14283/190950130762418460649399587709551595394957312,7.47996345588839274e-41
70,3675/139,26.4388489208633111,3675/193737723912234788542091552493632640583204864,1.89689438163566617e-41
71,5041/188,26.8138297872340416,5041/1048135024330939287652178758814472990781079552,4.80949484845031667e-42
72,3888/143,27.1888111888111901,243/199312910211867444327475482061794730959699968,1.21918845970235279e-42
73,15987/580,27.5637931034482762,15987/51737728860591045688362866392544198693874565120,3.09000807574632424e-43
74,1369/49,27.9387755102040813,1369/17483784235648008542964003125756315420688646144,7.83011264351295735e-44
75,16875/596,28.3137583892617464,16875/850639624852752089110738437791899101284116987904,1.98380130750681957e-44
76,4332/151,28.6887417218543064,1083/215514401598599942039801181386873765593794740224,5.02518621478071848e-45
77,5929/204,29.0637254901960773,5929/4658536468992253051774245404283152125153284980736,1.27271730928030639e-45
78,4563/155,29.4387096774193537,4563/14158297111643122020098196816938991752916846510080,3.22284520802123995e-46
79,18723/628,29.813694267515924,18723/229455757060951758157978518736456434085981409247232,8.15974296736712231e-47
80,1600/53,30.1886792452830193,25/1210306043414653979137426502093171875652569137152,2.06559325519577991e-47
81,19683/644,30.5636645962732914,19683/3764828217764405917292692129077145058633682230706176,5.2281269852168632e-48
82,5043/163,30.9386503067484675,5043/3811596270158994810675210043724066115262672072081408,1.3230677234841662e-48
83,6889/220,31.3136363636363626,6889/20577943053619113088307882444645264916755530205102080,3.34775928869547913e-49
84,5292/167,31.6886227544910177,1323/15620529499792690389760983492071632914082607019327488,8.46962326096281393e-50
85,21675/676,32.0636094674556205,21675/1011686509399746941650627529642196296998308248629018624,2.14246209656983503e-50
86,1849/57,32.4385964912280684,1849/341219710270920566118850705263936029165109882673692672,5.41879599666718145e-51
87,22707/692,32.813583815028899,22707/16570108035612423280999627231062718047877616758610198528,1.37035920050721372e-51
88,5808/175,33.1885714285714286,363/1047604373638791211768401288091031668489372446805196800,3.46504853486952507e-52
89,7921/236,33.5635593220338961,7921/90417236911087442643142474601868241833505608208832528384,8.76049774424005245e-53
90,6075/179,33.9385474860335208,6075/274316701814994105646144117859905343867754302870864789504,2.21459355547994625e-53
91,24843/724,34.3135359116022087,24843/4438107086347614133805772990627295395759868497843711901696,5.59765672992014292e-54
92,2116/61,34.6885245901639365,529/373928911971276881439436674624675440802972345812798930944,1.41470740310295889e-54
93,25947/740,35.063513513513513,25947/72578988815408496331851315205838642936183484826615399055360,3.57500158427275577e-55
94,6627/187,35.4385026737967905,6627/73363626532331831427330788883739601238196279257173403369472,9.03308671236343184e-56
95,9025/252,35.8134920634920633,9025/395457409329360888121654733662082984214448393001234174312448,2.28216738063021932e-56
96,6912/191,36.1884816753926728,27/4683306372886156351143108514971344865138866757393088249856,5.76515774332330416e-57
97,28227/772,36.5634715025906729,28227/19383690158874070198724917738865273892924073612504938575822848,1.45622426734247829e-57
98,2401/65,36.9384615384615387,2401/6528185804802147994389221000135973072746449662242595893411840,3.67789776791251725e-58
99,29403/788,37.3134517766497495,29403/316566794719021084281766532191209032696873989775210188554371072,9.28808721903305411e-59
100,7500/199,37.6884422110552748,1875/79945167701884766208212614093972839475479598940693943556243456,2.34535751678183723e-59
101,10201/268,38.0634328358208975,10201/1722637583445637575380983362989726309903801609335153919443075072,5.92173310162887219e-60
102,7803/203,38.4384236453201993,7803/5219334767753200414960292875924096132992115323806511129058869248,1.495018110010791e-60
103,31827/820,38.8134146341463406,31827/84332108562711809660442170606064213380365213113720967996616212480,3.77400737897268584e-61
104,2704/69,39.1884057971014528,169/1774059600861925264198326149944643513184512105136203290172719104,9.5261737496243935e-62
105,33075/836,39.5633971291866047,33075/1375641809920528251241554236617945022165567183669672765759437144064,2.4043322732325769e-62
106,8427/211,39.9383886255924168,8427/1388805846379097899578793990078403826205429070594741404666226016256,6.06780279761272595e-63
107,11449/284,40.3133802816901436,11449/7477172708467560255552179965540600694641551773438986899056079405056,1.53119373410146399e-63
108,8748/215,40.6883720930232542,2187/5660535677184948785013093987997285737140611377779514729919215042560,3.86359193673984726e-64
109,35643/868,41.0633640552995374,35643/365644276673230552215171392117703741011203771230706514274967714004992,9.7479988813973644e-65
110,3025/73,41.4383561643835634,3025/123004756668874794063168256334527064948469471427841361945035221762048,2.45925448894892058e-65
111,36963/884,41.8133484162895925,36963/5958148213440291394621410334231338378873808917381466518323897865076736,6.20377316506150027e-66
112,9408/223,42.1883408071748889,147/93938564168353010534542880693834025628454425097289807238845391962112,1.5648525320927023e-66
113,12769/300,42.5633333333333326,12769/32351936000580767753600418104423556808364573307048686977324332299059200,3.94690444484397357e-67
114,9747/227,42.9383259911894299,9747/97918526295091123734230598796055298606650108542667359251368312425152512,9.95419392917133768e-68
115,39675/916,43.3133187772925794,39675/1580499913415039107322559092461438828611303954627018521132218047250038784,2.5102816939909159e-68
116,3364/77,43.6883116883116855,841/132858617175718352908119050348832739959683847714279941186878591308136448,6.33003728232167449e-69
117,41067/932,44.0633047210300433,41067/25729710380835221799556769854568750886737734248251201077645890306323775488,1.59609258682479227e-69
118,10443/235,44.4382978723404278,10443/25950566263932519840754682042161615701216169735360653447411091081485352960,4.02418964341222818e-70
119,14161/316,44.8132911392405049,14161/139580918117492362037080502558690562750371227853173897691606889902116962304,1.01453695755747682e-70
120,10800/239,45.1882845188284534,675/26392278030127115923150506417347345330173040709579558186941492631808507904,2.55756626703264898e-71
121,43923/964,45.5632780082987523,43923/6812962281785449974873195162864693797030777906352386702516913512184341856256,6.44697536597681636e-72
122,3721/81,45.9382716049382722,3721/2289833795952786091139953560962822396512419130350802169725601636875235229696,1.62500876988397942e-72
123,45387/980,46.313265306122446,45387/110816647902900265151464419246595849312699790012038821053387140945073112350720,4.09568425492972704e-73
124,11532/247,46.6882591093117441,2883/27930318400016699482052766891744055898200865441809784489986350830033733419008,1.03221164854256601e-73
125,15625/332,47.0632530120481931,15625/600671462918577763759774484732568521988838045453010425954686217041049360007168,2.60125558888386888e-74
126,11907/251,47.4382470119521926,11907/1816488399910397815707269827323791554448172884442236348368990849124137221226496,6.55495515445479236e-75
127,48387/1012,47.8132411067193672,48387/29295398577040997442163459207198040686877306120407062701982768754002021798903808,1.65169283745199561e-75
128,4096/85,48.1882352941176464,1/2402912008098602688233284601010369181525378099750841783045384433757962895360,4.16161722372551114e-76
