panel,row_role,series,x_exact,exact_value,numeric_value,context
C,optimized-amplification,k=2,3/10000,sqrt(1001201981944842711133312/3953362756745116084825)/16,0.99462079356884259,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/1000,sqrt(37186002670523264/150561925561775)/16,0.98222771726121016,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/1000,sqrt(1012199952455197312/4399846523262325)/16,0.94796959885922727,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/100,sqrt(4825338208/26752675)/16,0.83938323297711803,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/100,sqrt(8920558154/97337525)/16,0.59832325394563513,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1/10,sqrt(1009664/78275)/16,0.22446928075048214,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,3/10,sqrt(117932032/85055425)/16,0.073594421983227853,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=2,1,sqrt(2176/4459)/16,0.043660703250151901,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/100000000,sqrt(820125032805007135087772281504051417553144100531441/125000225000184287649467567268677514944506725025)/81,0.99999912000046409,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/100000000,sqrt(820125098415064215794851600828164830414016687420489/125000675001658591535627948762881131518402543225)/81,0.99999736000417605,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/10000000,sqrt(820125328050713509022281540514180314410531441/125002250018428899468172686776494456725025)/81,0.99999120004639952,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/10000000,sqrt(820125984156421586101603781649466402017420489/125006750165862785676987629138156252543225)/81,0.99997360041758854,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/1000000,sqrt(820128280571351147281905142281441531441/125022501843024474226867899451725025)/81,0.99991200463957586,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/1000000,sqrt(820134842142165226633316610890550420489/125067516589911167376324070037543225)/81,0.99973604174855213,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/100000,sqrt(820157812135359785551470644631441/125225184437034768692451225025)/81,0.9991204635763854,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/100000,sqrt(820223479223139428677731903720489/125676662628571266513916043225)/81,0.99736416459177235,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/10000,sqrt(820453763781072019489941441/127268578890188276175025)/81,0.99124598124965035,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/10000,sqrt(821115578933633439964050489/131919948860496828893225)/81,0.97400657817617708,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/1000,sqrt(823477123562173722441/149499069523920025)/81,0.91626586134872079,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/1000,sqrt(830616042421509333489/213666415005428225)/81,0.76974523096278269,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/100,sqrt(860341474093041/751045347025)/81,0.41784704077857149,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/100,sqrt(990448854254289/11951506934225)/81,0.11238793049007048,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1/10,sqrt(545081319/212794375)/81,0.019759027168402249,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,3/10,sqrt(1283620284/3997604975)/81,0.0069957346513775985,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=3,1,sqrt(7263027/55010683)/81,0.0044859072703543274,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/100000000,sqrt(4629629814815106944456055555729537039351851875/11852005926890377583738702689037639853811)/625,0.99999352002258879,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/100000000,sqrt(125000015000070987508464500380497515187500455625/320012480234364682574078780927955106561913)/625,0.99998056020329529,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/10000000,sqrt(4629631481510694456055557295370601851875/11853392689043183915026890430653811)/625,0.99993520225873267,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/10000000,sqrt(125000150007098758464503804976518750455625/320124823440423759699809635545361913)/625,0.99980562032594622,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/1000000,sqrt(4629648151069456055572953726851875/11867268909745678268909733811)/625,0.99935222574093518,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/1000000,sqrt(125001500709883464538049901875455625/321250348001695910131989241913)/625,0.99805802902949037,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/100000,sqrt(4629815106956055729539351875/12006896419310689641811)/625,0.99354244310262607,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/100000,sqrt(125015070995964880512687955625/332718797666016917629913)/625,0.98075944589473363,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/10000,sqrt(243763721371436610625/710276907102769)/625,0.93732601514370983,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/10000,sqrt(125157107218306494205625/473059028275308713)/625,0.82298150112342827,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/1000,sqrt(4651081072976875/44891044891)/625,0.51501168221144722,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/1000,sqrt(127218377702080625/12590890316993)/625,0.16082986184384393,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/100,sqrt(204749275/1070107)/625,0.022131842274307395,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/100,sqrt(8793925625/1901239577)/625,0.0034410656131302112,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1/10,sqrt(7703125/31884589)/625,0.00078643538087777934,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,3/10,sqrt(844437500/18431379743)/625,0.00034247179875858657,plotted value=(rhoG/rho0)/kappa(G)^2
C,optimized-amplification,k=5,1,sqrt(122265625/6141206113)/625,0.00022575913478809672,plotted value=(rhoG/rho0)/kappa(G)^2
