panel,series,x,y,xUnit,yUnit,evidence,source
A,certified boundary,0.45,1.05,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.45,1.05,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.45,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.47500000000000003,1.0607142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.47500000000000003,1.0607142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.47500000000000003,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.5,1.0714285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.5,1.0714285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.5,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.525,1.082142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.525,1.082142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.525,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.55,1.092857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.55,1.092857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.55,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.5750000000000001,1.1035714285714284,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.5750000000000001,1.1035714285714284,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.5750000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.6000000000000001,1.1142857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.6000000000000001,1.1142857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.6000000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.625,1.125,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.625,1.125,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.625,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.65,1.1357142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.65,1.1357142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.65,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.675,1.1464285714285716,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.675,1.1464285714285716,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.675,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.7000000000000001,1.157142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.7000000000000001,1.157142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.7000000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.7250000000000001,1.167857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.7250000000000001,1.167857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.7250000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.75,1.1785714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.75,1.1785714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.75,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.775,1.1892857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.775,1.1892857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.775,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.8,1.2,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.8,1.2,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.8,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.8250000000000001,1.2107142857142856,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.8250000000000001,1.2107142857142856,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.8250000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.8500000000000001,1.2214285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.8500000000000001,1.2214285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.8500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.875,1.2321428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.875,1.2321428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.875,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.9,1.2428571428571427,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.9,1.2428571428571427,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.9,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.925,1.2535714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.925,1.2535714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.925,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.9500000000000001,1.2642857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.9500000000000001,1.2642857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.9500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,0.9750000000000001,1.2750000000000001,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,0.9750000000000001,1.2750000000000001,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,0.9750000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.0,1.2857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.0,1.2857142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.0,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.0250000000000001,1.2964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.0250000000000001,1.2964285714285713,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.0250000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.05,1.3071428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.05,1.3071428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.05,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.075,1.3178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.075,1.3178571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.075,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.1,1.3285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.1,1.3285714285714287,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.1,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.125,1.3392857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.125,1.3392857142857142,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.125,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.1500000000000001,1.3499999999999999,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.1500000000000001,1.3499999999999999,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.1500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.175,1.3607142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.175,1.3607142857142858,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.175,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.2000000000000002,1.3714285714285717,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.2000000000000002,1.3714285714285717,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.2000000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.225,1.3821428571428573,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.225,1.3821428571428573,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.225,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.25,1.3928571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.25,1.3928571428571428,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.25,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.2750000000000001,1.4035714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.2750000000000001,1.4035714285714285,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.2750000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.3,1.4142857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.3,1.4142857142857144,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.3,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.3250000000000002,1.4250000000000003,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.3250000000000002,1.4250000000000003,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.3250000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.35,1.4357142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.35,1.4357142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.35,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.375,1.4464285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.375,1.4464285714285714,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.375,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.4000000000000001,1.457142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.4000000000000001,1.457142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.4000000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.425,1.467857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.425,1.467857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.425,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.4500000000000002,1.4785714285714289,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.4500000000000002,1.4785714285714289,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.4500000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.475,1.4892857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.475,1.4892857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.475,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.5,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.5,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.5,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.5250000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.5250000000000001,1.5107142857142857,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.5250000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.55,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.55,1.5214285714285716,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.55,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.5750000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.5750000000000002,1.5321428571428573,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.5750000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.6,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.6,1.542857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.6,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.625,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.625,1.5535714285714286,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.625,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.6500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.6500000000000001,1.5642857142857143,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.6500000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.675,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.675,1.575,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.675,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.7000000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.7000000000000002,1.5857142857142859,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.7000000000000002,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.725,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.725,1.5964285714285715,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.725,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.75,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.75,1.6071428571428572,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.75,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.7750000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,local exposure constraint,1.7750000000000001,1.6178571428571427,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,first-root cap,1.7750000000000001,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
A,certified boundary,1.8,1.5,beta in L=M^-beta,alpha in eta=M^alpha,analytic formula,R0.72A equation (0.7)
