sampleIndex,lambdaExact,lambdaDecimal,activeLowerDecimal,zeroUpperDecimal,activeMinusZeroPpmDecimal,isCertifiedChoice,classification
20,19131/25000,0.76524,1.000000000027996912538757116826,0.99994109235130756768916227152241,58.90767668934484959484530356,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
21,382621/500000,0.765242,1.000000000027063484648931236844,0.9999424623331031089624182353595,57.53769396037568651300148446,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
22,191311/250000,0.765244,1.0000000000261300615991754306416,0.9999438323148986502356741991966,56.16771123141136350123144504,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
23,382623/500000,0.765246,1.0000000000251966433894520527546,0.99994520229669419150893016303369,54.79772850245188052188972091,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
24,11957/15625,0.765248,1.0000000000242632300197234581089,0.99994657227848973278218612687079,53.42774577349723753733123808,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
25,3061/4000,0.76525,1.0000000000233298214899520020209,0.99994794226028527405544209070788,52.057763044547434509911313,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
26,191313/250000,0.765252,1.0000000000223964178001000401974,0.99994931224208081532869805454498,50.68778031560247140198565246,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
27,382627/500000,0.765254,1.0000000000214630189501299287357,0.99995068222387635660195401838207,49.31779758666234817591035366,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
28,95657/125000,0.765256,1.0000000000205296249400040241234,0.99995205220567189787520998221917,47.94781485772706479404190418,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
29,382629/500000,0.765258,1.0000000000195962357696846832382,0.99995342218746743914846594605626,46.57783212879662121873718199,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
30,38263/50000,0.76526,1.0000000000186628514391342633487,0.99995479216926298042172190989336,45.20784939987101741235345539,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
31,382631/500000,0.765262,1.0000000000177294719483151221135,0.99995616215105852169497787373045,43.83786667095025333724838308,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
32,47829/62500,0.765264,1.0000000000167960972971896175817,0.99995753213285406296823383756755,42.46788394203432895578001413,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
33,382633/500000,0.765266,1.0000000000158627274857201081926,0.99995890211464960424148980140464,41.09790121312324423030678792,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
34,191317/250000,0.765268,1.000000000014929362513868952776,0.99996027209644514551474576524174,39.72791848421699912318753423,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
35,76527/100000,0.76527,1.000000000013996002381598510552,0.99996164207824068678800172907883,38.35793575531559359678147316,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
36,95659/125000,0.765272,1.0000000000130626470888711411311,0.99996301206003622806125769291593,36.98795302641902761344821514,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
37,382637/500000,0.765274,1.000000000012129296635649204514,0.99996438204183176933451365675302,35.61797029752730113554776098,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
38,191319/250000,0.765276,1.0000000000111959510218950610919,0.99996575202362731060776962059012,34.24798756864041412544050176,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
39,382639/500000,0.765278,1.0000000000102626102475710716461,0.99996712200542285188102558442721,32.87800483975836654548721894,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
40,4783/6250,0.76528,1.0000000000093292743126395973486,0.99996849198721839315428154826431,31.50802211088115835804908426,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
41,382641/500000,0.765282,1.0000000000083959432170629997612,0.9999698619690139344275375121014,30.1380393820087895254876598,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
42,191321/250000,0.765284,1.0000000000074626169608036408364,0.9999712319508094757007934759385,28.76805665314126001016489794,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
43,382643/500000,0.765286,1.000000000006529295543823882917,0.99997260193260501697404943977559,27.39807392427856977444314138,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
44,95661/125000,0.765288,1.0000000000055959789660860887358,0.99997397191440055824730540361269,26.02809119542071878068512309,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
45,76529/100000,0.76529,1.0000000000046626672275526214161,0.99997534189619609952056136744978,24.65810846656770699125396636,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
46,191323/250000,0.765292,1.0000000000037293603281858444716,0.99997671187799164079381733128688,23.28812573771953436851318476,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
47,382647/500000,0.765294,1.0000000000027960582679481218061,0.99997808185978718206707329512397,21.91814300887620087482668215,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
48,47831/62500,0.765296,1.0000000000018627610468018177137,0.99997945184158272334032925896107,20.54816028003770647255875268,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
49,382649/500000,0.765298,1.0000000000009294686647092968789,0.99998082182337826461358522279816,19.17817755120405112407408074,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
50,7653/10000,0.7653,0.99999999999999618112163292437628,0.99998219180517380588684118663526,17.80819482237523479173774102,true,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
51,382651/500000,0.765302,0.99999999999906289841753506567083,0.99998356178696934716009715047235,16.43821209355125743791519847,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
52,95663/125000,0.765304,0.99999999999812962055237808661775,0.99998493176876488843335311430945,15.0682293647321190249723083,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
53,382653/500000,0.765306,0.99999999999719634752612435346251,0.99998630175056042970660907814654,13.69824663591781951527531597,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
54,191327/250000,0.765308,0.99999999999626307933873623284082,0.99998767173235597097986504198364,12.32826390710835887119085718,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
55,76531/100000,0.76531,0.99999999999532981599017609177863,0.99998904171415151225312100582073,10.9582811783037370550859579,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
56,11958/15625,0.765312,0.99999999999439655748040629769214,0.99999041169594705352637696965783,9.588298449503954029328034314,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
57,382657/500000,0.765314,0.99999999999346330380938921838778,0.99999178167774259479963293349492,8.218315720709009756284892854,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
58,191329/250000,0.765316,0.9999999999925300549770872220622,0.99999315165953813607288889733202,6.848332991918904198324730179,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
59,382659/500000,0.765318,0.99999999999159681098346267730228,0.99999452164133367734614486116911,5.47835026313363731781613317,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
60,19133/25000,0.76532,0.99999999999066357182847795308514,0.99999589162312921861940082500621,4.10836753435320907712807893,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
61,382661/500000,0.765322,0.99999999998973033751209541877808,0.9999972616049247598926567888433,2.738384805577619438629934775,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
62,191331/250000,0.765324,0.99999999998879710803427744413863,0.9999986315867203011659127526804,1.368402076806868364691458228,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
63,382663/500000,0.765326,0.99999999998786388339498639931451,1.0000000015685158424391687165175,-0.001580651959044182317202980891,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
64,47833/62500,0.765328,0.99999999998693066359418465484366,1.0000013715503113837124246803546,-1.371563380720118240025510924,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
65,76533/100000,0.76533,0.9999999999859974486318345816542,1.0000027415321069249856806441917,-2.74154610947635384606253748,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
66,191333/250000,0.765332,0.99999999998506423850789855106444,1.0000041115139024662589366080288,-4.111528838227751038056964338,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
67,382667/500000,0.765334,0.99999999998413103322233893478287,1.0000054814956980075321925718659,-5.481511566974309853637083004,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
68,95667/125000,0.765336,0.99999999998319783277511810490816,1.000006851477493548805448535703,-6.851494295716030330430794805,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
69,382669/500000,0.765338,0.99999999998226463716619843392917,1.0000082214592890900787044995401,-8.221477024452912506065610895,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
70,38267/50000,0.76534,0.9999999999813314463955422947249,1.0000095914410846313519604633772,-9.591459753184956418168652257,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
71,382671/500000,0.765342,0.99999999998039826046311206056454,1.0000109614228801726252164272143,-10.96144248191216210436664971,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
72,23917/31250,0.765344,0.99999999997946507936887010510742,1.0000123314046757138984723910513,-12.33142521063452960228594393,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
73,382673/500000,0.765346,0.99999999997853190311277880240304,1.0000137013864712551717283548884,-13.70140793935205894955248541,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
74,191337/250000,0.765348,0.99999999997759873169480052689103,1.0000150713682667964449843187255,-15.07139066806475018379183451,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
75,15307/20000,0.76535,0.99999999997666556511489765340117,1.0000164413500623377182402825626,-16.44137339677260334262916146,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
76,95669/125000,0.765352,0.99999999997573240337303255715339,1.0000178113318578789914962463997,-17.81135612547561846368924634,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
77,382677/500000,0.765354,0.99999999997479924646916761375774,1.0000191813136534202647522102368,-19.18133885417379558459647908,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
78,191339/250000,0.765356,0.9999999999738660944032651992144,1.0000205512954489615380081740739,-20.55132158286713474297485952,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
79,382679/500000,0.765358,0.99999999997293294717528768991368,1.000021921277244502811264137911,-21.92130431155563597644799733,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
80,9567/12500,0.76536,0.999999999971999804785197462636,1.0000232912590400440845201017481,-23.29128704023929932263911211,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
81,382681/500000,0.765362,0.9999999999710666672329568945519,1.0000246612408355853577760655852,-24.66126976891812481917103331,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
82,191341/250000,0.765364,0.99999999997013353451852836322201,1.0000260312226311266310320294223,-26.03125249759211250366620028,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
83,382683/500000,0.765366,0.9999999999692004066418742465971,1.0000274012044266679042879932594,-27.40123522626126241374666229,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
84,95671/125000,0.765368,0.999999999968267283602956923018,1.0000287711862222091775439570965,-28.77121795492557458703407849,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
85,76537/100000,0.76537,0.99999999996733416540173877121564,1.0000301411680177504507999209336,-30.14120068358504906114971794,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
86,191343/250000,0.765372,0.99999999996640105203818217031107,1.0000315111498132917240558847707,-31.51118341223968587371445961,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
87,382687/500000,0.765374,0.99999999996546794351224949981537,1.0000328811316088329973118486078,-32.8811661408894850623487924,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
88,11959/15625,0.765376,0.99999999996453483982390313962975,1.0000342511134043742705678124449,-34.25114886953444666467281512,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
89,382689/500000,0.765378,0.99999999996360174097310547004545,1.000035621095199915543823776282,-35.62113159817457071830623652,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
90,38269/50000,0.76538,0.9999999999626686469598188717438,1.0000369910769954568170797401191,-36.99111432680985726086837526,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
91,382691/500000,0.765382,0.99999999996173555778400572579619,1.0000383610587909980903357039562,-38.36109705544030632997815996,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
92,95673/125000,0.765384,0.99999999996080247344562841366407,1.0000397310405865393635916677932,-39.73107978406591796325412918,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
93,382693/500000,0.765386,0.99999999995986939394464931719893,1.0000411010223820806368476316303,-41.10106251268669219831443141,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
94,191347/250000,0.765388,0.99999999995893631928103081864232,1.0000424710041776219101035954674,-42.47104524130262907277682512,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
95,76539/100000,0.76539,0.99999999995800324945473530062583,1.0000438409859731631833595593045,-43.84102796991372862425867871,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
96,47837/62500,0.765392,0.99999999995707018446572514617107,1.0000452109677687044566155231416,-45.21101069851999089037697056,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
97,382697/500000,0.765394,0.99999999995613712431396273868971,1.0000465809495642457298714869787,-46.58099342712141590874828902,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
98,191349/250000,0.765396,0.99999999995520406899941046198342,1.0000479509313597870031274508158,-47.95097615571800371698883239,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
99,382699/500000,0.765398,0.99999999995427101852203070024392,1.0000493209131553282763834146529,-49.32095888430975435271440899,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
100,3827/5000,0.7654,0.99999999995333797288178583805293,1.00005069089495086954963937849,-50.69094161289666785354043708,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
101,382701/500000,0.765402,0.99999999995240493207863826038218,1.0000520608767464108228953423271,-52.06092434147874425708194492,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
102,191351/250000,0.765404,0.99999999995147189611255035259341,1.0000534308585419520961513061642,-53.43090707005598360095357079,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
103,382703/500000,0.765406,0.99999999995053886498348450043836,1.0000548008403374933694072700013,-54.80088979862838592276956294,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
104,23919/31250,0.765408,0.99999999994960583869140309005877,1.0000561708221330346426632338384,-56.17087252719595126014377962,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
105,76541/100000,0.76541,0.99999999994867281723626850798638,1.0000575408039285759159191976755,-57.5408552557586796506896891,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
106,191353/250000,0.765412,0.9999999999477398006180431411429,1.0000589107857241171891751615126,-58.91083798431657113202036968,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
107,382707/500000,0.765414,0.99999999994680678883668937684003,1.0000602807675196584624311253497,-60.28082071286962574174850964,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
108,95677/125000,0.765416,0.99999999994587378189216960277945,1.0000616507493151997356870891868,-61.65080344141784351748640732,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
109,382709/500000,0.765418,0.9999999999449407797844462070528,1.0000630207311107410089430530239,-63.02078616996122449684597106,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
110,38271/50000,0.76542,0.9999999999440077825134815781417,1.000064390712906282282199016861,-64.39076889849976871743871926,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
111,382711/500000,0.765422,0.99999999994307479007923810491772,1.0000657606947018235554549806981,-65.76075162703347621687578033,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
112,47839/62500,0.765424,0.9999999999421418024816781766424,1.0000671306764973648287109445351,-67.13073435556234703276789275,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
113,382713/500000,0.765426,0.99999999994120881972076418296721,1.0000685006582929061019669083722,-68.50071708408638120272540504,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
114,191357/250000,0.765428,0.99999999994027584179645851393358,1.0000698706400884473752228722093,-69.87069981260557876435827576,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
115,76543/100000,0.76543,0.99999999993934286870872355997288,1.0000712406218839886484788360464,-71.24068254111993975527607355,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
116,95679/125000,0.765432,0.99999999993840990045752171190643,1.0000726106036795299217347998835,-72.6106652696294642130879771,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
117,382717/500000,0.765434,0.99999999993747693704281536094545,1.0000739805854750711949907637206,-73.98064799813415217540277517,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
118,191359/250000,0.765436,0.99999999993654397846456689869111,1.0000753505672706124682467275577,-75.35063072663400367982886661,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
119,382719/500000,0.765438,0.99999999993561102472273871713449,1.0000767205490661537415026913948,-76.72061345512901876397426032,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
120,2392/3125,0.76544,0.99999999993467807581729320865659,1.0000780905308616950147586552319,-78.09059618361919746544657532,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
121,382721/500000,0.765442,0.99999999993374513174819276602832,1.000079460512657236288014619069,-79.46057891210453982185304068,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
122,191361/250000,0.765444,0.9999999999328121925153997824105,1.0000808304944527775612705829061,-80.8305616405850458708004956,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
123,382723/500000,0.765446,0.99999999993187925811887665135384,1.0000822004762483188345265467432,-82.20054436906071564989538935,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
124,95681/125000,0.765448,0.99999999993094632855858576679896,1.0000835704580438601077825105803,-83.57052709753154919674378133,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
125,15309/20000,0.76545,0.99999999993001340383448952307635,1.0000849404398394013810384744174,-84.94050982599754654895134103,false,exact-rational presentation sample of the conservative R0.51 root-box constraint gap
