panel,series,case,N,Kcut,x,y,value,unit,formula,evidenceClass,note
B,signed principal coefficient,tau=0.04,10,2,0.0875,-0.9065124621625115,-0.9065124621625115,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.0875,2.697647052952827e-15,2.697647052952827e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.1,-0.8932046820403071,-0.8932046820403071,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.1,2.683458866569165e-15,2.683458866569165e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.11250000000000002,-0.8799224335231854,-0.8799224335231854,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.11250000000000002,2.6884411113364335e-15,2.6884411113364335e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.125,-0.8666656816062952,-0.8666656816062952,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.125,2.676199006405881e-15,2.676199006405881e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.13749999999999998,-0.853434391317362,-0.853434391317362,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.13749999999999998,2.670632277537745e-15,2.670632277537745e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.15,-0.8402285277167,-0.8402285277167,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.15,2.6705393711351495e-15,2.6705393711351495e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.1625,-0.8270480558972216,-0.8270480558972216,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.1625,2.662063663019703e-15,2.662063663019703e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.175,-0.8138929409844486,-0.8138929409844486,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.175,2.6581781936870275e-15,2.6581781936870275e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.1875,-0.8007631481365216,-0.8007631481365216,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.1875,2.6549493099612914e-15,2.6549493099612914e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.2,-0.787658642544211,-0.787658642544211,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.2,2.6568705916625737e-15,2.6568705916625737e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.21250000000000002,-0.7745793894309265,-0.7745793894309265,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.21250000000000002,2.6555447687439876e-15,2.6555447687439876e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.22500000000000003,-0.7615253540527261,-0.7615253540527261,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.22500000000000003,2.6550601813038255e-15,2.6550601813038255e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.2375,-0.748496501698327,-0.748496501698327,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.2375,2.654839010026567e-15,2.654839010026567e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.25,-0.7354927976891142,-0.7354927976891142,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.25,2.649430925561296e-15,2.649430925561296e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.2625,-0.7225142073791492,-0.7225142073791492,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.2625,2.647579833750155e-15,2.647579833750155e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.27499999999999997,-0.7095606961551801,-0.7095606961551801,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.27499999999999997,2.6502135892826843e-15,2.6502135892826843e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.2875,-0.6966322294366493,-0.6966322294366493,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.2875,2.64417661817563e-15,2.64417661817563e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.3,-0.6837287726757032,-0.6837287726757032,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.3,2.642164082075052e-15,2.642164082075052e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.3125,-0.6708502913572001,-0.6708502913572001,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.3125,2.644165935260032e-15,2.644165935260032e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.325,-0.6579967509987183,-0.6579967509987183,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.325,2.641579427764701e-15,2.641579427764701e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.33749999999999997,-0.6451681171505651,-0.6451681171505651,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.33749999999999997,2.6385297354212903e-15,2.6385297354212903e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.35,-0.6323643553957837,-0.6323643553957837,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.35,2.6319659347320863e-15,2.6319659347320863e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.3625,-0.619585431350162,-0.619585431350162,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.3625,2.630275876141502e-15,2.630275876141502e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.375,-0.6068313106622393,-0.6068313106622393,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.375,2.6319506513909503e-15,2.6319506513909503e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.3875,-0.5941019590133143,-0.5941019590133143,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.3875,2.6141321643067267e-15,2.6141321643067267e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.4,-0.5813973421174529,-0.5813973421174529,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.4,2.6071778479556684e-15,2.6071778479556684e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.41250000000000003,-0.5687174257214938,-0.5687174257214938,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.41250000000000003,2.6001330694194865e-15,2.6001330694194865e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.42500000000000004,-0.5560621756050573,-0.5560621756050573,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.42500000000000004,2.5937069167078044e-15,2.5937069167078044e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.43750000000000006,-0.5434315575805506,-0.5434315575805506,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.43750000000000006,2.5909152865186286e-15,2.5909152865186286e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.45000000000000007,-0.5308255374931756,-0.5308255374931756,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.45000000000000007,2.5878519433135354e-15,2.5878519433135354e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.46249999999999997,-0.5182440812209341,-0.5182440812209341,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.46249999999999997,2.587939777989426e-15,2.587939777989426e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.475,-0.5056871546746351,-0.5056871546746351,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.475,2.5906247135114844e-15,2.5906247135114844e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.4875,-0.4931547237979009,-0.4931547237979009,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.4875,2.594381845376174e-15,2.594381845376174e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5,-0.4806467545671722,-0.4806467545671722,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5,2.5955373057129603e-15,2.5955373057129603e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5125,-0.46816321299171504,-0.46816321299171504,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5125,2.591011352688992e-15,2.591011352688992e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.525,-0.45570406511362604,-0.45570406511362604,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.525,2.591687919725902e-15,2.591687919725902e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5375,-0.4432692770078372,-0.4432692770078372,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5375,2.5898411695873805e-15,2.5898411695873805e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5499999999999999,-0.43085881478212235,-0.43085881478212235,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5499999999999999,2.5904405074229246e-15,2.5904405074229246e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5625,-0.41847264457710126,-0.41847264457710126,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5625,2.5915402158503793e-15,2.5915402158503793e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.575,-0.4061107325662459,-0.4061107325662459,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.575,2.5890041923234858e-15,2.5890041923234858e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.5875,-0.3937730449558841,-0.3937730449558841,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
B,transverse target norm,tau=0.04,10,2,0.5875,2.588503980913956e-15,2.588503980913956e-15,normalized target coefficient,"||P_*u-<P_*u,e_tau>e_tau||/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,nonnegative transverse residual in the eight-real-dimensional shell
B,signed principal coefficient,tau=0.04,10,2,0.6,-0.3814595479852048,-0.3814595479852048,normalized target coefficient,"<P_*u(t),e_tau>/(tau*||P_*F(u_*)||_2)",finite Fourier--Galerkin trajectory,event direction e_tau is the normalized target forcing at t=tau
