panel,kind,series,physicalCenter,alpha,resolution,timeSteps,krylovDimension,normEstimate,ritzResidual,rayleighNormDefect,adjointDefect,relativeToFine,interfaceValue,expectedPower,blockHalfWidth,fullBlockCount,formula,status
A/B,full-exact-block-forward-adjoint-norm,medium,0,0.25,512,800,8,0.76650277132042077,3.4036938365752047e-14,7.2421331413624452e-16,3.4575694841861297e-14,2.2950831166505526e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0,0.25,1024,1600,8,0.76650294723921808,3.7797921257015164e-14,1.3035836662618843e-15,4.0686168193913847e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.0625,0.25,256,400,8,0.52697705261026895,2.7446721438163379e-13,8.4271071700439519e-16,1.1193787756849918e-14,5.0801207695671488e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.0625,0.25,512,800,8,0.52697919430508355,2.7582256416644511e-13,2.1067682303647384e-16,2.7098993372966861e-14,1.0160274206649285e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.0625,0.25,1024,1600,8,0.52697972973093909,2.764716182478776e-13,1.2640596538982669e-15,6.651945098968798e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.125,0.25,256,400,8,0.47803574713263158,2.4094253921004856e-14,1.045110881514694e-15,8.2086902430814812e-15,4.3822918700587052e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.125,0.25,512,800,8,0.47803742305122093,6.8002407129978847e-14,1.1612302417024344e-16,4.3148797747082188e-14,8.7646358203191199e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.125,0.25,1024,1600,8,0.47803784203398031,6.3357678360567831e-14,1.2773521463190592e-15,7.3343455709404256e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.25,0.25,256,400,8,0.5665029548341961,1.6481814580385396e-13,1.959783290009663e-16,4.7986700291638464e-15,3.2241498096389613e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.25,0.25,512,800,8,0.56650441602943225,1.9449407885534181e-13,1.9597782351046592e-16,3.950520836094624e-14,6.4483312195057196e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.25,0.25,1024,1600,8,0.56650478133047899,2.0455709378699392e-13,4.8994424284368549e-15,2.8798687005484215e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.30685281944005471,0.25,256,400,8,0.60245388810206957,2.0218076584655402e-12,1.8428348568265178e-16,4.8542890915420665e-15,2.8738265064275083e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.30685281944005471,0.25,512,800,8,0.60245527318282877,1.98276427344784e-12,5.5284918601163981e-16,3.7409440766903576e-14,5.7476792938159492e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.30685281944005471,0.25,1024,1600,8,0.6024556194549977,1.9802945395004479e-12,3.6856591216777196e-15,2.6776969682906486e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.69314718055994529,0.34999999999999998,256,400,8,0.044474483566630259,1.5319860120384858e-14,2.0282556089864561e-15,1.648829664269133e-14,0.00010229043434542512,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.69314718055994529,0.34999999999999998,512,800,8,0.044478123311384718,7.1019614437724422e-15,1.248055158322048e-15,8.5291694594614689e-15,2.0459862036811682e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.69314718055994529,0.34999999999999998,1024,1600,8,0.044479033346270513,7.0973604780194537e-14,1.216828882703552e-14,6.9267030528656356e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.5,0.34999999999999998,256,400,8,0.13463273227074782,3.8575884232049406e-14,3.0923656321345478e-15,1.891639182302736e-14,3.4684709958670922e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.5,0.34999999999999998,512,800,8,0.13463646812638763,4.0140967195080275e-14,4.1230397680328114e-16,3.8772557727275483e-14,6.9371778412077321e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.5,0.34999999999999998,1024,1600,8,0.13463740212999029,9.4180934658024858e-14,1.4224388521915796e-14,1.757876258685025e-13,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.25,0.34999999999999998,256,400,12,0.35352250497400589,5.4569614657258356e-15,9.4213777822160614e-16,5.8797537206995597e-15,7.9481773417421223e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.25,0.34999999999999998,512,800,12,0.3535247528743341,3.289880242345674e-14,1.2561757168045347e-15,2.8054931943839645e-14,1.5896501479317067e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.25,0.34999999999999998,1024,1600,12,0.35352531485590316,7.3771853743192345e-14,1.036343318937812e-14,6.2193772989438535e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.125,0.34999999999999998,256,400,8,0.62239750288262086,1.5457971015238786e-11,1.7837845098721992e-16,1.0383013577264329e-14,4.189706300204048e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.125,0.34999999999999998,512,800,8,0.62239958901951542,1.5460034303958345e-11,1.9621563841511109e-15,2.4333400970649842e-14,8.379445328435648e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.125,0.34999999999999998,1024,1600,8,0.6224001105562853,1.5462613175522123e-11,1.2486439254372985e-15,6.0900248105559387e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.0625,0.34999999999999998,256,400,8,0.77637766096773941,5.5505841364722807e-13,0,8.0718102278624343e-15,1.4026624647145451e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.0625,0.34999999999999998,512,800,8,0.77637853216484998,5.5685466786394372e-13,4.2900066602669305e-16,3.1196611053990461e-14,2.8053346440034467e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.0625,0.34999999999999998,1024,1600,8,0.77637874996507039,5.5685570323666439e-13,8.5800109135529995e-16,4.4090822314420041e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0,0.34999999999999998,256,400,8,0.77508024216349614,1.6689480843630876e-11,1.1459180242047405e-15,8.6035046996971999e-15,1.1337828306491362e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0,0.34999999999999998,512,800,8,0.77508094518170101,1.6690628130390189e-11,8.594377386208774e-16,4.1427564989848221e-14,2.2675750661233137e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0,0.34999999999999998,1024,1600,8,0.77508112093716341,1.6691894378974249e-11,0,4.7924980811442357e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.0625,0.34999999999999998,256,400,12,0.69661250675575859,7.6991022382365902e-15,6.3749818664361964e-16,8.9922721080069438e-15,2.352063022463506e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.0625,0.34999999999999998,512,800,12,0.69661381753913465,3.4057643821247366e-14,7.9687123386896145e-16,3.9896931876455631e-14,4.7041392729832717e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.0625,0.34999999999999998,1024,1600,12,0.69661414523613052,3.6867724217319875e-14,1.7531158898211949e-15,3.9907193586951891e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.125,0.34999999999999998,256,400,12,0.61293967678725092,2.622968693838976e-12,1.8113087905231343e-16,8.68989127078192e-15,4.0266693837000604e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.125,0.34999999999999998,512,800,12,0.61294165127819378,2.6232874335230602e-12,9.0565147784455528e-16,3.4029922334539391e-14,8.0533608286900949e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.125,0.34999999999999998,1024,1600,12,0.61294214490261978,2.6236827925226564e-12,1.2679110478870368e-15,2.8081134509345303e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.25,0.34999999999999998,256,400,16,0.66465215670935485,7.9653178299844202e-15,1.6703820388122879e-16,6.6029282049170108e-15,2.6054581350921997e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.25,0.34999999999999998,512,800,16,0.66465354209010741,3.425554354590378e-14,1.3363028457007973e-15,3.5694818628632673e-14,5.2109396200600058e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.25,0.34999999999999998,1024,1600,16,0.6646538884372355,4.4788291036330209e-14,2.8396420673930795e-15,4.2175028935786617e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.30685281944005471,0.34999999999999998,256,400,16,0.69956962514327659,7.3626906688210218e-15,4.7610258567091507e-16,6.2487452217485273e-15,2.3147566820996348e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.30685281944005471,0.34999999999999998,512,800,16,0.69957092061170012,3.3349409067906892e-14,1.2696045440589611e-15,3.7297158972151219e-14,4.6295326142518558e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.30685281944005471,0.34999999999999998,1024,1600,16,0.69957124448048935,4.3843560576016415e-14,1.5870049453642459e-16,4.7382338005019747e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.69314718055994529,0.5,256,400,8,0.077283073719211268,7.9074317981691182e-15,2.5139920031558598e-15,3.3968955570326497e-14,6.4299683219061013e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.69314718055994529,0.5,512,800,8,0.077287049339327313,2.0613623371659485e-14,5.386848609092693e-16,6.5458911921252761e-14,1.2860677320116522e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.69314718055994529,0.5,1024,1600,8,0.077288043315913102,7.063463744215211e-14,7.0028131297422477e-15,2.1583997514915777e-13,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.5,0.5,256,400,8,0.19626957716879873,5.3580438473947929e-12,5.6566231029800669e-16,8.0947510455293137e-15,2.2076843229003637e-05,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.5,0.5,512,800,8,0.19627304363594369,5.3596217651896068e-12,1.4141307996991801e-15,2.1285734148391544e-14,4.4154681635436191e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.5,0.5,1024,1600,8,0.19627391027714586,5.3605938118168244e-12,9.8988718895475854e-15,6.31434062996069e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.25,0.5,256,400,12,0.49843599063192168,7.7499561979720154e-15,7.7959470407857521e-16,1.4079088926858543e-14,6.5530555822860075e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.25,0.5,512,800,12,0.49843860366762516,3.0641248282084813e-14,1.3364410578826122e-15,2.5666229125066292e-14,1.3106199852911781e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.25,0.5,1024,1600,12,0.49843925693207675,5.7450644751683136e-14,6.7935664737742927e-15,1.0157112158739784e-13,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.125,0.5,256,400,12,0.75663693525124831,8.9784196264157211e-15,0,6.9966793034436706e-15,1.7838648590803054e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.125,0.5,512,800,12,0.75663801504250139,3.1872575479467731e-14,5.8692426367860631e-16,3.0486323317926139e-14,3.5677443225918533e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.125,0.5,1024,1600,12,0.75663828499169594,5.773501981723489e-14,4.2551993935230089e-15,5.5430905505322906e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,-0.0625,0.5,256,400,12,0.79478395046372718,8.1930872234427062e-15,1.3968865676985308e-15,8.9610638793816149e-15,1.1663502075142105e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,-0.0625,0.5,512,800,12,0.79478469206073543,3.104518652950648e-14,5.5875410571713196e-16,3.4579096717099562e-14,2.332712961290184e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,-0.0625,0.5,1024,1600,12,0.79478487746123394,5.7781763026109944e-14,2.3747043953473052e-15,5.9516051153846474e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0,0.5,256,400,12,0.80167861027063136,8.1297568412422512e-15,0,1.0141383833833261e-14,1.293882594888975e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0,0.5,512,800,12,0.8016794400930406,3.0728398583499299e-14,0,3.8483680243234075e-14,2.5877784729081824e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0,0.5,1024,1600,12,0.80167964754997401,5.8355208033518607e-14,1.6618453937576563e-15,5.8919903549328379e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.0625,0.5,256,400,12,0.80277228759832486,7.8450798549332001e-15,5.5319449451681481e-16,1.028762896159766e-14,1.6890941055581394e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.0625,0.5,512,800,12,0.80277337236550361,3.0919696204881995e-14,2.4893718614964318e-15,4.0024302296168352e-14,3.37820072767377e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.0625,0.5,1024,1600,12,0.8027736435585543,5.8749433789390613e-14,1.3829839002981379e-15,4.9868747378921906e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,coarse,0.125,0.5,256,400,12,0.81067314044188055,6.6181869491107085e-15,2.7390151942618884e-16,1.3835980789919502e-14,1.9453242219515474e-06,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,medium,0.125,0.5,512,800,12,0.81067440206130181,3.0613188701573909e-14,1.9173076521511799e-15,5.0355049497011263e-14,3.8906572013393392e-07,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
A/B,full-exact-block-forward-adjoint-norm,fine,0.125,0.5,1024,1600,12,0.81067471746704456,5.9023808202566032e-14,2.4651088793903586e-15,7.9155809445030595e-14,0,,,,,full exact shifted V_alpha; Fourier Strang; fully double-reorthogonalized Lanczos-Ritz on U*U,deterministic numerical diagnostic only; not proof
