N,leftFrequencySquaredExact,rightFrequencySquaredExact,outputFrequencySquaredExact,criticalSymbolRatioExact,criticalSymbolRatioDecimal,minimumInputOutputSeparationExact,minimumInputOutputSeparationDecimal,classification
80,6400,6401,1,1,1.0,80,80.0,formal all-index identity presentation row
81,6561,6562,1,1,1.0,81,81.0,formal all-index identity presentation row
82,6724,6725,1,1,1.0,82,82.0,formal all-index identity presentation row
83,6889,6890,1,1,1.0,83,83.0,formal all-index identity presentation row
84,7056,7057,1,1,1.0,84,84.0,formal all-index identity presentation row
85,7225,7226,1,1,1.0,85,85.0,formal all-index identity presentation row
86,7396,7397,1,1,1.0,86,86.0,formal all-index identity presentation row
87,7569,7570,1,1,1.0,87,87.0,formal all-index identity presentation row
88,7744,7745,1,1,1.0,88,88.0,formal all-index identity presentation row
89,7921,7922,1,1,1.0,89,89.0,formal all-index identity presentation row
90,8100,8101,1,1,1.0,90,90.0,formal all-index identity presentation row
91,8281,8282,1,1,1.0,91,91.0,formal all-index identity presentation row
92,8464,8465,1,1,1.0,92,92.0,formal all-index identity presentation row
93,8649,8650,1,1,1.0,93,93.0,formal all-index identity presentation row
94,8836,8837,1,1,1.0,94,94.0,formal all-index identity presentation row
95,9025,9026,1,1,1.0,95,95.0,formal all-index identity presentation row
96,9216,9217,1,1,1.0,96,96.0,formal all-index identity presentation row
97,9409,9410,1,1,1.0,97,97.0,formal all-index identity presentation row
98,9604,9605,1,1,1.0,98,98.0,formal all-index identity presentation row
99,9801,9802,1,1,1.0,99,99.0,formal all-index identity presentation row
100,10000,10001,1,1,1.0,100,100.0,formal all-index identity presentation row
101,10201,10202,1,1,1.0,101,101.0,formal all-index identity presentation row
102,10404,10405,1,1,1.0,102,102.0,formal all-index identity presentation row
103,10609,10610,1,1,1.0,103,103.0,formal all-index identity presentation row
104,10816,10817,1,1,1.0,104,104.0,formal all-index identity presentation row
105,11025,11026,1,1,1.0,105,105.0,formal all-index identity presentation row
106,11236,11237,1,1,1.0,106,106.0,formal all-index identity presentation row
107,11449,11450,1,1,1.0,107,107.0,formal all-index identity presentation row
108,11664,11665,1,1,1.0,108,108.0,formal all-index identity presentation row
109,11881,11882,1,1,1.0,109,109.0,formal all-index identity presentation row
110,12100,12101,1,1,1.0,110,110.0,formal all-index identity presentation row
111,12321,12322,1,1,1.0,111,111.0,formal all-index identity presentation row
112,12544,12545,1,1,1.0,112,112.0,formal all-index identity presentation row
113,12769,12770,1,1,1.0,113,113.0,formal all-index identity presentation row
114,12996,12997,1,1,1.0,114,114.0,formal all-index identity presentation row
115,13225,13226,1,1,1.0,115,115.0,formal all-index identity presentation row
116,13456,13457,1,1,1.0,116,116.0,formal all-index identity presentation row
117,13689,13690,1,1,1.0,117,117.0,formal all-index identity presentation row
118,13924,13925,1,1,1.0,118,118.0,formal all-index identity presentation row
119,14161,14162,1,1,1.0,119,119.0,formal all-index identity presentation row
120,14400,14401,1,1,1.0,120,120.0,formal all-index identity presentation row
121,14641,14642,1,1,1.0,121,121.0,formal all-index identity presentation row
122,14884,14885,1,1,1.0,122,122.0,formal all-index identity presentation row
123,15129,15130,1,1,1.0,123,123.0,formal all-index identity presentation row
124,15376,15377,1,1,1.0,124,124.0,formal all-index identity presentation row
125,15625,15626,1,1,1.0,125,125.0,formal all-index identity presentation row
126,15876,15877,1,1,1.0,126,126.0,formal all-index identity presentation row
127,16129,16130,1,1,1.0,127,127.0,formal all-index identity presentation row
128,16384,16385,1,1,1.0,128,128.0,formal all-index identity presentation row
129,16641,16642,1,1,1.0,129,129.0,formal all-index identity presentation row
130,16900,16901,1,1,1.0,130,130.0,formal all-index identity presentation row
131,17161,17162,1,1,1.0,131,131.0,formal all-index identity presentation row
132,17424,17425,1,1,1.0,132,132.0,formal all-index identity presentation row
133,17689,17690,1,1,1.0,133,133.0,formal all-index identity presentation row
134,17956,17957,1,1,1.0,134,134.0,formal all-index identity presentation row
135,18225,18226,1,1,1.0,135,135.0,formal all-index identity presentation row
136,18496,18497,1,1,1.0,136,136.0,formal all-index identity presentation row
137,18769,18770,1,1,1.0,137,137.0,formal all-index identity presentation row
138,19044,19045,1,1,1.0,138,138.0,formal all-index identity presentation row
139,19321,19322,1,1,1.0,139,139.0,formal all-index identity presentation row
140,19600,19601,1,1,1.0,140,140.0,formal all-index identity presentation row
141,19881,19882,1,1,1.0,141,141.0,formal all-index identity presentation row
142,20164,20165,1,1,1.0,142,142.0,formal all-index identity presentation row
143,20449,20450,1,1,1.0,143,143.0,formal all-index identity presentation row
144,20736,20737,1,1,1.0,144,144.0,formal all-index identity presentation row
145,21025,21026,1,1,1.0,145,145.0,formal all-index identity presentation row
146,21316,21317,1,1,1.0,146,146.0,formal all-index identity presentation row
147,21609,21610,1,1,1.0,147,147.0,formal all-index identity presentation row
148,21904,21905,1,1,1.0,148,148.0,formal all-index identity presentation row
149,22201,22202,1,1,1.0,149,149.0,formal all-index identity presentation row
150,22500,22501,1,1,1.0,150,150.0,formal all-index identity presentation row
151,22801,22802,1,1,1.0,151,151.0,formal all-index identity presentation row
152,23104,23105,1,1,1.0,152,152.0,formal all-index identity presentation row
153,23409,23410,1,1,1.0,153,153.0,formal all-index identity presentation row
154,23716,23717,1,1,1.0,154,154.0,formal all-index identity presentation row
155,24025,24026,1,1,1.0,155,155.0,formal all-index identity presentation row
156,24336,24337,1,1,1.0,156,156.0,formal all-index identity presentation row
157,24649,24650,1,1,1.0,157,157.0,formal all-index identity presentation row
158,24964,24965,1,1,1.0,158,158.0,formal all-index identity presentation row
159,25281,25282,1,1,1.0,159,159.0,formal all-index identity presentation row
160,25600,25601,1,1,1.0,160,160.0,formal all-index identity presentation row
161,25921,25922,1,1,1.0,161,161.0,formal all-index identity presentation row
162,26244,26245,1,1,1.0,162,162.0,formal all-index identity presentation row
163,26569,26570,1,1,1.0,163,163.0,formal all-index identity presentation row
164,26896,26897,1,1,1.0,164,164.0,formal all-index identity presentation row
165,27225,27226,1,1,1.0,165,165.0,formal all-index identity presentation row
166,27556,27557,1,1,1.0,166,166.0,formal all-index identity presentation row
167,27889,27890,1,1,1.0,167,167.0,formal all-index identity presentation row
168,28224,28225,1,1,1.0,168,168.0,formal all-index identity presentation row
169,28561,28562,1,1,1.0,169,169.0,formal all-index identity presentation row
170,28900,28901,1,1,1.0,170,170.0,formal all-index identity presentation row
171,29241,29242,1,1,1.0,171,171.0,formal all-index identity presentation row
172,29584,29585,1,1,1.0,172,172.0,formal all-index identity presentation row
173,29929,29930,1,1,1.0,173,173.0,formal all-index identity presentation row
174,30276,30277,1,1,1.0,174,174.0,formal all-index identity presentation row
175,30625,30626,1,1,1.0,175,175.0,formal all-index identity presentation row
176,30976,30977,1,1,1.0,176,176.0,formal all-index identity presentation row
177,31329,31330,1,1,1.0,177,177.0,formal all-index identity presentation row
178,31684,31685,1,1,1.0,178,178.0,formal all-index identity presentation row
179,32041,32042,1,1,1.0,179,179.0,formal all-index identity presentation row
180,32400,32401,1,1,1.0,180,180.0,formal all-index identity presentation row
181,32761,32762,1,1,1.0,181,181.0,formal all-index identity presentation row
182,33124,33125,1,1,1.0,182,182.0,formal all-index identity presentation row
183,33489,33490,1,1,1.0,183,183.0,formal all-index identity presentation row
184,33856,33857,1,1,1.0,184,184.0,formal all-index identity presentation row
185,34225,34226,1,1,1.0,185,185.0,formal all-index identity presentation row
186,34596,34597,1,1,1.0,186,186.0,formal all-index identity presentation row
187,34969,34970,1,1,1.0,187,187.0,formal all-index identity presentation row
188,35344,35345,1,1,1.0,188,188.0,formal all-index identity presentation row
189,35721,35722,1,1,1.0,189,189.0,formal all-index identity presentation row
190,36100,36101,1,1,1.0,190,190.0,formal all-index identity presentation row
191,36481,36482,1,1,1.0,191,191.0,formal all-index identity presentation row
192,36864,36865,1,1,1.0,192,192.0,formal all-index identity presentation row
193,37249,37250,1,1,1.0,193,193.0,formal all-index identity presentation row
194,37636,37637,1,1,1.0,194,194.0,formal all-index identity presentation row
195,38025,38026,1,1,1.0,195,195.0,formal all-index identity presentation row
196,38416,38417,1,1,1.0,196,196.0,formal all-index identity presentation row
197,38809,38810,1,1,1.0,197,197.0,formal all-index identity presentation row
198,39204,39205,1,1,1.0,198,198.0,formal all-index identity presentation row
199,39601,39602,1,1,1.0,199,199.0,formal all-index identity presentation row
200,40000,40001,1,1,1.0,200,200.0,formal all-index identity presentation row
201,40401,40402,1,1,1.0,201,201.0,formal all-index identity presentation row
202,40804,40805,1,1,1.0,202,202.0,formal all-index identity presentation row
203,41209,41210,1,1,1.0,203,203.0,formal all-index identity presentation row
204,41616,41617,1,1,1.0,204,204.0,formal all-index identity presentation row
205,42025,42026,1,1,1.0,205,205.0,formal all-index identity presentation row
206,42436,42437,1,1,1.0,206,206.0,formal all-index identity presentation row
207,42849,42850,1,1,1.0,207,207.0,formal all-index identity presentation row
208,43264,43265,1,1,1.0,208,208.0,formal all-index identity presentation row
209,43681,43682,1,1,1.0,209,209.0,formal all-index identity presentation row
210,44100,44101,1,1,1.0,210,210.0,formal all-index identity presentation row
211,44521,44522,1,1,1.0,211,211.0,formal all-index identity presentation row
212,44944,44945,1,1,1.0,212,212.0,formal all-index identity presentation row
213,45369,45370,1,1,1.0,213,213.0,formal all-index identity presentation row
214,45796,45797,1,1,1.0,214,214.0,formal all-index identity presentation row
215,46225,46226,1,1,1.0,215,215.0,formal all-index identity presentation row
216,46656,46657,1,1,1.0,216,216.0,formal all-index identity presentation row
217,47089,47090,1,1,1.0,217,217.0,formal all-index identity presentation row
218,47524,47525,1,1,1.0,218,218.0,formal all-index identity presentation row
219,47961,47962,1,1,1.0,219,219.0,formal all-index identity presentation row
220,48400,48401,1,1,1.0,220,220.0,formal all-index identity presentation row
221,48841,48842,1,1,1.0,221,221.0,formal all-index identity presentation row
222,49284,49285,1,1,1.0,222,222.0,formal all-index identity presentation row
223,49729,49730,1,1,1.0,223,223.0,formal all-index identity presentation row
224,50176,50177,1,1,1.0,224,224.0,formal all-index identity presentation row
225,50625,50626,1,1,1.0,225,225.0,formal all-index identity presentation row
226,51076,51077,1,1,1.0,226,226.0,formal all-index identity presentation row
227,51529,51530,1,1,1.0,227,227.0,formal all-index identity presentation row
228,51984,51985,1,1,1.0,228,228.0,formal all-index identity presentation row
229,52441,52442,1,1,1.0,229,229.0,formal all-index identity presentation row
230,52900,52901,1,1,1.0,230,230.0,formal all-index identity presentation row
231,53361,53362,1,1,1.0,231,231.0,formal all-index identity presentation row
232,53824,53825,1,1,1.0,232,232.0,formal all-index identity presentation row
233,54289,54290,1,1,1.0,233,233.0,formal all-index identity presentation row
234,54756,54757,1,1,1.0,234,234.0,formal all-index identity presentation row
235,55225,55226,1,1,1.0,235,235.0,formal all-index identity presentation row
236,55696,55697,1,1,1.0,236,236.0,formal all-index identity presentation row
237,56169,56170,1,1,1.0,237,237.0,formal all-index identity presentation row
238,56644,56645,1,1,1.0,238,238.0,formal all-index identity presentation row
239,57121,57122,1,1,1.0,239,239.0,formal all-index identity presentation row
240,57600,57601,1,1,1.0,240,240.0,formal all-index identity presentation row
241,58081,58082,1,1,1.0,241,241.0,formal all-index identity presentation row
242,58564,58565,1,1,1.0,242,242.0,formal all-index identity presentation row
243,59049,59050,1,1,1.0,243,243.0,formal all-index identity presentation row
244,59536,59537,1,1,1.0,244,244.0,formal all-index identity presentation row
245,60025,60026,1,1,1.0,245,245.0,formal all-index identity presentation row
246,60516,60517,1,1,1.0,246,246.0,formal all-index identity presentation row
247,61009,61010,1,1,1.0,247,247.0,formal all-index identity presentation row
248,61504,61505,1,1,1.0,248,248.0,formal all-index identity presentation row
249,62001,62002,1,1,1.0,249,249.0,formal all-index identity presentation row
250,62500,62501,1,1,1.0,250,250.0,formal all-index identity presentation row
251,63001,63002,1,1,1.0,251,251.0,formal all-index identity presentation row
252,63504,63505,1,1,1.0,252,252.0,formal all-index identity presentation row
253,64009,64010,1,1,1.0,253,253.0,formal all-index identity presentation row
254,64516,64517,1,1,1.0,254,254.0,formal all-index identity presentation row
255,65025,65026,1,1,1.0,255,255.0,formal all-index identity presentation row
256,65536,65537,1,1,1.0,256,256.0,formal all-index identity presentation row
