sampleIndex,sigmaExact,sigmaDecimal,spatialScalingExponentExact,spatialScalingExponentDecimal,classification
27,-13/20,-0.65000000000000002,7/20,0.34999999999999998,exact change-of-variables presentation sample
28,-3/5,-0.59999999999999998,2/5,0.40000000000000002,exact change-of-variables presentation sample
29,-11/20,-0.55000000000000004,9/20,0.45000000000000001,exact change-of-variables presentation sample
30,-1/2,-0.5,1/2,0.5,exact change-of-variables presentation sample
31,-9/20,-0.45000000000000001,11/20,0.55000000000000004,exact change-of-variables presentation sample
32,-2/5,-0.40000000000000002,3/5,0.59999999999999998,exact change-of-variables presentation sample
33,-7/20,-0.34999999999999998,13/20,0.65000000000000002,exact change-of-variables presentation sample
34,-3/10,-0.29999999999999999,7/10,0.69999999999999996,exact change-of-variables presentation sample
35,-1/4,-0.25,3/4,0.75,exact change-of-variables presentation sample
36,-1/5,-0.20000000000000001,4/5,0.80000000000000004,exact change-of-variables presentation sample
37,-3/20,-0.14999999999999999,17/20,0.84999999999999998,exact change-of-variables presentation sample
38,-1/10,-0.10000000000000001,9/10,0.90000000000000002,exact change-of-variables presentation sample
39,-1/20,-0.050000000000000003,19/20,0.94999999999999996,exact change-of-variables presentation sample
40,0,0,1,1,exact change-of-variables presentation sample
41,1/20,0.050000000000000003,21/20,1.05,exact change-of-variables presentation sample
42,1/10,0.10000000000000001,11/10,1.1000000000000001,exact change-of-variables presentation sample
43,3/20,0.14999999999999999,23/20,1.1499999999999999,exact change-of-variables presentation sample
44,1/5,0.20000000000000001,6/5,1.2,exact change-of-variables presentation sample
45,1/4,0.25,5/4,1.25,exact change-of-variables presentation sample
46,3/10,0.29999999999999999,13/10,1.3,exact change-of-variables presentation sample
47,7/20,0.34999999999999998,27/20,1.3500000000000001,exact change-of-variables presentation sample
48,2/5,0.40000000000000002,7/5,1.3999999999999999,exact change-of-variables presentation sample
49,9/20,0.45000000000000001,29/20,1.45,exact change-of-variables presentation sample
50,1/2,0.5,3/2,1.5,exact change-of-variables presentation sample
51,11/20,0.55000000000000004,31/20,1.55,exact change-of-variables presentation sample
52,3/5,0.59999999999999998,8/5,1.6000000000000001,exact change-of-variables presentation sample
53,13/20,0.65000000000000002,33/20,1.6499999999999999,exact change-of-variables presentation sample
54,7/10,0.69999999999999996,17/10,1.7,exact change-of-variables presentation sample
55,3/4,0.75,7/4,1.75,exact change-of-variables presentation sample
56,4/5,0.80000000000000004,9/5,1.8,exact change-of-variables presentation sample
57,17/20,0.84999999999999998,37/20,1.8500000000000001,exact change-of-variables presentation sample
58,9/10,0.90000000000000002,19/10,1.8999999999999999,exact change-of-variables presentation sample
59,19/20,0.94999999999999996,39/20,1.95,exact change-of-variables presentation sample
60,1,1,2,2,exact change-of-variables presentation sample
61,21/20,1.05,41/20,2.0499999999999998,exact change-of-variables presentation sample
62,11/10,1.1000000000000001,21/10,2.1000000000000001,exact change-of-variables presentation sample
63,23/20,1.1499999999999999,43/20,2.1499999999999999,exact change-of-variables presentation sample
64,6/5,1.2,11/5,2.2000000000000002,exact change-of-variables presentation sample
65,5/4,1.25,9/4,2.25,exact change-of-variables presentation sample
66,13/10,1.3,23/10,2.2999999999999998,exact change-of-variables presentation sample
67,27/20,1.3500000000000001,47/20,2.3500000000000001,exact change-of-variables presentation sample
68,7/5,1.3999999999999999,12/5,2.3999999999999999,exact change-of-variables presentation sample
69,29/20,1.45,49/20,2.4500000000000002,exact change-of-variables presentation sample
70,3/2,1.5,5/2,2.5,exact change-of-variables presentation sample
71,31/20,1.55,51/20,2.5499999999999998,exact change-of-variables presentation sample
72,8/5,1.6000000000000001,13/5,2.6000000000000001,exact change-of-variables presentation sample
73,33/20,1.6499999999999999,53/20,2.6499999999999999,exact change-of-variables presentation sample
74,17/10,1.7,27/10,2.7000000000000002,exact change-of-variables presentation sample
75,7/4,1.75,11/4,2.75,exact change-of-variables presentation sample
76,9/5,1.8,14/5,2.7999999999999998,exact change-of-variables presentation sample
77,37/20,1.8500000000000001,57/20,2.8500000000000001,exact change-of-variables presentation sample
78,19/10,1.8999999999999999,29/10,2.8999999999999999,exact change-of-variables presentation sample
79,39/20,1.95,59/20,2.9500000000000002,exact change-of-variables presentation sample
80,2,2,3,3,exact change-of-variables presentation sample
