grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,gainRelativeToFourFifthsPpmDecimal,newtonIterations,classification
local,0,159/200,0.795,0.3826089369312902208422036543621283714575454362918600267124358192681697013554468734,1.22727336632e-91,-25.3658769211199923699084,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,57,8007/10000,0.8007,0.3826192155008441971702014302305827416500986543169206606785035011345808330467389399,0.0,1.49786785045573962516044,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,58,1001/1250,0.8008,0.3826192817620612024134931970209811307734851463144902560421822573614175858719050839,0.0,1.67104607457878756817499,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,59,8009/10000,0.8009,0.3826193441257031620173722694046937534785359009234276401774264437194130440234528562,1.22727336632e-91,1.83403771965459691578492,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,60,801/1000,0.801,0.3826194025935720826486241930127549769032999428654647660200314061964435917504477701,0.0,1.98684749535088154531959,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,61,8011/10000,0.8011,0.3826194571674691406617212416551241647112508879938060186364284529808821040185660699,0.0,2.12948010916527729481527,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,62,2003/2500,0.8012,0.382619507849194682485587170464432569793948530353258920894981661429700626165700138,0.0,2.26194026642635279915924,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,63,8013/10000,0.8013,0.3826195546405482250102115975411241757408146094030276421873112120674915109685113285,0.0,2.38423267029461993322771,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,64,4007/5000,0.8014,0.3826195975433284559731140074744634857565536699778918684837360994715305535980110734,0.0,2.49636202176354386200025,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,65,1603/2000,0.8015,0.3826196365593332343456573702526914289451533802795286362811478593168535087182523162,1.22727336632e-91,2.59833301966055269763375,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,66,501/625,0.8016,0.3826196716903595907192113692141478539043424754507145932039840142459177984439495086,0.0,2.69015036064804676347926,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,67,8017/10000,0.8017,0.3826197029382037276911652318294459156227775736471574172728868257200929978917344341,1.22727336632e-91,2.77181873922440746502561,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,68,4009/5000,0.8018,0.3826197303046610202507901572427804404611258109027438605063759149526712155834322481,1.22727336632e-91,2.84334284772500576775383,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,69,8019/10000,0.8019,0.382619753791526016164951334638179481725311681065911276521483052598523455398388196,1.22727336632e-91,2.9047273763232102818869,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,70,401/500,0.802,0.3826197734005924363636695466339661606843618248205383048279299046032177784366209969,0.0,2.95597701303139495401974,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,71,8021/10000,0.8021,0.3826197891336531753255323520458869300070292151176549045327671874069194941688813523,0.0,2.99709644370194636561448,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,72,4011/5000,0.8022,0.3826198009925003014629548424962830031333920216127666312436399022666711086601361157,2.45454673265e-91,3.02809035202827063834676,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,73,8023/10000,0.8023,0.3826198089789250575072899674833342681852565691280780966465191934912653249003280368,1.22727336632e-91,3.04896341954579994628893,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,74,1003/1250,0.8024,0.3826198130947178608937884226607899522609777100149030069883564289012230028391362843,0.0,3.0597203256329986349163,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,75,321/400,0.8025,0.3826198133416683041464080962147180244484532337773482346018543335643107708971456318,0.0,3.06036574751236894692334,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,76,4013/5000,0.8026,0.3826198097215651552624730683596562262009461656111730669725822067475763235248389686,0.0,3.0509043602514563548365,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,77,8027/10000,0.8027,0.382619802236196358097182159112132097915124040651620657692180462741416458688713686,0.0,3.03134083676385450041129,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,78,2007/2500,0.8028,0.3826197908873490327479670196348378321755556819501577771097630733299319482527423674,1.22727336632e-91,3.0016798478102097408011,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,79,8029/10000,0.8029,0.3826197756768094759386997625797986282168504393691047568986647450487797761549865239,1.22727336632e-91,2.96192606199922530148597,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,80,803/1000,0.803,0.3826197566063631614037501269936608492218419963049667812040414721519800097603992383,0.0,2.91208414578866503594957,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,81,8031/10000,0.8031,0.3826197336777947402718921734827490941265956742823865286759365820733635541036617665,0.0,2.85215876348635679209328,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,82,502/625,0.8032,0.3826197068928880414500605054697996881326530046008890910919049930989429648614720517,1.22727336632e-91,2.7821545772511953853764,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,83,8033/10000,0.8033,0.3826196762534260720069560125082724701136339918601812597117263407005637145992128979,0.0,2.70207624709414517867194,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,84,4017/5000,0.8034,0.3826196417611910175565011317538735090151291901865282873129042904975863987744802542,0.0,2.61192843087924226882783,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,85,1607/2000,0.8035,0.3826196034179642426411446238263889131404869579710576337617094529779449697838263467,0.0,2.51171578432459627992371,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,86,2009/2500,0.8036,0.3826195612255262911150158594281346033366196004087725139279185243999110024098554858,0.0,2.40144296100339176321377,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,87,8037/10000,0.8037,0.3826195151856568865269286132182692004790297908331988340050860468473229604378945515,0.0,2.28111461234488920374651,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,88,4019/5000,0.8038,0.382619465300134932503234361574897425729844153122696895008279822396585503037916712,2.45454673265e-91,2.15073538763542563365257,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,89,8039/10000,0.8039,0.3826194115707385131305250810093100247234203233017565023300902083472803184273012086,1.22727336632e-91,2.01030993401941485209236,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,90,201/250,0.804,0.3826193539992448933381855441288635995289943089018597141603584207396797963832886349,1.22727336632e-91,1.85984289650034725185502,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,91,8041/10000,0.8041,0.3826192925874305192807951101769002598485278441863690121589170231646757277119881435,0.0,1.69933891794178925260136,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,92,4021/5000,0.8042,0.3826192273370710187203790073097430818223193031495782140464606382258847540076270973,1.22727336632e-91,1.52880263906838234074305,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,93,8043/10000,0.8043,0.382619158249941201408509103902179382919725457735026643233907641805270792420752863,0.0,1.3482386984668417159511,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,94,2011/2500,0.8044,0.3826190853278150594682541663039601780654269715314303767011643397332778508115621767,2.45454673265e-91,1.15765173258695454428689,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,95,1609/2000,0.8045,0.3826190085724657677759796006007012682647359015880847427639774141016366260509812762,0.0,0.957046375742577817949394,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,96,4023/5000,0.8046,0.3826189279856656843429966760631696209104250622235327328779760550128168662909690018,0.0,0.746427260112635821632397,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,97,8047/10000,0.8047,0.3826188435691863506970612280992784225391543315979880775026121710468411799188656439,0.0,0.525799015742117205486197,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,98,503/625,0.8048,0.3826187553247984922637218386531958114137387183241299927127179407892828908050376847,0.0,0.295166270543071664678256,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,99,8049/10000,0.8049,0.3826186632542720187475174921257962197899737999288861631321538631037156021268222741,1.22727336632e-91,0.0545336502956062255478403,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,100,161/200,0.805,0.3826185673593760245130247050202498644315003743251997062165553015264159672246223942,0.0,-0.196094221351118861650045,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,101,8051/10000,0.8051,0.3826184676418787889657541276458556087080160538441255441747955309943978273055741252,0.0,-0.45671272287789462341581,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,102,2013/2500,0.8052,0.382618364103547776932896616342275569793063043624050422286086250887811113116911286,0.0,-0.727317234894468257095522,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,103,8053/10000,0.8053,0.3826182567461496390439187748151268489074479535006532918373572425195165705805866742,0.0,-1.00790314013854841839393,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,104,4027/5000,0.8054,0.3826181455714502121110079633024270095711658100382583558467831269123542187273184992,0.0,-1.29846582347481090231359,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,105,1611/2000,0.8055,0.3826180305812145195093667744196758062673677294847090959690155496936711830682076687,1.22727336632e-91,-1.59900067189390471752316,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,106,1007/1250,0.8056,0.3826179117772067715573569746593865611225692778341654977191127847451006151328552063,0.0,-1.90950307451145855415749,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,107,8057/10000,0.8057,0.3826177891611903658964929106486568860038629480718712146960723405935191972994076777,0.0,-2.22996842256708764505185,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,108,4029/5000,0.8058,0.3826176627349278878712843793958905381625723779644880605013554367070452875389427367,0.0,-2.56039210942340102041234,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,109,8059/10000,0.8059,0.3826175325001811109089289618850504650515482254931612702696546746153750547901818294,1.22727336632e-91,-2.90076953056500915592416,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,110,403/500,0.806,0.3826173984587109968988538195028379235484185249822883533114106001977935287991034072,0.0,-3.25109608359753201429901,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,111,8061/10000,0.8061,0.3826172606122776965721069529109543353696152812187682715888791352420279003190672844,1.22727336632e-91,-3.61136716824660748026273,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,112,4031/5000,0.8062,0.3826171189626405498805979231021116483022329070306135430848070152633389839480681963,0.0,-3.98157818635690018898384,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,113,8063/10000,0.8063,0.382616973511558086376188034504713795857845652973338404730894253501669333133333844,0.0,-4.36172454189111074794326,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,114,504/625,0.8064,0.3826168242607880255896299801271367694127173776553288379498199327532167384851050872,0.0,-4.75180164092898535224533,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,115,1613/2000,0.8065,0.3826166712120872774093569488582882196945591495047644326881260668952217453873160359,0.0,-5.15180489166632579336977,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,116,4033/5000,0.8066,0.3826165143672119424601211951666297709635938654570014611724496878307450922757677196,2.45454673265e-91,-5.56172970441399986136399,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,117,8067/10000,0.8067,0.3826163537279173124814820715650967432764221096154115855461972299498309478035396036,0.0,-5.98157149159695214047468,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,118,2017/2500,0.8068,0.3826161892959578707061435243343511171815835371521095914953867639829370014930544341,0.0,-6.41132566775321519821759,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,119,8069/10000,0.8069,0.3826160210730872922381410531215547219480902927882123113022452311917576566506595391,0.0,-6.85098764953292116788367,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,120,807/1000,0.807,0.3826158490610584444308781351563511633511733683479797023331449015164129683514993665,0.0,-7.30055285569731372447977,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,121,8071/10000,0.8071,0.3826156732616233872650121149499973100184115189952495735307642270618242116222562947,0.0,-7.76001670711776045410164,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,122,1009/1250,0.8072,0.3826154936765333737261895604675886077669687989995463578240966238537555397126972707,0.0,-8.22937462677476561673651,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,123,8073/10000,0.8073,0.3826153103075388501826310868870774681392945751539186387661696083988726239552892322,0.0,-8.70862203975698330249253,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,124,4037/5000,0.8074,0.3826151231563894567625656491822908588790616970703268765714440239993042949799137007,0.0,-9.19775437326023098125168,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,125,323/400,0.8075,0.3826149322248340277315143048904123882988347148629390636034312867892681820678685443,0.0,-9.69676705658650344574262,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,126,2019/2500,0.8076,0.3826147375146205918694234485474059998027472071822131449923181076673813932907814152,0.0,-10.2056555211429871480298,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,127,8077/10000,0.8077,0.3826145390274963728476475193976232541778765421525463102500515113839802463922136918,1.22727336632e-91,-10.7244152004410749294141,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,128,4039/5000,0.8078,0.3826143367652077896057811841063544521038596149336455696982650704728314533745887802,1.22727336632e-91,-11.2530415300953811437413,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,129,8079/10000,0.8079,0.382614130729500456728340996326355913609188946788909507812389808034382155809543901,0.0,-11.7915299478227571741131,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,130,101/125,0.808,0.3826139209221191848212965350914119603934283105076842896387059803068593634723576351,1.22727336632e-91,-12.3398758934413073429947,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
local,131,8081/10000,0.8081,0.3826137073448079808884510241317709160179204611785343048789460571388915363203124406,1.22727336632e-91,-12.8980748088694052157153,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
