grid,sampleIndex,characterExact,characterDecimal,thresholdRadiusDecimal,absoluteResidualDecimal,newtonIterations,classification
global,0,9/20,0.45,0.3382948807121929910184713131161333745425204863264920262624470269078382797676406944,0.0,8,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,35,5/8,0.625,0.3744608388271042731064566299025165315336356394323135509831137154539681680013269667,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,36,63/100,0.63,0.3749812947504276647191268192294813132661268096255340986472722220239378796357106086,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,37,127/200,0.635,0.3754803658439443681006535921624292085392568308943858293610741746268012849003985036,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,38,16/25,0.64,0.3759585317857592568845409181225396176684396246968720638864407837956637568034347215,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,39,129/200,0.645,0.3764162623470094082422390127011163777737460676997662437748404679470619534175792382,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,40,13/20,0.65,0.3768540175120892181670840241625000264313086779540851389448776292724656520775716048,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,41,131/200,0.655,0.377272247605141862104340358318709771973290050241579174222020142947772856855024135,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,42,33/50,0.66,0.3776713934220318964719556165702875178658457996722754493206402528671147426374656758,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,43,133/200,0.665,0.3780518863670704008096197454793191873994315382406602253919059682396555077038130184,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,44,67/100,0.67,0.3784141485938176474616396545040464575040950415941363672485151653620214969053479453,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,45,27/40,0.675,0.3787585931493389303884474037103506064258738151235147208324783404030152159059747989,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,46,17/25,0.68,0.3790856241213369712381829336846046018372462085329465293492733949638824476286779861,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,47,137/200,0.685,0.3793956367876293411908738126043510654194586475110541001658459984749115020102976185,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,48,69/100,0.69,0.3796890177674816891318176935123031065634539813872233316723230064523362227963030845,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,49,139/200,0.695,0.3799661451743473524434959815216977201211157824450774479698049678821505277809212087,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,50,7/10,0.7,0.3802273887696012509587879559531950877839540610407265537280953284547863376220805887,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,51,141/200,0.705,0.3804731101168909338232771991245344298650354868261661136623504145275076367276526363,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,52,71/100,0.71,0.380703662736760370166664611355015261406875808470657612856814166673827682965756112,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,53,143/200,0.715,0.3809193922612326542646241396763153402423346784406210012729218147509048066702390649,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,54,18/25,0.72,0.3811206365880663399113813175747947086560279569561795212279463781429590383462209766,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,55,29/40,0.725,0.3813077260344267309787200170276687664911205414896721259359718363445989873788032688,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,56,73/100,0.73,0.3814809834897382373911387785038498890737114939462416580806016711288144568882247044,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,57,147/200,0.735,0.3816407245675069571940099162358226274359983869738299595194374249675411187394408722,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,58,37/50,0.74,0.3817872577559240623124209008864231656368221634772094324646514579329555464764996805,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,59,149/200,0.745,0.3819208845670804411069640756885922260417293349647489494966688462528763090029894082,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,60,3/4,0.75,0.3820418996846414746882330724983178982434943826379161180846767680889877005340437469,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,61,151/200,0.755,0.3821505911098478824254905054348487446252355105234134559201942688724932082543673804,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,62,19/25,0.76,0.3822472403057243478751666571629012705684153983426821446772560153600257203328219886,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,63,153/200,0.765,0.3823321223393922085423619859818667014174551122897861576770604503893719360630060944,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,64,77/100,0.77,0.3824055060223959369269354252240063426666506533455285474090222180144864368850381333,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,65,31/40,0.775,0.3824676540489655280407190199636487508562453055192741624061626511055554075434243728,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,66,39/50,0.78,0.3825188231321483082952541454515937092157760077058987246392977678368497318722223662,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,67,157/200,0.785,0.3825592641377541571308833394378591973938069897646095156952065769711750101091536774,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,68,79/100,0.79,0.3825892222160677473480233999426133144085565682712229280937632609144989930559535367,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,69,159/200,0.795,0.3826089369312902208422036543621283714575454362918600267124358192681697013554468734,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,70,4/5,0.8,0.3826186423886807781435832743591497337831216600159038968138120840972376198266055097,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,71,161/200,0.805,0.3826185673593760245130247050202498644315003743251997062165553015264159672246223942,0.0,5,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,72,81/100,0.81,0.3826089354028716310469749885171038846354355460149937376737714884201263943374269441,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,73,163/200,0.815,0.3825899649871569821119219427627131666668244315131256279265805757240760401045263941,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,74,41/50,0.82,0.3825618696064990335309813247768473261224557851691306815642059709477416177485835295,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,75,33/40,0.825,0.3825248578968766397139301473055850423414081935120264625543383962226053439487113128,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,76,83/100,0.83,0.3824791337490711602833433894798447079172656091215416486753547084594299025260136792,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,77,167/200,0.835,0.382424896419423263242976383241689363813757269667300442607974579717700766359076812,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,78,21/25,0.84,0.3823623406382695356338128238870894068871914143375105013919161938232025894932662515,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,79,169/200,0.845,0.3822916567160758250536444016612597106168176883117507274693652213959818962288343485,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,80,17/20,0.85,0.3822130306472871954693969181126770801107806833116938252567817997118376231285211563,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,81,171/200,0.855,0.3821266442119170155970006183551760647667543491649073195647936930756600745671603779,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,82,43/50,0.86,0.3820326750749000331158920927665565239485889557590715151267635170423895392307033984,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,83,173/200,0.865,0.3819312968832363467674777616108646214198921533695679421230545137548502748088187094,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,84,87/100,0.87,0.3818226793609549929906716040244934585652109766298942643756369853521307607568622797,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,85,7/8,0.875,0.3817069884019274346882780133793991168881876916403840452968713553177822953013505235,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,86,22/25,0.88,0.381584386160562596085811816927101413095639832007441640909987748951892827504248255,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,87,177/200,0.885,0.3814550311404162471915643002031226120218009707193168165628598604807862012671164894,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,88,89/100,0.89,0.3813190782807485205903278923399895774440456852560604453613038811686185376314621294,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,89,179/200,0.895,0.3811766790410641575236234560244635213205023660137170623320080592609739885713895023,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,90,9/10,0.9,0.3810279814836707436450702854992466596116510961452058573910594479164577999247539193,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,91,181/200,0.905,0.3808731303542907206780382022249989608465216972073601587755324222359459781120139702,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,92,91/100,0.91,0.3807122671607633606669357585199894577384100100980200834796026319580227915753172431,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,93,183/200,0.915,0.3805455302498731759252711917006457343783584258496692860552545186287532951595451889,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,94,23/25,0.92,0.3803730548823414206232589487727111902897152228105378576799171645500568226190976215,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,95,37/40,0.925,0.380194973306017428920109194853065421460294672974739417602093302026789568004701249,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,96,93/100,0.93,0.3800114148273065385935573998606622256247382485318285297647443412088356588118946409,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,97,187/200,0.935,0.3798225058808712765311565991659477095093287830983637054215488917676275741782813509,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,98,47/50,0.94,0.37962837009764234086772731852680601230932003527430826688001004541983749371550254,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,99,189/200,0.945,0.3794291283711757110322146046354192298040455299737119043944928549135680175757269814,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,100,19/20,0.95,0.3792248989223919580049501983983308615435284939936028253651903666084194238134946958,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,101,191/200,0.955,0.3790157973627335186702505572246441938648196801684698109345719301354726443594303099,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,102,24/25,0.96,0.3788019367557753457901606263927350819631644791919995926097974276945658071562225678,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,103,193/200,0.965,0.3785834276773239538909942722219147518248328611986753207128906924974319689876233734,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,104,97/100,0.97,0.3783603782740394559019868642372115352270001137857594834198619558424725941789893133,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,105,39/40,0.975,0.3781328943206147299901018417414704577156603040325164227297986697517311776003280042,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,106,49/50,0.98,0.3779010792755453746180207379484547507710078673131556440770519195720623344237982854,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,107,197/200,0.985,0.3776650343355236060065090668194498843797905318994435970960677206127349667158991255,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,108,99/100,0.99,0.3774248584884887291963473327959098851275520586974538656924847809826947972886290636,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,109,199/200,0.995,0.3771806485653662747856611828027699226237639283574017253208694748570703581795311813,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,110,1,1.0,0.3769324992905273409116367485672288107703346379072717760265032900038411652535521781,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,111,201/200,1.005,0.376680503330999116655634448984013251547487179080505115029902735052310736742058392,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,112,101/100,1.01,0.3764247513444569910586187885970154181567490343906460275102775205750250607149402175,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,113,203/200,1.015,0.3761653320260280734141107276564710941341592273219233227285840896094615026205804613,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,114,51/50,1.02,0.3759023321539353673422549860355289642454142919368331581556336184381366475308839099,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,115,41/40,1.025,0.3756358366340112550485936336340912075034192325418821337673763302567024977102668285,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,116,103/100,1.03,0.3753659285431083606796437590618617456920788721602879340518886659635882682771546734,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,117,207/200,1.035,0.3750926891714352741992764376984635388532359103657747062140232320768099714640829432,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,118,26/25,1.04,0.3748161980638440309817804002730290429393664242451104865762760968641712116331582167,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,119,209/200,1.045,0.3745365330600956584785485303978459475319379733510266806792667037256267359240627651,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,120,21/20,1.05,0.3742537703341295208774170439923486193961893420730154774107034856969103748449671163,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,121,211/200,1.055,0.3739679844323616165407409552201477867016081926087016665297817153931230030103442691,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,122,53/50,1.06,0.3736792483110364119849773346709410642347383894149955328158444777762168357389560034,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,123,213/200,1.065,0.3733876333726562309643464385964393855317959313635575288093167383395735336569295161,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,124,107/100,1.07,0.3730932095015116584737983642853196328418969082931936082494393114185260156787025475,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,125,43/40,1.075,0.3727960450983358677449676702054203083910068667429341803203089318449424592683197959,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,126,27/25,1.08,0.372496207114105234055585144989743285152526356686895753008116877459921882321078397,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,127,217/200,1.085,0.3721937610830080628259967194512028196811576121771682734897097286605729869994112041,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,128,109/100,1.09,0.3718887711546027313950919539408678492943924629981907826103119015430593618201441622,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,129,219/200,1.095,0.3715813001251860243572380695746375983136185219440975155525632479824495252795567854,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,130,11/10,1.1,0.3712714094683919316577052535602035789760841109509705297004886154589057333334835689,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,131,221/200,1.105,0.3709591593650406769976338422029857052974546017520986882950530787291893413169204843,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,132,111/100,1.11,0.3706446087322572516610443054142431688617531558052689267336216786274243488117630195,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,133,223/200,1.115,0.370327815251878245778769329134542572102771481061767725371126269837735719219400138,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,134,28/25,1.12,0.370008835398165295386784494955255500037087740208274618036014999502293086256981023,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,135,9/8,1.125,0.3696877244648429994879204826503345896839777760438928973233730790555343126442136491,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,136,113/100,1.13,0.3693645365914787067273514260758217940487335256731093189863107016717834321033475106,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,137,227/200,1.135,0.3690393247892211262595511569756693769263687905228754639874088420403545277583758831,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,138,57/50,1.14,0.3687121409659142819110230577620738004231733949060035510761481250496883714547648936,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,139,229/200,1.145,0.3683830359506029028021945342013724507299660586382855724722885673001304464851703649,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,140,23/20,1.15,0.3680520595174449271383912463923407448096216490170163514201803572438527252850222354,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,141,231/200,1.155,0.3677192604090463888524719463433673014921589974189541038591570090789279463042394554,1.22727336632e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,142,29/25,1.16,0.3673846863592335591047164266958524102237228795490477913429229747210840368554803706,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,143,233/200,1.165,0.3670483841152768262302449094914687332103426733547161945653241188668355141591461671,2.45454673265e-91,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,144,117/100,1.17,0.366710399459580418470548053232201518648581145230535937512584456459868003344957945,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,145,47/40,1.175,0.366370777230851703623541388794215558612825786749941830072153083227165345771379667,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,146,59/50,1.18,0.3660295613447634384770740685244112834993603500053611532454502640408134618008666767,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,147,237/200,1.185,0.3656867948141219884275412069144186275701344368975758049606087197946868509228824877,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,148,119/100,1.19,0.3653425197685541938951155188583634492268522862028600892783076037704679714977060397,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,149,239/200,1.195,0.3649967774737252248914502815916694786657707551025909077569843602938235418490889775,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,150,6/5,1.2,0.3646496083500994382310877434531387558541335114710629292210914103578666210096525088,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,151,241/200,1.205,0.3643010519912559332568607115059442863355137085192763976440409422726182645164427102,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
global,152,121/100,1.21,0.3639511471817701914217014418662455083706652524702820301118327883850600008942445808,0.0,6,90-digit presentation sample of the reconstructed degree-80 active Laurent polynomial; not an interval proof
