sequence,index,minor,sign,normalized,normalized_decimal
B_U,26,3398576171320251404086617765083381039410793372650323858335339742608420808509776871281364988124195554587759046264720400693896402242997696267603771112872327795412505489971718040029007183568595409262106706390585013204199232653260284152847367924171997598266413728787468040850122657295724539109/537587228786186934994918780097962886659549372948604828798699906283139324336177006080461555185897033574416754005506096835287730190463025523625854465349038213388589775119578404477814615081871270363394205327409697758270241544540375611787425970388992000000000000000000000000000000000000000000,1,37384337884522765444952795415917191433518727099153562441688737168692628893607545584095014869366151100465349508911924407632860424672974658943641482241595605749537560389688898440319079019254549501883173770296435145246191559185863125681321047165891973580930551016662148449351349230252969930199/29579283414219577646100609975053516834372555519179364029301238728066400699810549423844287315188139612348654146939071563143862581580269290349386582363477807247548832912431547853890721061484203130343467339154985542187506261416388972632836293503087672427517416891124627821670571673510244941057423,0.00126386895047467859
B_U,27,61363728872679700801862217462347934700804430650385505304768085040385779939670974991604238518437154872750700213588819232415940598415859847416572104324315593391446781758615328235120064039932767739082745800228716789291827609327804946673602957852417450182043796742347978050961670732153504424466349024726661/62398792505188125579643534042140423103071470276555629527532614233205456288807522098194425359235142868621999823273202735339929476074489854040796725417466764545797118673771914880195094119398206427379316741060462140590500937996625772774097650210319838547961446400000000000000000000000000000000000000000000,1,1043183390835554913631657696859914889913675321056553590181057445686558258974406574857272054813431632836761903631009926951070990173069617406081725773513365087654595289896460579997041088678857051564406678603888185417961069358572684093451250283491096653094744544619915626866348402446609575215927933420353237/9124504249693803841270278976008231200106718535084476580133451004291698259406405583151019685391781675305227079354169152598037657542800857915864181146174107441060604182661018475414077207663635123170561501029780100390571448571949628804944425292035009324194547463957722460339347826831056204531659291290101696628,0.000114327678774500167
B_U,28,43290012126630703372880851863654079928526267031565564652218582691240068945349973426520957315095501669180274280289829348774321644110126264780927749018469733143604415579214028807893259408669960441203230635687134281886126579402660381741016743164289467005104672032937235793866268590522250713325000005027238529853731628201/3053741595852708106391270168711616105387071156253574283126829603757909235525195795081712469899173623362618473554422069842660512385110480349110297384486996164609917732097193747664927701070055003541515556948924664952407047080004559217948603663658335130195554645551251193856000000000000000000000000000000000000000000000,1,43290012126630703372880851863654079928526267031565564652218582691240068945349973426520957315095501669180274280289829348774321644110126264780927749018469733143604415579214028807893259408669960441203230635687134281886126579402660381741016743164289467005104672032937235793866268590522250713325000005027238529853731628201/45180798676467461335356407701611836090788090101096401100362685506116383989991210361683473935143269990152935166084984511174396029914871444849867997822195162294228172106336819454614769488643429573909009054538403409280084260645106706487962604018192774924399690473404921316382770738437046459789824256603467554393459892645935,0.000958150661227208898
B_U,29,433908138168724931636572319650506575892537994421711319835327707820672774620209353026209799235911402932889407067394444873815852022202181750910939243359277565528698115418062970768774509716648668715293223660754104121860132058081425892570761859978952598226232519021765203629825528849668447728998525306134833393273712911678087423792803/79152054110297695392927762110876891808676663707322768216896874681785164388159072762429242764614725976865720512644248165132284134272746421806680052016176359545792894460867793880054550357132074524724748303869465780594905652237064284307808427169679181452427096959974267848554238508531712000000000000000000000000000000000000000000000,1,6508622072530873974548584794757598638388069916325669797529915617310091619303140295393146988538671043993341106010916673107237780333032726263664088650389163482930471731270944561531617645749730030729398354911311561827901980871221388388561427899684288973393487785326478054447382932745026715934977879592022500899105693675171311356892045/30272225995343474781248587073251005345027995534297591563862156439488801212787926367758331885157207086397350529580155224874723746050816000045933458039081345853971431041165470855129355666745958548999111746213178040911414495882179868476955307765719550898538931386321649508063887658752044032093941909554961906305532963737461428843971117108,0.000215003088095736368
B_U,30,34696545233454808686800823322171630067264551219161034290722985778108685279677268925832409670472037852644799328212914808884749782984594743323082572415053003871218389403426581624986982688458233870024355288227967788887674219637632906221489315815336769108657358814698404341708367195829892043483838743675373642248569605568655207761946259025215746030863541/1055604006924005063163209654080782007307445274262397419674266306001896240137195654721921230910632341580073566865037834143962151090808727942036255494083113150105748856421243356809073959630739394803551628661040835349427562864298657048985091774865973618853098912969690606221504716472163097591927338015129600000000000000000000000000000000000000000000000,1,173482726167274043434004116610858150336322756095805171453614928890543426398386344629162048352360189263223996641064574044423748914922973716615412862075265019356091947017132908124934913442291169350121776441139838944438371098188164531107446579076683845543286794073492021708541835979149460217419193718376868211242848027843276038809731295126078730154317705/232016013520848874433551924313745180301189819558109533721259574558488864589028480639916111583502722851726938167282138439335991929692854897983850907895067703803976724164015685198150652830472957288622659918505984856000889902858421315514807717054470603133254088189862354701662107801317382216730253853658258530042618158441719087466605281396570350937324679068,0.000747718761022867742
B_U,31,215603443858485535716711916891040585935087437685563166853793360671449323377174131716264208062592486783121057608455803153411300807898457783308777588319252750233343547086202524360933957978608796728144785232567142423198070265302809852364441108531912217772667101599384626455652079137234351156728989340476219686037884151752014075642948816250278537709432747178747121214778371/10700570432851835183616627859414546397017159506455157229260166539067324455046399876990429090001515729484280079050810710415713899370466177141133100868305701438127940081929263165669950371008472835254466274331977814028420205100445586085661936055273606325080726552349309872345018683272475841539072824432331908112013747814400000000000000000000000000000000000000000000000000,1,646810331575456607150135750673121757805262313056689500561380082014347970131522395148792624187777460349363172825367409460233902423695373349926332764957758250700030641258607573082801873935826390184434355697701427269594210795908429557093323325595736653318001304798153879366956237411703053470186968021428659058113652455256042226928846448750835613128298241536241363644335113/2436578156364999289823141585211078921620669528023207120922673274599482619181398418067287329484106412048865903161858273723713909636677664894015010423241758045369008854065790363388863680466628111429079683100845194944416168224036546390798199413978367443426961106770781025643501137169550257627619162791601825410908653888350511401139641445195293163422728220695150540023320392772,0.000265458479091185118
B_U,32,127507512591887237976785299403495645432747474729637177269277029815046872484397788858937517022136717890834582260480080164271030559716144875385331543570003965914489325669029993323962623790583034730405998662387502012262503676280050244632240024699086859172280826150224312548329003409292019202880963414201934532793453069883598384002535618547093512036119397234865916466787568205575146296722053/1620244743664850271734710679829946536020030573274791608786658221424904994384821844179541576673664271143744257554686930681813879854500000043557268172480774563951238011473237854662043284664020967856263777919721942258245473120700752641922565972700496087246501685837869514729990572215267298546896116081511302813741341723315801108711997440000000000000000000000000000000000000000000000000000,1,127507512591887237976785299403495645432747474729637177269277029815046872484397788858937517022136717890834582260480080164271030559716144875385331543570003965914489325669029993323962623790583034730405998662387502012262503676280050244632240024699086859172280826150224312548329003409292019202880963414201934532793453069883598384002535618547093512036119397234865916466787568205575146296722053/212455785674887325859210609326417746364043752487962072436019872924621298449327986980503770433644237257006904275490370025721997352532242819913226421325435281141592415400130802040559638884092808394346329514636395859437655132561485628341114240809807740486804331404809539291154236175274420633105360801811933371085961767533103567078350705511061559926131151528227563904405121565751198309101228475,0.000600160227159014337
B_U,33,48052273650721468099293604250107250270358765875344690263040314014246520583240877980285198328039658096798456099146302522485128056550674133237402150788749706536305190544444902473032282296557604453842302924053421731851160855903182336933834700876775953095622449044458495658078340509343250555426272411486854356134247993543940247856916698912663343657560037816910377191847702452235368865772884730097379/741641312159180510894881961653156094659207750641751665387923850535167011108793964316963864630815884476881725828916969173374322710441368851516595460054084019721916689573755663311709993962605352313893931229309530219354755487595864082524433318956422269746564381170787470291566733633823862508934236932700736557257013679707610481427949062979584000000000000000000000000000000000000000000000000000000,1,48052273650721468099293604250107250270358765875344690263040314014246520583240877980285198328039658096798456099146302522485128056550674133237402150788749706536305190544444902473032282296557604453842302924053421731851160855903182336933834700876775953095622449044458495658078340509343250555426272411486854356134247993543940247856916698912663343657560037816910377191847702452235368865772884730097379/168204949318235053293039563192225463464316962058536944445015209341158057272728589074443198827222583038143650324318510830571948475691486669169698283426111507956498123234540280116739142187609257692094473903906663599878274489435078578882779082443765076587844917063413640304720392044218296340250558499905779891201265698136848824070380949373349260420345299349173950685389359980430752529159792190177120876,0.000285676930705582597
B_U,34,24932784828792383864822670115065877623403017787805520713033135605769597467153085395014763087862591238753463803503972496758551202528797918956996635997846896036202116939081417740839991347314168489529416658128935536224637119214744539553776028997423800393554229806952768997306512621771192138493103743994422604890580330428115296930171573486366847298048535184489643408185632777311280878347527691107141464134073719837/128457839451610203230178446967841975586745932049770254148994309088080286490906486810178135489176497217210175377949181451019841310840958172260739572841088535785470039075632842673070435521400701426620701624578631358256048668831328983037203730238270011623499059273940410230105877536184426343213594091331667074681121341659323316981165180547772740061943037952000000000000000000000000000000000000000000000000000000,1,26802743690951812654684370373695818445158244121890934766510620776202317277189566799640870319452285581659973588766770434015442542718457762878771383697685413238917275709512524071402990698362731126244122907488605701441484903155850380020309231172230585423070797042474226672104501068404031548880086524794004300257373855210223944199934441497844360845402175323326366663799555235609626944223592267940177073944129248824775/54202454107542347887397636381884735201676749225976758315618089075878680832677994866644489813928263756522112068053251221287093091511054638427089195722795990286572488636168221560669107564249942923433902111058193760782500842585189131001340364808833045332367533529491775063225172796862031351459636547423463396112900646000704614732755280167169054265951829887861175029790606439185250593651202406742074037676524420030445019,0.000494493176227276624
B_U,35,23566082348770886236062997467316258352422550496676063249207584219085775551522069216001947776379786544648801308533456492714691493389598435899568101684292220251519477120870521160095118630785040841525601012223296231632634812350584466407930710625307399372582879316436814718813024570629950441245508141248452821789038707009889234710853757707572354183771483318872524990269990374553396413825796869598944060695448234312395085863015913598580811/120289576543494697520535810802070236576399354560755241329815380011018558459056497378225742427854630547280100754279037688883473905867274345595373012670223273800533158980723259472075924809072439440435924322900234174461091010792021374092945330275516203461749022938858605366585203620580419591104282242416932925419263315452120885467630490464613459464338172407715884444688328949760000000000000000000000000000000000000000000000000000000000,1,23566082348770886236062997467316258352422550496676063249207584219085775551522069216001947776379786544648801308533456492714691493389598435899568101684292220251519477120870521160095118630785040841525601012223296231632634812350584466407930710625307399372582879316436814718813024570629950441245508141248452821789038707009889234710853757707572354183771483318872524990269990374553396413825796869598944060695448234312395085863015913598580811/81792275390162714560984361717690379867188728748895863810035452688949570592825521729817087244214898654620690914499240477425928766064906167497602676645365998414932669750581155515205346131799149195507632462544327313869910445066660027366339522680836657143192367110958554494712881688368378340033814119569571837560964647650344351874849582813143429489561153686962549300167334054313981766471176713142000979269284916397161737458589949422591913004,0.000288121124352596432
B_U,36,768835139220104825313786145839719512078983732796917062394253431954487360769660626900783909304849945539103512643331494365053655761786033496357391239859370405250333644225193801211684850316797604660663653473681862864114790404358321496357684469258663763445722627460461074642442657761580165880340596385108528510332054263038989012864562198842875156156896533351860371120648827429638754608602912947467602521922584686640615689408899129227457718310206531506649049699/1564124980613042238318771471100859453247804848114420683313421089470731868422450263786316546403129866012754709204786277422222336291042486535922650257971218765454853709757774472611938130501547526848182180250240063690758925997999268103673634193421277350286940249200615017755406980024489265529580815643831433777796801578974755618166929527799853338860330121397170578207305163831161056384504510996807680000000000000000000000000000000000000000000000000000000000,1,768835139220104825313786145839719512078983732796917062394253431954487360769660626900783909304849945539103512643331494365053655761786033496357391239859370405250333644225193801211684850316797604660663653473681862864114790404358321496357684469258663763445722627460461074642442657761580165880340596385108528510332054263038989012864562198842875156156896533351860371120648827429638754608602912947467602521922584686640615689408899129227457718310206531506649049699/1843488319184175536299148074158516238502697412657264004501232292267432709937452800119699805719392314026967002694717923734250879082226040689869328065955364554213280918323599015060227041581525946351234672017281019914686795426789749857929092511362507076769566677859246119392407266604585422661406508603025661636865383248431759944890650953973663968548491279961646939944720167552772982761852483090262340223482351597034748515790141290056402953710689601528573580639253,0.000417054521701742118
B_U,37,14356401377360489897008313692319896184256703231190613473147608165629176114904577947692800690585201395178370453348792735398250269442410295689074660100924773946201646749962615519392693199433405750373531814123544643968029386088167029538431344185523966803883358299701186927936763332740851170603610374775174430786534223028102648337179734014778969518223687213299975696532417881639797280036899947105239925473727952559004054727530899896721043158502462803438786566316262946157/25031097320943559682133389174269759170861864899894461814530295365025616957186204821983670973032450787689141980757273049536867638950851396425720347643114937575463358693453717328616751704293200831886828528465951756086466849132761046643763933808986700302001773281413829656948517890793106374524436065924276492680720067497483758523692128076582974279592936529155968679563855891267055088620491147336653905351147520000000000000000000000000000000000000000000000000000000000,1,847027681264268903923490507846873874871145490640246194915708881772121390779370098913875240744526882315523856747578771388496765897102207445655404945954561662825897158247794315644168898766570939272038377033289133994113733779201854742767449306945914041429118139682370028748269036631710219065613012111735291416405519158658056251893604306871959201575197545584698566095412655016748039522177096879209155602949949200981239228924323093906541546351645305402888407412659513823263/3019587756270646737673095455348478166003563958497415532905617628682691260556821921021090245053681726208426686602115654543618627232663144438417532799748108749436445363758506334067539987191660191369150594906148964807337930601325524226590974232742543193598487090681440359936917784019919723049309688520538965796439418149629741224055382989296594650253948802148960201328346108292962590707480444215673722090481561831864750663494644663981014874043010344491445890517571911682993132,0.000280511033171757711
B_U,38,1937600541518884751050680080151054762521283317112002739052455829891644671831553384706072934234507052533947822917332103656283322581824678921308727728865527680693147893325250619884355694985309485434514883634425271841080947107227649977941186002844354584274915528672655637154591196719302671151821733334521570057661000347909522841277525722975554738637262085484631683782776315299789567023776649673673457888947846941640457687873958017972173243607488294208842713906944924027638713272923/1521235096835931200894617235881720613070869132518464111834719977344211675800897795826170224546323271240672342802710980587526609840965985983481369340343531820501287001010311990710923374748829677456407125820951856915672900898374728866431527562071158596633543869217610987174442094422274932038207313119272076122566142219057564385756361491216402649571617685949972043549834529468489215465770462633824174113186833802199040000000000000000000000000000000000000000000000000000000000000,1,50377614079491003527317682083927423825553366244912071215363851577182761467620388002357896290097183365882643395850634695063366387127441651954026920950503719698021845226456516116993248069618046621297386974495057067868104624787918899426470836073953219191147803745489046566019371114701869449947365066697560821499186009045647593873215668797364423204568814222600423778352184197794528742618192891515509905112644020482651899884722908467276504333794695649429910561580568024718606545095998/140370508085922731513735899236858624065609485155960943540739722950435345709483146688860966505760619376853690239602447535216836281339178108113569592075356662672987563099693087410708899835907893386615473467718037120079284959962284890816722882556557038163886111064275983442121721244039741765894409277273295493446109596436074952983451196738014952321286594087750364794509985246827179295905000439842074842479408799868850411532720755473691288226860458850808142762663698801521264773603290625,0.000358890302289524847
B_U,39,434744324711172457232023419206794695200093103809519395884345842277278153798736942217551892827188578703464249322284428268932395788121607521322627797440246422098206901714871351455484528857978637542238139551682226752259085606608288530494165131991944204327852699412135965175566301847489601476531532255029898428271989541669023735209079287308491663824111984151043717401341550043895854870095669350548965975916396417624114517088792405158110385127898842539146923407565466754864157651162778923030660170187/263553908401588553661933591115058058826456434756212186099779448102932707635266437092087037127069883527498206225695246789928792776726523628124621585432591089164298362153712889833464401235610952095882204038197814535434455859968130586907885212963711174011113598076538715548265296979704311903526724022001753871128560658422489090915958392329532905376730018638218304391380711497118693074947124094146721876999334539672221642004082196480000000000000000000000000000000000000000000000000000000000000000,1,434744324711172457232023419206794695200093103809519395884345842277278153798736942217551892827188578703464249322284428268932395788121607521322627797440246422098206901714871351455484528857978637542238139551682226752259085606608288530494165131991944204327852699412135965175566301847489601476531532255029898428271989541669023735209079287308491663824111984151043717401341550043895854870095669350548965975916396417624114517088792405158110385127898842539146923407565466754864157651162778923030660170187/1624717104404795763580833684664667594912597933456277850375999301608550411189099624992656596063474733707763652564199173313440887973306119887810169897996472864304661606904039326219440822816543750565192656648450826812975081816957010997548675787856106693383577213685575462695427217423497280770688597888403244335749559255487477086049627774099790191618448506852040576343677257392021515860443235998119878545373182166187056396333376218689898809145908155865542632296362208156825285777283418330333434318530588,0.000267581552217632432
B_U,40,5091169635174234950333690514531545301712982780548404799145063451172090865249816975953703312124072888783037600725044053895354706338604494476667339936673457957949627076139682276626617664897992658047131174876857024780000079311123555502846420576639602619026651747103669267544348570119201965043498584569152247826133844957483308038860148240142873649691506682592188083651818763035739299207923980806015891149812863260283067551431411258464352022550626736203089045014187753017927379014495989405094128230381133281658268944039/1512934398335594839822414351007088587976761501241571269381603589823800069729675746107165040228246828045316008977572659279310662077557165456304166540151123418422627218298292600014475111693948246536317648471713777145387656314228691379432840217938622300450021693883384025443813415233060471963486685969551430716648018440635065547519250444979765144101679810637580094652158876241183227579421768443937155875135624639432339466889366606765984397551206400000000000000000000000000000000000000000000000000000000000000000000,1,5091169635174234950333690514531545301712982780548404799145063451172090865249816975953703312124072888783037600725044053895354706338604494476667339936673457957949627076139682276626617664897992658047131174876857024780000079311123555502846420576639602619026651747103669267544348570119201965043498584569152247826133844957483308038860148240142873649691506682592188083651818763035739299207923980806015891149812863260283067551431411258464352022550626736203089045014187753017927379014495989405094128230381133281658268944039/16209248496321377273325558138576030821223977952273810102975155393052417823324461766866185034005043162078025843711610582956557134800037881741106740060494519393369051758286705750719175017342504507228710296199464781679222157004410203411731108194299671400194387634206494618034026559363469314257900759054451668598422650827871896999332611473392942025438849061550401827440187442989047874717065093267180511713064922377185402917375345073915083332859535005229890003512655009343560565767636370989977602607563198981177954350674761,0.00031409041796907829
B_U,41,1107976937761924903008192245003248529386856666467341433795999424843125742181235787395123714902248790841963699183214899210782669155859626173372024368313160651188058137706478480902880816943410213067706577998632893839283287544993622292369165262933111979005528837217172547737745725814925483416734785592088749491248222694433645028458541601875471023201564717397295238984662360938720764060765098765889599044935791053281900197158651959591118387498940596942834140718995185513716529564051956319968916601471172690637061281169858087249220287/235800190059184238170375570069745471790641200544686337130669855277409464209357082310126854946496833598875506335896859796527984082356096317347748159691658535945502828083981513410138031221015869018296551316387673979731447406917053822753384715649663148458109734788920409720165469878065966126843229810561133162296273928068601046619808836222013392648067344835352677300281693680574306024073786774808464361967363311213718576926513782848067866147226040970466295808000000000000000000000000000000000000000000000000000000000000000000000,1,1107976937761924903008192245003248529386856666467341433795999424843125742181235787395123714902248790841963699183214899210782669155859626173372024368313160651188058137706478480902880816943410213067706577998632893839283287544993622292369165262933111979005528837217172547737745725814925483416734785592088749491248222694433645028458541601875471023201564717397295238984662360938720764060765098765889599044935791053281900197158651959591118387498940596942834140718995185513716529564051956319968916601471172690637061281169858087249220287/4393333763434726490893502518820317239094885267333985849093688693873277677660059466013850805232392144381178852348787056763380912669986722364750533471595030087318925079821536920360659199389111384470713177432175737016698124502212918684256344577843417810035409238693049994639393972286290815169198913405064114040751498553865863771819683253769731219394838094061123783830416828138080297084159989976850474928135706929090787482549409362463530761560346066152689819182191818281999108838614430870692597880398540492359405655289852104363493965020,0.000252195029429246888
