sequence,matrix_kind,shift,order,determinant,sign
B_U,ordinary,0,12,8038686379097421783239816432943987361392143135926826579385293016861746639119449662095640176523532500550785660027154827741870019951822835860797718293243473523538063217472423693616780109667779005978783460456830940085531992533023551286708793203985303574700024156231301677916561909577903212478292659807833254878867439543922823348294345571894265984455910747076364344080315304839668221586495768793613057496648676332678453398451979022230483707531235313581891528317658654548982283844671006482679957951703410856420377636334824259728819669304328278512318442002884868684956520924310592231476711675884825862122724028155850672375807720257404429649040818094242251/60202163488371697055758991299779460232353561706561547002764663329086454848165178125368050290660657923234512286113506169803366617827597545306782166780235514762056004479456271849080389095784269244500751840575058087940280920442887362707706294116713287573973302037920319285510441264350512514096110834390235254905506421035159128463174318949797719412960191506475611759481804272865009601343008826910044932999120233823734993059903203540479431305439427148325972571668446775625627245493611512869310746286711667051153190541538037223535403014217174727248896950735988699546783163376357490032640000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
B_U,shifted,1,1,13/72,1
B_U,shifted,1,2,15906559/1371686400,1
B_U,shifted,1,3,10954358774779313108363/49721894733057490944000000,1
B_U,shifted,1,4,1167839900848082244576353299499725210190889369271/600612076478779903895787329866602733633536000000000000,1
B_U,shifted,1,5,2256399264811560922417218759905045771596829292797691564932355929245240489601820873083/503305041868411004186251472764735028875330442546375273157908087088810138009600000000000000000,1
B_U,shifted,1,6,21838500912366571620849322572404791148977889990252071895150462248203031706681404031109014870620589360676427261751532107871045025021/4601735511465820497837695335395668116122245637619080335107467833692022470204268781970722065780257439993068377404866560000000000000000000000000,1
B_U,shifted,1,7,35898315277059467040342023994048630624177305021805008298853336033354327969922010506853753645304088098775929310239751375636608569460394076720973666514779300457617885329179532575283069572757051233/30423299028247950838161445222062240603858761766999350207690495089758409435128426330997646521446828984324273836418666944810704277656594644344012189424471551975662711832838144000000000000000000000000000000000000,1
B_U,shifted,1,8,2953790392876152109766247799395445067283678833975829944722169208344621460532899913709935112943983947746453545227570854564069375687576715851156297561987416576543186049188223760694100040808857214791332821962284336926860599710655235820965182205366692621917810332380591689/20298726357738308693996071027943591574961695269597357323274674873145103555780656998717401748866450702368296230687496548010406585789745706208924225210176492619024523276277847251429198050739877715086270619200614052912545355962412650089771171840000000000000000000000000000000000000000000000,1
B_U,shifted,1,9,2064283086986278157113278030092586930326337675495024534701938491454875142105902964357951785645601101956102295028803584084018772047171461450242184722506483235883434062729643069219004887523298591311454252179044803830254496628278207558194152780578311058181046679931797882067206312776017503141764352846612746068823940269102219813036016848509669149433854718542567/625080737575627462759578912901235832527803989497218501976155966503659565224850065369895131108826450920136850754536331474834969171912466470755097084625362542879518378922260274562556447041475371168413594986941637599951344333273673341153834172753989010256111046632340810779785446142696101559102111051622769161793514401431552000000000000000000000000000000000000000000000000000000000000,1
B_U,shifted,1,10,16294948574119848235363505828743015397676454973172887417234733225038023710129815031723771580438109033978106046091144115494126729576378018174219650317202131669339149665797075729060577023548376292856077286240726241936394169111779330370954340774931684278876755597256042442980969770585068214192477561971510197257377703488366280072735975046862867555397769642926452398762410545114443082119795018367496818163289893571477655923676226206159170858446803635222821594226131/355039409023198050822833919232330091027007762822846232137074396678634637147073506043651612150549211872156589416156097986985860213033985492217519972890955602627999067107047797164488869843329026251448518484804605967664862899237999816202075845078990094017304057244431453055377487316736933034310537528976978451249379367799638492036386245528497872232863665624718857695037070791772369337064581197640039840290850209792000000000000000000000000000000000000000000000000000000000000000000000000000000,1
B_U,shifted,1,11,-30261925650813781784049254471588817815669822391725834463062982627865719899059296688318985023727811247712643250489367505574112955778564238051096862211360454704485005667412521840250824373775052593918513453080447038426005424343301477005428821949039537146115418874656605241708835274152092630879081286673460264159557634135459721392735847538970694437308179089202304856461687423703296640147455964375899317948196178080267747919533170351034568417197185521002625354620678386797928106897293726042837781357438239520685502463863997686291268708091266404905781234061680022245872181279610218843371/567551225483554424393566381118743910447765925236786573266457659511772544268007821613623384503745498267435028100828627193165011599807815973537513508812274130766542903915650072783378026458447936512175074499879273333539893638255701963345685499751834691011240914617549181506311049516434812779003201370067617120538155619557842615673097611298004190876910996585630786098074059359928144299310804630318115454055802255679297539497712029429991038878929790386390770887222270850603158805441587796573776617077747963535698386481053696000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
B_U,shifted,1,12,-22220256202123550069758033018362041062417324658862617477981819305369234453264953889873259428267633469889475213184779102805718034506243803513314163966181249581975159362744392497119412195628970241311510083833740561239330338908582488257688650628073902219202766996199731971949715256858987997145498151101020192227433403195649244535515533088221929858272207059670833957753147813944860655277579916781834776059857400099484364013329018428673587238942805026406470227598102534113295155814965642197499866437946912376952407537315610270810176949847180079567455911504054708375804366388985364160153128979261800762554224150303336827932309248661142479133856715632599673003534749450819997758360166713220956451247241678079102922409237443/115318518974940250954316365144796153256541984214332836776432029594090045280476048741695384683643641187392551248588024923027137267874376395640954621865354407250656015870086019095650339697812942686809552956174884962606925062938241713410351364206607044481885409811472401129618548587108596575553622154865170384482993111910514384564049095835189462405344328515410986543970720478877076019793834591868020620367768291407733225277766955523621861217873800157864054752927069489420039124817452573440651324692306114577776820410632393603529644438680250418492299726899837730456766926278338855470575339873013914336826782167987219843739275845222151410312806400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
B_V,ordinary,0,1,1/3,1
B_V,ordinary,0,2,29/336,1
B_V,ordinary,0,3,584897094365329/88974163998720000,1
B_V,ordinary,0,4,361783136959440052387910620882785899/1895966517292679276832208453632000000000,1
B_V,ordinary,0,5,9996813671614249419604670385811163011659528108572621640307192047767/5391331060661764525943589975711443735566196515816454750208000000000000000,1
B_V,ordinary,0,6,1591568929022105472413321447975871906870644724049364095597007570240268803413015884882412036972162614835547459/264001424376477878489979757521711146695114649902934358710819547202503965391552151872894589206528000000000000000000000,1
B_V,ordinary,0,7,115140581706536503148898656904754940123299022631148531426266226434034670944494369598422176874729255772023396357908079249368705486847264480952588492610309389440766499/16413648211712352793216926196220413806562228167255774984726571265199567200087054348810002339263818427223868210352556456859146377428863522764226560000000000000000000000000000000,1
B_V,ordinary,0,8,2992294340591478070781131859837340554017362081065775850317771141282950346816261364728017387038347752485998535855289333830728727091144949512222610732063559793131483184689589388237046404135512607711300319609386379353162878494839615429937/1177716330265975553129172231931362067383636639641448474710713977584634904438931636205616607403506775681241900594803396832579854141515569835752719381386433906941489636138377287207934728936742323720046648492032000000000000000000000000000000000000000000,1
B_V,ordinary,0,9,182710604699319558479516153174810766484271025428992344978551732711306251126780626664403483690983542333022122966316078359316623413477650014173788438521964755903904368023022441233851844789415862014904682875311933898526778676873358559285886539644923695722469220619722412390957566316323925843446814615368325070589556972147/531812700135472437307984634363926070552603323252087659038923719566430682534550665704712497797618611776537580011910472758682867992440783226503410876592043106438807965725154425341246577324430684108002928817942185817354194239693010014544260412644079165593565963236608864597884272220569600000000000000000000000000000000000000000000000000000,1
B_V,ordinary,0,10,529009864795033883568196236576302406504049554129306039303955636301158002210856524075825497879374161383650831543217546937284318307385151680932110168610588753509506771128305344205125732795028098773745087839899789958575999209793070915843551966789115368102661792305029412094540947057719306038596153903544670872694306696809308220121107886942717675472781172523665786198771559372892324989705679717503250833175533791312213/44206792080035412250684833236060781172456671577575775444746932599115621225835175611373278734860899253322435175370353064611178511560471801717655872033256958840035940422257789744476184328489362806487438171467890682112471113559742308827513709531205033174071017975245284132996049856462483069804648554860928604821005624808564685800509433603675484871916217931473593743441920000000000000000000000000000000000000000000000000000000000000000000000,1
B_V,ordinary,0,11,80295124778419181034268766531577406861365481236782013628513120030677772044815185208370591215427770439416296426804088825060990289720943710958484790043169443482280365437083612651663888190655272806668415225742942753658730099161802629766194046973355694280751067437673644112742517900969763793348548911177264228396644418367781421229000665133722580692032917179322035694168274852435745167096917593358518357415797115361431544446786993493228203402574502429848629700847258886733308477074804727634950220111013328833679906623803617069063/524159241906044262558859663113038189892131032873562047318772770056928338055131015414264378402642392068763307968656617658589146089416773982135698243819807817945662176686401426976428476920758185792468629689065061497583606790739819927034131345023849373685960575919615743877750312836412110940206978863360054097607753513319598039896086162244775585466136992599569450255820516418838520283496442608769149774352764175858285045008036985465657949853047695161371717681731443097600000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
B_V,ordinary,0,12,-54835194253344177954858134642176040601751881537253210747646703137454421007255773305001795231475665347585923053542021809151015350108413739335366272763525454153851125302445954199255741863068751776889032413948923716905377828885900419452665992494592780922940827873306104154429635571047820352513293193060098244452453163806338786415588193990208801627301394383897328916266367054980057256394255385673729255899555550102813279167121420780648734353607034416078948655837789680830230286582649584645428586967757870371797877043043269828744828500640725190897856967950264812678829477773471535251132155933903663482501985921301151929493943530124750266824473606203576102359/285960276569765561014855208673952436103679418106167348263132150813160660528784596095498238880638125135363933359039154306565991434681088340207215292206118695119766021277417291283131848204975278911378571242731525917716334372103714972861604897054388115976373184680121516606174596005664934441956526463353617460801155499917005860200078015011539167211560909655759155857538570296108795606379291927822713431745821110662741217034540216817277298700837278954548369715425122184221729416094654686129226044861880418492977655072305676811793164317531579954432260515995946322847220026037698077655040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
B_V,shifted,1,1,1/18,1
B_V,shifted,1,2,-43522897/685843200,-1
B_V,shifted,1,3,13583718859114423966423/32319231576487369113600000,1
B_V,shifted,1,4,69914142299584326349972381894989945470759602547267/1201224152957559807791574659733205467267072000000000000,1
B_V,shifted,1,5,-12932663386806624767728847690921519116033064028516950350294488098175726080609939935957/125826260467102751046562868191183757218832610636593818289477021772202534502400000000000000000,-1
B_V,shifted,1,6,-22364154351586712867213695309095605418219717138341473426241227485129670516567716736861258906636189865938022306890644397098337003949119/29911280824527833235945019680071842754794596644524022178198540918998146056327747082809693427571673359954944453131632640000000000000000000000000,-1
B_V,shifted,1,7,454932363863061261343938928502801697834340380159770762461916459417899394764659889005177876522570057536130126753352165204371831443880601923598539790719124803743253110769670745247431174452926657127/1755190328552766394509314147426667727145697794249962511982143947486062082795870749865248837775778595249477336716461554508309862172495844866000703236027204921672848759586816000000000000000000000000000000000000,1
B_V,shifted,1,8,214675437802491910007706302208941617619622803294429112575926780780419749721810072537600683838669866060482062836637246256738625916837426139436640890906421151740935946449747961132893937677553835064135500443433237434894896427218855643996090761227771581453239266619798118434053/1533376761348069535127541041164928066270755088608773343744668007309204444281268548957165888867073776030253728777609536532137470467090249969025492147633602618112798447491799542371475906805890762531516929207181521024069304592295766405430011494400000000000000000000000000000000000000000000000,1
B_V,shifted,1,9,-134272779547390683565398126148526794223115515298245574241098679342271907793439094155704601195253161749146818971119138436379284122929562516246937892542252194190936329401182848303287576823146688853485322245709206514207226245414007169907054740490529996792215368873038529296233132939957379054507861242415915689223163077793059531768532182276730454471828311522906060719/14661820241663614751493064207021634601203637694824463391940717155490250096082880209779157854684973370847327602257138951505320232782358588541976174264374312586659291387955957910695257838693429661964995353002528117234152856052522190869711257434450183402330839990861523429319967449964710029217174516578504659015597874562990080000000000000000000000000000000000000000000000000000000000000,-1
B_V,shifted,1,10,-3567383504373871571034191639482765189726650605338167747868201759039471932396566632648021576910953559488862569464960572639103863188920808586512674521284756294882326829830990010216970949958545419049717648148339656681374598321747197052455403156585287926554960906824093578712408915015841192843700336246531791590713367163168188003387465427301272618668717421062511196585155162853553652137259736520694955086311966857779959231907008992552723249958414704266746377633062550261/9408544339114748346805098859656747412215705714805425151632471511983817884397447910156767721989554114612149619528136596655125295645400615543764279281610323469641975278336766624858955050848219195663385739847322058143118866829806995129355009894593237491458557516977433505967503413893528725409229244517889928958108553246690420038964235506505193614170887139055049728918482375981967787432211401737461055767707530559488000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
B_V,shifted,1,11,220099565419115419075408025057469697109632847670020695919004274372898894736077115528100262743472761960359659603727419916414931441438450756944875846905955785928950562890187856535376861977698423201409705157974950826909503302071052298215662462918395586138599729302663087261724471787595231856279061128560378071427387452546429103310087166268996278244403420647656433117837691227242453143918720263724065954129879400888787816544843078583293626310489056094385225608316652654712653081479518716089037834436116644008537506101758851172762396955444146557181714349857012973878745851127879882122838693599/45262210232313465345386918894219826858209332537633729217999998346063860405373623773686464914173703486827943491041083018654909675084673323889616702327778861928631796587273093304474397610061222936845962191365372048349806517650892231576818418605208816608146462940749547225128306198935676319125505309262892465362917910659737948599929534501015834222433651977704055191321406233954269507870036669267869707460950229890423978774942534347041785350594650783314663978255976100335601914733966626776758685211950400091971946321864032256000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
B_V,shifted,1,12,151426018083588147749479438637695042929659059175121092237310983236164577248303777186635957152740744161269851524970084161043105091513289476751408322806798129474479064704734372296522390432628283794004570310058300843613752332034327556647537549780657553638468706213115157113385018800326457282211869713221316288895307521588588736405419448470765394646698115656417544379219952855253671402940661301986453160115555834778605686059414359854359483149500568546708924821379919271101161228194881835225433327807282549362450676588265291147051786339661018158450280810188859462484930401917789587579944090453768716799673042783797907677919290396802588787863536862514636282437285531776695596703215557495999848659901944835815559933997410857803703/10839940783644383589705738323610838406114946516147286656984610781844464256364748581719366160262502271614899817367274342764550903180191381190249734455343314281561665491788085794991131931594416612560097977880439186485050955916194721060573028235421062181297228522278405706184143567188208078102040482557326016141401352519588352149020615008507809466102366880448632735133247725014445145860620451635593938314570219392326923176110093819220454954480137214839221146775144532005483677732840541903421224521076774770311021118599444998731786577235943539338276174328584746662936091070163852414234081948063307947661717523790798665311491929450882232569403801600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
H_U,ordinary,0,1,13/6,1
H_U,ordinary,0,2,66390743/6350400,1
H_U,ordinary,0,3,-16301224863330523685929/2397853719765504000000,-1
H_U,ordinary,0,4,-146532710982755035771528805171379487538954545076197/14482351381143419750573575662292697088000000000000,-1
H_U,ordinary,0,5,29393252546145403428488210000895582528030364851419327158563858732561047473141872563551/158021100163843917591189623158375627455010572691356289446138636926976000000000000000000,1
H_U,ordinary,0,6,146210975097679686679213590659002461698927623745949315286312953256124484607656089657423455451721808196628087209501261534935221977981/970962646174505856937725818674812626667193537991730297228951847189178744936959719334166487628810978276147200000000000000000000000000,1
H_U,ordinary,0,7,461270443214350022590222762797801180123356267642355529131232608672670912858760974549177470216435170835780265884874802284177254396352066341886338780864462953152294834723334730087378071119371218533/233200865673123186922992002618029534294425289625672571450674968382691722555848140001217635520498793252734381816044595022097170764224662367637849373953513157033984000000000000000000000000000000000000,1
H_U,ordinary,0,8,4633342618888585210463933905744984735153682703277964172565345275708822323781124374461408608342082236687306813664221778274183415569657255470420930757532137202690630947812258344460734008554510741083556584612882422016969268394397806011711168954428512194449265073796850231939/774367922186850715285995804622798914480576202210952732174056258107343567470843988521025680611933310021131135485456630625875003545461456537323978683020387027044558492848951324784974218560710927494717863922250401140693379881893888000000000000000000000000000000000000000000000000,1
H_U,ordinary,0,9,16727574307960741087032972082243951680461291433559809721217888656443916278710907241274538784910085894101566909885357036161458616124503099151010542024000347703160220132223029483039859167043040980452334724299029799522403856909964319929264458036896880825218376800135599111484470830526331891684513553439743408910193519179998036819293760841245899838402483447549666697/1228497894715953151992826148094563701114306488499985665236189274538526124924824271813657566467788218013281139494483690920662685970852324747225062301132002609309146208515850357005746429027590964555034492081415104292835008574923527751516804442795163184629260031985602511729332359169520086540837673872837627084800000000000000000000000000000000000000000000000000000000000000,1
H_U,ordinary,0,10,-45435908334240329011945073584143520554441573643852486327690980072747045292734027297076933164299156182907870000088089777304868175833025401176377381348570450609609515273543559320134072094104794892860115961363238294298375525142198614687946134685992747875202232873700398587984764575875562088626875025065313347589940371120452154080771894402553577501431202209181659234565539197085221810905294842002288556084856814702619850285561123939102532375397165780445177811863/617603662953485115926264988166788679730418168955018021552618165569101455640838229429159685958674664448895011399801344286354842300685863522010876461865455023824162321514913478588335167721278883580818228539721192942442926072411159410501466157797819821690509774531431359130825775274976801153039591245252357708963709300567703639020579768536779311447588360822135106930015481707096852945654775808000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
H_U,ordinary,0,11,-3144821765452499122442575315768200312548466044694743366984059451710093019641443835274196394128108733415176663157291489974067683466448980950837299725360607927985860946592227979753024619967987862388258056220486432959857446577754547567798703716822445046488291924791080941453320235895798224418173722412360620336601637757895062416216066783798924039864599477216106800023774725900710566333102681942508009098724491100957617052433061380232227018389680315537777165218926738758618354146670077469551601404048138467481503579178915411698967880857115881006469999990355112245693154835487331540377/82629931671978794533416625173827246060925327424231290385638874777570419432470979253343170982365651035236917821524032914461267389902009527869052488224187259999239536152111364410992092200537003087984473932983091314400421775169376574107528444159732072291320055758525279025249921499541501232086324739493687532771066391421871506950861416552566674644914110149629800886326987038038791630810150416634394010628360509077877497572123496674180172115086785005438432966583712741713297705636122129650853878326886400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
H_U,ordinary,0,12,-39949284521227278012075384498536600121636109429472409872648338415613675994186242284795497713534672505502772248677476942723375026941030578195094136105631375788254950136400764686941295689967410176480658258121222289780794896925898807390590934005574552837068157376220917664077984402948850716557791388381207451655036115537073568717573399982932298722618482405663962646837252973868649471016622786462558800881758453428228392145680511100259134230485770826842056886140023435184006352611321981267369202083947805024709152346619234884935779187158451081031385425315412199113259193494218009023524860591603273010366440444719968414066266125352054767367300064468081240874009317505702363685668697134228965145354904518252927658727953/40573124026984986403123739134885948229120835419134042639393625981589241512476636803952792913040149519034069824115704387290375669322712032675763201246578586951036230683547956098636392179897361508789010481426936148635825014539664640701167950585480421932560071351224560764684778296202248596943941873346578368001383546410461635152314177589398181907342742450423674649934139005937788480532184229781586850003774655659517849699400279151970094062586841263960347416294151916364024126291029940454766214534709506861861043959702186801357345797119226368598935435725729576525195852885463985401979197894070058757960392994341836029952000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-1
H_U,shifted,1,1,-32/63,-1
H_U,shifted,1,2,-174588485100683/7628100480000,-1
H_U,shifted,1,3,-3605658421348437398347600065243951019/137150355706935711576403968000000000,-1
H_U,shifted,1,4,-86280584219237625203136895823589109746268430875351858522914739836487/5416637591489202078052250088123155116269407186190336000000000000000,-1
H_U,shifted,1,5,-11497291094856847462393043392216773278234163253942588993312803187029912978555038879238197058717467082100245181/5920549745385393201904919370838753896936726105412127394697391104151631363506017790853120000000000000000000000,-1
H_U,shifted,1,6,-27009704426903109795493017221765890477026187144829273655990206981688911576868488422488145494373303230559543607730424785300871682250519011254259734923725592402473719/255622097100356748070252545104960500186568887055971813942071361387249680409013992938656512901885907512849378314093259819424129440808960000000000000000000000000000000,-1
H_U,shifted,1,7,-46408005895112438740080499768553624414521450802675320549897656405505177046206498986976954165416264938947554935611796884907452568561591382060015424022177195932164906375494936410958153307960176463339709947818704984841067082945951487659/66869916468221402563070222979065530322558931432970348235746854834432011721386401526150514798162890033010428050268254454912672829803073679427464804274202718750587726924507506799719607060162360115200000000000000000000000000000000000000000,-1
H_U,shifted,1,8,1332920565042789242252109439398125171226146552849707626326442765729205804390650880181984263636096009724074209304940860437969204674692562878862242921368342598784935229489549448650403848640135140838860170270085998990291715603560076495422342018390249915049779165612220966092638720557854107261975808935468467377093810411/440533909510006742628389038877091015931802786849295619857302819688491398422529564699353115119692236889837037368374081160246469089629711102334447258593539017741334392032327590662174486261489305515884901715707277657083429965566940748314671741669490676165045022611210240000000000000000000000000000000000000000000000000000000,1
H_U,shifted,1,9,5030659153135495195616235834195936374957216511051811358422827019981631884055378224262114680059458511308218227636215501424502554788194226495925129549972942964471967816517926367319818812591206146578702878392159941968645683433457809780517948712735408791429567199943165703753325337705323862384474553867448418662577147861545301316055487439207813509827978406300615053253795363767921446883058557672835499943753433199/346773356073957725584558328349980165667636979109860689357513515763613014190066058153542837022829478982739730454024885885784044226140878210275986296767452728420625386794901058652346223975136190514060280268716867978530782879601427545826964259585058267580233563868770907444960671825880510836699052345868824833835722978961702372611033900922324469678080000000000000000000000000000000000000000000000000000000000000000000000,1
H_U,shifted,1,10,1669899691530867625428315627042914174685116915656961089206448734415760543351538577673748206872703140689554262721013476248141899846654907330486187631226653640185473831808501830214381413425501162723977954875497420696254864969855147881789208804536801614365237820340926104356362924832046913790030120501459031373180031392958743268955912165358607090135764481394163945754412585507557819934143222353707122419770526733917020760530229084298266976288266095223730833490840141814878496139106845608441376386013948705536602672633471013/113261727894911630464746387609385832636129993217786674032355741082639993251371497045923628047880893145531154965147127473858116329882256929418781846367098169284561755100549762482274537433315142925667813324807589086213938862510997454161472721684802133545798016192008465027602455608670019228957240666362210162950927504408490758550245520114663244306595216173176845620804333287970474268913550322460812228791416782541429167824206109345164412170880942080000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
H_U,shifted,1,11,200387503870336080607996448494517192986082244075520531377425958593307974774058218912109930858670612587840170647977216911393114438439334840666105055978910729515470360655122314221041970722144642382385269010083112796415551620869769997809286365722014900895206366795078081378769077043321561592351125381714449830628769184214830660656884926414018807642435129911183261385789632494063293000429231707156561703965451288365103579409627792153026097499343123242340381574775359377686403975494210633113885223424810388356794626498370736345208026001768089506691235068291916201996021312094616294429384394281861289865617594846016013722070075601375454216621396145597967/67430719962086941171511065987209970787358893606691104066102765207181368377709282716359782400981170987311512804600444667442965696392111876714027447724967185108342042003139309237697472715944630439438439227509242886261720438354834429052011260412114283225543453161855063617669858656925129457717445188090223553221680116208303529614250867804681949724162981491686856998245185465497185283899633247280286076914576257074138982317689196637957140889133818469403689908272165705591685890582989706729531520483893450546255767375381320537856115489417487704140134176044508774400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
H_U,shifted,1,12,28929435537332779816363013508050996299653968273610802701663130003685297995086302894865967669371822297172163637760347954144528025353004717855599057989281005920431008929088146457721134407762840373962125051555541658622199595079089783211660348810414518156480734973322691782869489132400938338018595846198210766396851006640966147100793676736034713433202702242635785514372262322023351049533441569946627880793302502149482961308708824056142011783754224042787538764263796762975319894535844548348187677262718061566633238790344936190494636794799060802241209399015163364594048687241265247014350055134677244431683732501440737713139125848851521005701661804715894869412840892450362736851830131775044783120220498759711153684982023545079610515568662731480669154197276740200801972428107818146186960265352341/347152937084988541829041255648717008117224701983301429894367413298142378180039756003036748226180127049935593068450052164610894477220029484248292677038914413921324625202273593578540874583665809617410776927158250564028924371598798549412407687561934934448466131124659970600675283390383795416512206968500568797690649552885754309032948389645761674117244168479474385680234519908262697009142744923190752167281009007972075260017246069185777635492341076044923692874912208316573927315397447890656482750568469319028109540640625835206321197596573546539670857324966048045054772139200788551481082448288470810603080235370298381876566980893181883614682799023190605268997192520673300742469799441858560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
H_V,ordinary,0,1,1/6,1
H_V,ordinary,0,2,-29699111/12700800,-1
H_V,ordinary,0,3,289590910460874759418699/249376786855612416000000,1
H_V,ordinary,0,4,6182421619860595231736322227097417948652338304441/463435244196589432018354421193366306816000000000000,1
H_V,ordinary,0,5,-20463880814921143051578217591254597435462135313292380956581688199896475145328052593877/20226700820972021451672271764272080314241353304493605049105745526652928000000000000000000,-1
H_V,ordinary,0,6,-48358220364514161726632774597302401920486725943055953013524417015741084565621957545002561629947833913004802021243052274491825157187/2108889984853293057864237837074590927747389956369070132726663245701330373845394954195100804119772021195653775360000000000000000000000000,-1
H_V,ordinary,0,7,-11011867145819440302700169729415317444488089031852357212699342197709787422659758851090558884421774162419709963745945657506593132144316670446606088695056257921393158122051055745132902217262299087/100546394294432902488060551865626207628417472242816300280206807420579504798816208573156572114943479701389476623001964337948422257922549163983645372180377883285389312000000000000000000000000000000000000,-1
H_V,ordinary,0,8,282404399500318628569234038629649859786705277017412696180450440989974807950713983307190189501173878779562437078978975533644592756580847615046534161761992679472407326083415877539276945008590815009312924368772226607986593748661203945754644665314211929393450798662409643343/2274954103205816655864756116113368088179957054638830956292642627955852705141379349007866231239957235420976038749219016141605086277998986907554605071087976188472753138053570214739327293237006094744206169276247688824256060245577144729600000000000000000000000000000000000000000000000,1
H_V,ordinary,0,9,1547833641324761297191458221642628387435185887712081974032132125441955564164351168768381821006443023809733054121126729589778612709368616319923964290787530488248899821296409549420808663194562248672206829257424502776467480480807978605999627294877293792705073778415372326442805372454735902086747888947883647233917399435340283245883858166969356267496756039726758009/40255419014052352884500927220762663358113595015167530278459450148078424061536641738789931138016484327859196378955241584088274893892888977317070841483493461501842102960647384498364298986376100726539370236523810137467617560983094157361702647981511907233931592728104223104346762745266834195770168897465143364314726400000000000000000000000000000000000000000000000000000000000000,1
