sampleIndex,epsilonExact,muExact,muDecimal,normalGainSquaredExact,normalGainDecimal,planarGainSquaredExact,planarGainDecimal,formalPlanarUpperBoundExact,classification
202,1/8,-99/200,-0.495,30199/40000,0.86889297384660669,29021239/113937500,0.50468992125953382,9/16,exact squared-gain presentation row
203,1/8,-197/400,-0.49249999999999999,121191/160000,0.87031244389586893,7393741719/29152000000,0.50361419197285973,9/16,exact squared-gain presentation row
204,1/8,-49/100,-0.48999999999999999,7599/10000,0.87172243288790041,38321757/151750000,0.50252579171066591,9/16,exact squared-gain presentation row
205,1/8,-39/80,-0.48749999999999999,4879/6400,0.8731229867550161,1673497/6656000,0.50142480286947544,9/16,exact squared-gain presentation row
206,1/8,-97/200,-0.48499999999999999,30591/40000,0.87451415082890449,113829111/454750000,0.5003113071560239,9/16,exact squared-gain presentation row
207,1/8,-193/400,-0.48249999999999998,122751/160000,0.87589596985030138,805369311/3232000000,0.49918538559892212,9/16,exact squared-gain presentation row
208,1/8,-12/25,-0.47999999999999998,481/625,0.87726848797845236,7042321/28390625,0.49804711856008049,9/16,exact squared-gain presentation row
209,1/8,-191/400,-0.47749999999999998,123519/160000,0.87863174880037198,7174107039/29056000000,0.49689658574590356,9/16,exact squared-gain presentation row
210,1/8,-19/40,-0.47499999999999998,1239/1600,0.87998579533990207,3717/15125,0.49573386621825877,9/16,exact squared-gain presentation row
211,1/8,-189/400,-0.47249999999999998,124279/160000,0.88133067006657606,7098940759/29024000000,0.4945590384052263,9/16,exact squared-gain presentation row
212,1/8,-47/100,-0.46999999999999997,7791/10000,0.88266641490429443,2251599/9250000,0.49337218011163547,9/16,exact squared-gain presentation row
213,1/8,-187/400,-0.46750000000000003,125031/160000,0.88399307123981463,2340955413/9664000000,0.49217336852939286,9/16,exact squared-gain presentation row
214,1/8,-93/200,-0.46500000000000002,31351/40000,0.88531067993106238,109132831/452750000,0.49096268024760686,9/16,exact squared-gain presentation row
215,1/8,-37/80,-0.46250000000000002,5031/6400,0.88661928131526668,11113479/46336000,0.48974019126251556,9/16,exact squared-gain presentation row
216,1/8,-23/50,-0.46000000000000002,1971/2500,0.88791891521692456,999297/4187500,0.48850597698722048,9/16,exact squared-gain presentation row
217,1/8,-183/400,-0.45750000000000002,126511/160000,0.88920962095559897,6868155679/28928000000,0.48726011226123328,9/16,exact squared-gain presentation row
218,1/8,-91/200,-0.45500000000000002,31719/40000,0.89049143735355474,26675679/112937500,0.48600267135983799,9/16,exact squared-gain presentation row
219,1/8,-181/400,-0.45250000000000001,127239/160000,0.89176440274323576,323314299/1376000000,0.48473372800327552,9/16,exact squared-gain presentation row
220,1/8,-9/20,-0.45000000000000001,319/400,0.89302855497458755,168751/722000,0.48345335536575235,9/16,exact squared-gain presentation row
221,1/8,-179/400,-0.44750000000000001,127959/160000,0.89428393142223006,6710297919/28864000000,0.4821616260842802,9/16,exact squared-gain presentation row
222,1/8,-89/200,-0.44500000000000001,32079/40000,0.89553056899248284,34741557/150250000,0.48085861226734883,9/16,exact squared-gain presentation row
223,1/8,-177/400,-0.4425,128671/160000,0.89676850413024656,6630287959/28832000000,0.47954438550343703,9/16,exact squared-gain presentation row
224,1/8,-11/25,-0.44,504/625,0.89799777282574589,6435576/28140625,0.47821901686936552,9/16,exact squared-gain presentation row
225,1/8,-7/16,-0.4375,207/256,0.89921841062113494,1863/8192,0.47688257693849539,9/16,exact squared-gain presentation row
226,1/8,-87/200,-0.435,32431/40000,0.90043045261696919,908068/4015625,0.47553513578877615,9/16,exact squared-gain presentation row
227,1/8,-173/400,-0.4325,130071/160000,0.9016339334785487,6468300759/28768000000,0.47417676301064643,9/16,exact squared-gain presentation row
228,1/8,-43/100,-0.42999999999999999,8151/10000,0.90282888744213319,33476157/149750000,0.47280752771479112,9/16,exact squared-gain presentation row
229,1/8,-171/400,-0.42749999999999999,130759/160000,0.90401534832103381,6386400319/28736000000,0.47142749853975885,9/16,exact squared-gain presentation row
230,1/8,-17/40,-0.42499999999999999,1311/1600,0.90519334951158359,158631/718000,0.47003674365944215,9/16,exact squared-gain presentation row
231,1/8,-169/400,-0.42249999999999999,131439/160000,0.90636292399899065,2101315293/9568000000,0.46863533079042408,9/16,exact squared-gain presentation row
232,1/8,-21/50,-0.41999999999999998,2059/2500,0.90752410436307418,24462979/112062500,0.46722332719919424,9/16,exact squared-gain presentation row
233,1/8,-167/400,-0.41749999999999998,132111/160000,0.90867692278389023,888710697/4096000000,0.46580079970923799,9/16,exact squared-gain presentation row
234,1/8,-83/200,-0.41499999999999998,33111/40000,0.90982141104724501,2681991/12437500,0.46436781470800004,9/16,exact squared-gain presentation row
235,1/8,-33/80,-0.41249999999999998,5311/6400,0.91095760055010244,9820039/45824000,0.46292443815372736,9/16,exact squared-gain presentation row
236,1/8,-41/100,-0.40999999999999998,8319/10000,0.91208552230588547,95244231/447250000,0.46147073558219298,9/16,exact squared-gain presentation row
237,1/8,-163/400,-0.40749999999999997,133431/160000,0.91320520694967566,2017877013/9536000000,0.46000677211330343,9/16,exact squared-gain presentation row
238,1/8,-81/200,-0.40500000000000003,33439/40000,0.91431668474331151,93930151/446750000,0.45853261245759308,9/16,exact squared-gain presentation row
239,1/8,-161/400,-0.40250000000000002,134079/160000,0.91541998558038917,5969331159/28576000000,0.45704832092260739,9/16,exact squared-gain presentation row
240,1/8,-2/5,-0.40000000000000002,21/25,0.91651513899116799,441/2125,0.45555396141917798,9/16,exact squared-gain presentation row
241,1/8,-159/400,-0.39750000000000002,134719/160000,0.91760217414738066,5884660639/28544000000,0.45404959746759171,9/16,exact squared-gain presentation row
242,1/8,-79/200,-0.39500000000000002,33759/40000,0.91868111986695367,5705271/27859375,0.45253529220365629,9/16,exact squared-gain presentation row
243,1/8,-157/400,-0.39250000000000002,135351/160000,0.91975200461863627,71600679/352000000,0.45101110838466457,9/16,exact squared-gain presentation row
244,1/8,-39/100,-0.39000000000000001,8479/10000,0.92081485652654405,89953711/445250000,0.44947710839526012,9/16,exact squared-gain presentation row
245,1/8,-31/80,-0.38750000000000001,5439/6400,0.9218697033746146,9142959/45568000,0.44793335425320591,9/16,exact squared-gain presentation row
246,1/8,-77/200,-0.38500000000000001,34071/40000,0.92291657261098092,29539557/148250000,0.44637990761505869,9/16,exact squared-gain presentation row
247,1/8,-153/400,-0.38250000000000001,136591/160000,0.92395549135226207,804111217/4064000000,0.4448168297817503,9/16,exact squared-gain presentation row
248,1/8,-19/50,-0.38,2139/2500,0.92498648638777425,21819939/111062500,0.44324418170407931,9/16,exact squared-gain presentation row
249,1/8,-151/400,-0.3775,137199/160000,0.92600958418366275,1847658933/9472000000,0.44166202398811361,9/16,exact squared-gain presentation row
250,1/8,-3/8,-0.375,55/64,0.92702481088695787,55/284,0.44007041690050686,9/16,exact squared-gain presentation row
251,1/8,-149/400,-0.3725,137799/160000,0.92803219232955492,5456978199/28384000000,0.4384694203737301,9/16,exact squared-gain presentation row
252,1/8,-37/100,-0.37,8631/10000,0.92903175403212135,9399159/49250000,0.43685909401122069,9/16,exact squared-gain presentation row
253,1/8,-147/400,-0.36749999999999999,138391/160000,0.93002352120793164,5370816319/28352000000,0.43523949709245019,9/16,exact squared-gain presentation row
254,1/8,-73/200,-0.36499999999999999,34671/40000,0.93100751876663168,11892153/63250000,0.43361068857791302,9/16,exact squared-gain presentation row
255,1/8,-29/80,-0.36249999999999999,5559/6400,0.93198377131793453,2818413/15104000,0.43197272711403784,9/16,exact squared-gain presentation row
256,1/8,-9/25,-0.35999999999999999,544/625,0.93295230317524802,5118496/27640625,0.43032567103802261,9/16,exact squared-gain presentation row
257,1/8,-143/400,-0.35749999999999998,139551/160000,0.93391313835923739,5198135199/28288000000,0.42866957838259606,9/16,exact squared-gain presentation row
258,1/8,-71/200,-0.35499999999999998,34959/40000,0.93486630060132125,1678032/9203125,0.42700450688070568,9/16,exact squared-gain presentation row
259,1/8,-141/400,-0.35249999999999998,140119/160000,0.93581181334710672,5111681239/28256000000,0.42533051397013555,9/16,exact squared-gain presentation row
260,1/8,-7/20,-0.34999999999999998,351/400,0.93674969975975975,126711/706000,0.42364765679805383,9/16,exact squared-gain presentation row
261,1/8,-139/400,-0.34749999999999998,140679/160000,0.93767998272331698,11394999/64000000,0.42195599222549263,9/16,exact squared-gain presentation row
262,1/8,-69/200,-0.34499999999999997,35239/40000,0.93860268484593623,77842951/440750000,0.42025557683176107,9/16,exact squared-gain presentation row
263,1/8,-137/400,-0.34250000000000003,141231/160000,0.93951782846308995,4938706839/28192000000,0.41854646691879305,9/16,exact squared-gain presentation row
264,1/8,-17/50,-0.34000000000000002,2211/2500,0.9404254356406998,6374313/36687500,0.41682871851543091,9/16,exact squared-gain presentation row
265,1/8,-27/80,-0.33750000000000002,5671/6400,0.94132552817821746,7763599/45056000,0.41510238738164729,9/16,exact squared-gain presentation row
266,1/8,-67/200,-0.33500000000000002,35511/40000,0.94221812761164814,18785319/109937500,0.41336752901270479,9/16,exact squared-gain presentation row
267,1/8,-133/400,-0.33250000000000002,142311/160000,0.94310325521652183,1588617693/9376000000,0.4116241986432565,9/16,exact squared-gain presentation row
268,1/8,-33/100,-0.33000000000000002,8911/10000,0.94398093201081135,10541713/62750000,0.40987245125138716,9/16,exact squared-gain presentation row
269,1/8,-131/400,-0.32750000000000001,142839/160000,0.94485117875779778,4679548479/28096000000,0.40811234156259735,9/16,exact squared-gain presentation row
270,1/8,-13/40,-0.32500000000000001,1431/1600,0.94571401596888693,4293/26000,0.40634392405373138,9/16,exact squared-gain presentation row
271,1/8,-129/400,-0.32250000000000001,143359/160000,0.94656946390637386,4593365719/28064000000,0.40456725295684931,9/16,exact squared-gain presentation row
272,1/8,-8/25,-0.32000000000000001,561/625,0.94741754258616084,4443681/27390625,0.40278238226304608,9/16,exact squared-gain presentation row
273,1/8,-127/400,-0.3175,143871/160000,0.94825827178042588,1502444853/9344000000,0.40098936572621685,9/16,exact squared-gain presentation row
274,1/8,-63/200,-0.315,36031/40000,0.9490916710202445,4359751/27359375,0.39918825686677112,9/16,exact squared-gain presentation row
275,1/8,-5/16,-0.3125,231/256,0.94991775959816649,1617/10240,0.39737910897529577,9/16,exact squared-gain presentation row
276,1/8,-31/100,-0.31,9039/10000,0.95073655657074641,22805397/145750000,0.3955619751161687,9/16,exact squared-gain presentation row
277,1/8,-123/400,-0.3075,144871/160000,0.95154808076103015,4335844159/27968000000,0.39373690813112344,9/16,exact squared-gain presentation row
278,1/8,-61/200,-0.30499999999999999,36279/40000,0.95235235076099856,67079871/436750000,0.39190396064276656,9/16,exact squared-gain presentation row
279,1/8,-121/400,-0.30249999999999999,145359/160000,0.95314938493396717,472271391/3104000000,0.39006318505804782,9/16,exact squared-gain presentation row
280,1/8,-3/10,-0.29999999999999999,91/100,0.95393920141694566,26299/174500,0.38821463357168506,9/16,exact squared-gain presentation row
281,1/8,-119/400,-0.29749999999999999,145839/160000,0.95472181812295465,4165307679/27904000000,0.38635835816954395,9/16,exact squared-gain presentation row
282,1/8,-59/200,-0.29499999999999998,36519/40000,0.95549725274330333,766899/5187500,0.38449441063197382,9/16,exact squared-gain presentation row
283,1/8,-117/400,-0.29249999999999998,146311/160000,0.95626552274982701,4080467479/27872000000,0.38262284253710088,9/16,exact squared-gain presentation row
284,1/8,-29/100,-0.28999999999999998,9159/10000,0.95702664539708615,63096351/435250000,0.38074370526407841,9/16,exact squared-gain presentation row
285,1/8,-23/80,-0.28749999999999998,5871/6400,0.95778063772452615,2131173/14848000,0.37885704999629682,9/16,exact squared-gain presentation row
286,1/8,-57/200,-0.28499999999999998,36751/40000,0.95852751655860147,61778431/434750000,0.37696292772455209,9/16,exact squared-gain presentation row
287,1/8,-113/400,-0.28249999999999997,147231/160000,0.95926729851486126,3911780439/27808000000,0.37506138925017535,9/16,exact squared-gain presentation row
288,1/8,-7/25,-0.28000000000000003,576/625,0.95999999999999996,419904/3015625,0.37315248518812322,9/16,exact squared-gain presentation row
289,1/8,-111/400,-0.27750000000000002,147679/160000,0.96072563721387172,546855337/3968000000,0.37123626597003018,9/16,exact squared-gain presentation row
290,1/8,-11/40,-0.27500000000000002,1479/1600,0.96144422615147052,5916/43375,0.36931278184722344,9/16,exact squared-gain presentation row
291,1/8,-109/400,-0.27250000000000002,148119/160000,0.96215578260487522,1248198813/9248000000,0.36738208289370194,9/16,exact squared-gain presentation row
292,1/8,-27/100,-0.27000000000000002,9271/10000,0.96286032216516226,57860311/433250000,0.36544421900907831,9/16,exact squared-gain presentation row
293,1/8,-107/400,-0.26750000000000002,148551/160000,0.96355786022428358,3661633599/27712000000,0.36349923992148708,9/16,exact squared-gain presentation row
294,1/8,-53/200,-0.26500000000000001,37191/40000,0.9642484119769138,18855837/144250000,0.3615471951904573,9/16,exact squared-gain presentation row
295,1/8,-21/80,-0.26250000000000001,5959/6400,0.96493199242226391,5726599/44288000,0.35958813420975233,9/16,exact squared-gain presentation row
296,1/8,-13/50,-0.26000000000000001,2331/2500,0.96560861636586492,1974357/15437500,0.35762210621017604,9/16,exact squared-gain presentation row
297,1/8,-103/400,-0.25750000000000001,149391/160000,0.96627829842131918,129521997/1024000000,0.35564916026234689,9/16,exact squared-gain presentation row
298,1/8,-51/200,-0.255,37399/40000,0.96694105301202304,13501039/107937500,0.35366934527944027,9/16,exact squared-gain presentation row
299,1/8,-101/400,-0.2525,149799/160000,0.96759689437285812,3415566999/27616000000,0.35168271001989976,9/16,exact squared-gain presentation row
300,1/8,-1/4,-0.25,15/16,0.96824583655185426,45/368,0.34968930309011764,9/16,exact squared-gain presentation row
301,1/8,-99/400,-0.2475,150199/160000,0.96888789341182291,3334567999/27584000000,0.34768917294708612,9/16,exact squared-gain presentation row
302,1/8,-49/200,-0.245,37599/40000,0.9695230786319633,51473031/430750000,0.34568236790101869,9/16,exact squared-gain presentation row
303,1/8,-97/400,-0.24249999999999999,150591/160000,0.97015140570943881,154958139/1312000000,0.34366893611794336,9/16,exact squared-gain presentation row
304,1/8,-6/25,-0.23999999999999999,589/625,0.97077288796092776,3138781/26890625,0.34164892562226729,9/16,exact squared-gain presentation row
305,1/8,-19/80,-0.23749999999999999,6039/6400,0.97138753852414639,5078799/44032000,0.33962238429931435,9/16,exact squared-gain presentation row
306,1/8,-47/200,-0.23499999999999999,37791/40000,0.97199537035934491,340119/2984375,0.33758935989783562,9/16,exact squared-gain presentation row
307,1/8,-93/400,-0.23250000000000001,151351/160000,0.97259639625077776,3094976599/27488000000,0.33554990003249302,9/16,exact squared-gain presentation row
308,1/8,-23/100,-0.23000000000000001,9471/10000,0.97319062880814877,47743311/429250000,0.33350405218631785,9/16,exact squared-gain presentation row
309,1/8,-91/400,-0.22750000000000001,151719/160000,0.97377808046802949,1005441813/9152000000,0.33145186371314322,9/16,exact squared-gain presentation row
310,1/8,-9/40,-0.22500000000000001,1519/1600,0.97435876349525385,217/2000,0.3293933818400121,9/16,exact squared-gain presentation row
311,1/8,-89/400,-0.2225,152079/160000,0.97493268998428806,2938318359/27424000000,0.32732865366956065,9/16,exact squared-gain presentation row
312,1/8,-11/50,-0.22,2379/2500,0.97549987186057585,3775473/35687500,0.3252577261823783,9/16,exact squared-gain presentation row
313,1/8,-87/400,-0.2175,152431/160000,0.97606032088186023,2860977439/27392000000,0.32318064623934384,9/16,exact squared-gain presentation row
314,1/8,-43/200,-0.215,38151/40000,0.97661404863948176,11025639/106937500,0.32109746058393879,9/16,exact squared-gain presentation row
315,1/8,-17/80,-0.21249999999999999,6111/6400,0.97716106655965373,494991/4864000,0.3190082158445387,9/16,exact squared-gain presentation row
316,1/8,-21/100,-0.20999999999999999,9559/10000,0.97770138590471478,42910351/427250000,0.31691295853668211,9/16,exact squared-gain presentation row
317,1/8,-83/400,-0.20749999999999999,153111/160000,0.97823501777435873,386911497/3904000000,0.31481173506531812,9/16,exact squared-gain presentation row
318,1/8,-41/200,-0.20499999999999999,38319/40000,0.97876197310684276,13909797/142250000,0.31270459172703313,9/16,exact squared-gain presentation row
319,1/8,-81/400,-0.20250000000000001,153439/160000,0.97928226268017327,2633166679/27296000000,0.3105915747122564,9/16,exact squared-gain presentation row
320,1/8,-1/5,-0.20000000000000001,24/25,0.9797958971132712,4056/42625,0.30847273010744619,9/16,exact squared-gain presentation row
321,1/8,-79/400,-0.19750000000000001,153759/160000,0.9803028868671152,852901173/9088000000,0.30634810389725553,9/16,exact squared-gain presentation row
322,1/8,-39/200,-0.19500000000000001,38479/40000,0.98080324224586457,2462656/26609375,0.30421774196667878,9/16,exact squared-gain presentation row
323,1/8,-77/400,-0.1925,154071/160000,0.98129697339796174,2485011159/27232000000,0.30208169010317959,9/16,exact squared-gain presentation row
324,1/8,-19/100,-0.19,9639/10000,0.98178409031721425,22491/250000,0.29993999399879973,9/16,exact squared-gain presentation row
325,1/8,-3/16,-0.1875,247/256,0.98226460284385697,6175/69632,0.29779269925225027,9/16,exact squared-gain presentation row
326,1/8,-37/200,-0.185,38631/40000,0.98273852066559397,37124391/424750000,0.29563985137098486,9/16,exact squared-gain presentation row
327,1/8,-73/400,-0.1825,154671/160000,0.9832058533186222,780005853/9056000000,0.29348149577325555,9/16,exact squared-gain presentation row
328,1/8,-9/50,-0.17999999999999999,2419/2500,0.98366661018863499,9001099/106062500,0.29131767779015155,9/16,exact squared-gain presentation row
329,1/8,-71/400,-0.17749999999999999,154959/160000,0.98412080051180706,2268754719/27136000000,0.28914844266762157,9/16,exact squared-gain presentation row
330,1/8,-7/40,-0.17499999999999999,1551/1600,0.98456843337576083,4653/56500,0.28697383556847994,9/16,exact squared-gain presentation row
331,1/8,-69/400,-0.17249999999999999,155239/160000,0.98500951772051415,314048497/3872000000,0.28479390157439632,9/16,exact squared-gain presentation row
332,1/8,-17/100,-0.17000000000000001,9711/10000,0.98544406233941051,33803991/423250000,0.28260868568787062,9/16,exact squared-gain presentation row
333,1/8,-67/400,-0.16750000000000001,155511/160000,0.98587207588003023,236532231/3008000000,0.28041823283419193,9/16,exact squared-gain presentation row
334,1/8,-33/200,-0.16500000000000001,38911/40000,0.98629356684508485,32724151/422750000,0.27822258786338322,9/16,exact squared-gain presentation row
335,1/8,-13/80,-0.16250000000000001,6231/6400,0.9867085435932943,3296199/43264000,0.27602179555213113,9/16,exact squared-gain presentation row
336,1/8,-4/25,-0.16,609/625,0.98711701434024535,659547/8796875,0.27381590060570177,9/16,exact squared-gain presentation row
337,1/8,-63/400,-0.1575,156031/160000,0.98751898715923425,1992359839/27008000000,0.27160494765984233,9/16,exact squared-gain presentation row
338,1/8,-31/200,-0.155,39039/40000,0.9879144699820932,273273/3765625,0.26938898128266964,9/16,exact squared-gain presentation row
339,1/8,-61/400,-0.1525,156279/160000,0.98830347059999746,641837853/8992000000,0.26716804597654503,9/16,exact squared-gain presentation row
340,1/8,-3/20,-0.14999999999999999,391/400,0.98868599666425949,47311/674000,0.26494218617993653,9/16,exact squared-gain presentation row
341,1/8,-59/400,-0.14749999999999999,156519/160000,0.98906205568710392,1859602239/26944000000,0.26271144626926846,9/16,exact squared-gain presentation row
342,1/8,-29/200,-0.14499999999999999,39159/40000,0.98943165504242891,3171879/46750000,0.26047587056075849,9/16,exact squared-gain presentation row
343,1/8,-57/400,-0.14249999999999999,156751/160000,0.98979480196654901,1794642199/26912000000,0.25823550331224299,9/16,exact squared-gain presentation row
344,1/8,-7/50,-0.14000000000000001,2451/2500,0.99015150355892512,6884859/105062500,0.25599038872499036,9/16,exact squared-gain presentation row
345,1/8,-11/80,-0.13750000000000001,6279/6400,0.9905017667828766,131859/2048000,0.25374057094550334,9/16,exact squared-gain presentation row
346,1/8,-27/200,-0.13500000000000001,39271/40000,0.99084559846627973,6636799/104937500,0.2514860940673096,9/16,exact squared-gain presentation row
347,1/8,-53/400,-0.13250000000000001,157191/160000,0.9911830053022499,1667639319/26848000000,0.24922700213274221,9/16,exact squared-gain presentation row
348,1/8,-13/100,-0.13,9831/10000,0.99151399384980943,8523477/139750000,0.24696333913470903,9/16,exact squared-gain presentation row
349,1/8,-51/400,-0.1275,157399/160000,0.99183857053454016,1605627199/26816000000,0.24469514901845171,9/16,exact squared-gain presentation row
350,1/8,-1/8,-0.125,63/64,0.99215674164922152,63/1072,0.24242247568329534,9/16,exact squared-gain presentation row
351,1/8,-49/400,-0.1225,157599/160000,0.99246851335445396,57208437/992000000,0.24014536298438749,9/16,exact squared-gain presentation row
352,1/8,-3/25,-0.12,616/625,0.99277389167926855,211288/3734375,0.23786385473442856,9/16,exact squared-gain presentation row
353,1/8,-47/400,-0.11749999999999999,157791/160000,0.9930728825217211,1484655519/26752000000,0.23557799470539237,9/16,exact squared-gain presentation row
354,1/8,-23/200,-0.115,39471/40000,0.99336549164947341,473652/8703125,0.23328782663023795,9/16,exact squared-gain presentation row
355,1/8,-9/80,-0.1125,6319/6400,0.99365172470036001,2281159/42752000,0.23099339420461285,9/16,exact squared-gain presentation row
356,1/8,-11/100,-0.11,9879/10000,0.99393158718294083,21822711/417250000,0.22869474108854759,9/16,exact squared-gain presentation row
357,1/8,-43/400,-0.1075,158151/160000,0.99420508447704081,455949333/8896000000,0.2263919109081424,9/16,exact squared-gain presentation row
358,1/8,-21/200,-0.105,39559/40000,0.99447222183427531,20926711/416750000,0.22408494725724562,9/16,exact squared-gain presentation row
359,1/8,-41/400,-0.10249999999999999,158319/160000,0.99473300437856182,26755911/544000000,0.22177389369912454,9/16,exact squared-gain presentation row
360,1/8,-1/10,-0.10000000000000001,99/100,0.99498743710661997,891/18500,0.21945879376812896,9/16,exact squared-gain presentation row
361,1/8,-39/400,-0.097500000000000003,158479/160000,0.99523552488845568,1255312159/26624000000,0.2171396909713473,9/16,exact squared-gain presentation row
362,1/8,-19/200,-0.095000000000000001,39639/40000,0.99547727246783491,4796319/103937500,0.21481662879025587,9/16,exact squared-gain presentation row
363,1/8,-37/400,-0.092499999999999999,158631/160000,0.99571268446274197,400226013/8864000000,0.21248965068236125,9/16,exact squared-gain presentation row
364,1/8,-9/100,-0.089999999999999997,9919/10000,0.99594176536582701,18340231/415250000,0.21015880008283661,9/16,exact squared-gain presentation row
365,1/8,-7/80,-0.087499999999999994,6351/6400,0.99616451954483898,1835439/42496000,0.20782412040615103,9/16,exact squared-gain presentation row
366,1/8,-17/200,-0.085000000000000006,39711/40000,0.99638095124304737,833931/19750000,0.20548565504769364,9/16,exact squared-gain presentation row
367,1/8,-33/400,-0.082500000000000004,158911/160000,0.99659106457964997,1094737879/26528000000,0.20314344738539125,9/16,exact squared-gain presentation row
368,1/8,-2/25,-0.080000000000000002,621/625,0.996794863550169,1043901/25890625,0.20079754078132081,9/16,exact squared-gain presentation row
369,1/8,-31/400,-0.077499999999999999,159039/160000,0.99699235202683478,115939431/2944000000,0.19844797858331625,9/16,exact squared-gain presentation row
370,1/8,-3/40,-0.074999999999999997,1591/1600,0.99718353375895652,1591/41375,0.19609480412657054,9/16,exact squared-gain presentation row
371,1/8,-29/400,-0.072499999999999995,159159/160000,0.99736841237328144,993311319/26464000000,0.19373806073523242,9/16,exact squared-gain presentation row
372,1/8,-7/100,-0.070000000000000007,9951/10000,0.99754699137434122,5045157/137750000,0.1913777917239988,9/16,exact squared-gain presentation row
373,1/8,-27/400,-0.067500000000000004,159271/160000,0.99771927414478667,134902537/3776000000,0.1890140403997024,9/16,exact squared-gain presentation row
374,1/8,-13/200,-0.065000000000000002,39831/40000,0.99788526394571031,14378991/412750000,0.18664685006289544,9/16,exact squared-gain presentation row
375,1/8,-1/16,-0.0625,255/256,0.99804496391695696,765/22528,0.18427626400942887,9/16,exact squared-gain presentation row
376,1/8,-3/50,-0.059999999999999998,2491/2500,0.99819837707742243,3410179/103062500,0.18190232553202826,9/16,exact squared-gain presentation row
377,1/8,-23/400,-0.057500000000000002,159471/160000,0.99834550632534025,849820959/26368000000,0.17952507792186567,9/16,exact squared-gain presentation row
378,1/8,-11/200,-0.055,39879/40000,0.99848635443855716,119637/3812500,0.17714456447012839,9/16,exact squared-gain presentation row
379,1/8,-21/400,-0.052499999999999998,159559/160000,0.9986209240747963,804336919/26336000000,0.17476082846958427,9/16,exact squared-gain presentation row
380,1/8,-1/20,-0.050000000000000003,399/400,0.99874921777190895,2793/94000,0.17237391321614418,9/16,exact squared-gain presentation row
381,1/8,-19/400,-0.047500000000000001,159639/160000,0.99887123794811516,253347093/8768000000,0.16998386201042176,9/16,exact squared-gain presentation row
382,1/8,-9/200,-0.044999999999999998,39919/40000,0.99898698690223187,11536591/410750000,0.16759071815929033,9/16,exact squared-gain presentation row
383,1/8,-17/400,-0.042500000000000003,159711/160000,0.99909646681389075,716942679/26272000000,0.16519452497743778,9/16,exact squared-gain presentation row
384,1/8,-1/25,-0.040000000000000001,624/625,0.99919967974374369,226512/8546875,0.16279532578891906,9/16,exact squared-gain presentation row
385,1/8,-3/80,-0.037499999999999999,6391/6400,0.99929662763365712,1080079/41984000,0.1603931639287067,9/16,exact squared-gain presentation row
386,1/8,-7/200,-0.035000000000000003,39951/40000,0.99938731230689537,639216/25609375,0.1579880827442397,9/16,exact squared-gain presentation row
387,1/8,-13/400,-0.032500000000000001,159831/160000,0.99947173546829227,10069353/416000000,0.15558012559697088,9/16,exact squared-gain presentation row
388,1/8,-3/100,-0.029999999999999999,9991/10000,0.9995498987044118,9601351/409250000,0.1531693358639126,9/16,exact squared-gain presentation row
389,1/8,-11/400,-0.0275,159879/160000,0.99962180348369756,594909759/26176000000,0.15075575693918167,9/16,exact squared-gain presentation row
390,1/8,-1/40,-0.025000000000000001,1599/1600,0.99968745115661028,4797/218000,0.14833943223554316,9/16,exact squared-gain presentation row
391,1/8,-9/400,-0.022499999999999999,159919/160000,0.99974684295575544,556678039/26144000000,0.14592040518595337,9/16,exact squared-gain presentation row
392,1/8,-1/50,-0.02,2499/2500,0.99979997999599901,2101659/102062500,0.1434987192451023,9/16,exact squared-gain presentation row
393,1/8,-7/400,-0.017500000000000002,159951/160000,0.99984686327457173,173226933/8704000000,0.1410744178909559,9/16,exact squared-gain presentation row
394,1/8,-3/200,-0.014999999999999999,39991/40000,0.99988749367116292,279937/14562500,0.13864754462629797,9/16,exact squared-gain presentation row
395,1/8,-1/80,-0.012500000000000001,6399/6400,0.99992187194800375,774279/41728000,0.13621814298027216,9/16,exact squared-gain presentation row
396,1/8,-1/100,-0.01,9999/10000,0.99994999874993751,809919/45250000,0.13378625650992418,9/16,exact squared-gain presentation row
397,1/8,-3/400,-0.0074999999999999997,159991/160000,0.99997187460448111,449414719/26048000000,0.13135192880174457,9/16,exact squared-gain presentation row
398,1/8,-1/200,-0.0050000000000000001,39999/40000,0.99998749992187397,6759831/406750000,0.12891520347321198,9/16,exact squared-gain presentation row
399,1/8,-1/400,-0.0025000000000000001,159999/160000,0.99999687499511714,138719133/8672000000,0.12647612417433721,9/16,exact squared-gain presentation row
400,1/8,0/1,0,1/1,1,1/65,0.12403473458920845,9/16,exact squared-gain presentation row
401,1/8,1/400,0.0025000000000000001,159999/160000,0.99999687499511714,54879657/3712000000,0.12159107843753771,9/16,exact squared-gain presentation row
402,1/8,1/200,0.0050000000000000001,39999/40000,0.99998749992187397,119997/8453125,0.11914519947620847,9/16,exact squared-gain presentation row
403,1/8,3/400,0.0074999999999999997,159991/160000,0.99997187460448111,353420119/25952000000,0.11669714150082523,9/16,exact squared-gain presentation row
404,1/8,1/100,0.01,9999/10000,0.99994999874993751,5289471/405250000,0.11424694834726463,9/16,exact squared-gain presentation row
405,1/8,1/80,0.012500000000000001,6399/6400,0.99992187194800375,6399/512000,0.11179466389322883,9/16,exact squared-gain presentation row
406,1/8,3/200,0.014999999999999999,39991/40000,0.99988749367116292,4838911/404750000,0.10934033205980079,9/16,exact squared-gain presentation row
