replicate,seed,power,points,total,nearRemainder,reconstructed,sampleReconstructionResidual,j-8,j-7,j-6,j-5,j-4,j-3,j-2,j-1,j0,j1
8,690709,18,262144,3.4176100347010747,0.0,3.4176100347010743,-4.440892098500626e-16,0.0,0.0,0.0,3.640691655107972e-08,0.01759581640284795,0.3048403177131787,1.334390940700802,1.5025980392596523,0.26423168531001284,-0.006046801092336166
8,690709,20,1048576,3.4084992458764027,0.0,3.408499245876403,4.440892098500626e-16,0.0,0.0,0.0,6.3936047890439e-05,0.01795216294289645,0.30482408115669113,1.325296549186581,1.5022275159846532,0.26417656312360593,-0.006041562565915039
8,690709,22,4194304,3.419395667881611,0.0,3.419395667881611,0.0,0.0,0.0,5.658008471795247e-10,0.00022869154722414804,0.020363238247530613,0.315507353224824,1.322745738939898,1.5024203493169683,0.26417223368189713,-0.006041937642531976
9,690710,18,262144,3.386867652255734,0.0,3.3868676522557344,4.440892098500626e-16,0.0,0.0,0.0,4.422591740410926e-05,0.002072414976635703,0.29685546296536314,1.32527777528098,1.5046038916086188,0.264054724797015,-0.006040843290282504
9,690710,20,1048576,3.4212184042537586,0.0,3.421218404253758,-4.440892098500626e-16,0.0,0.0,0.0,3.230697999687732e-05,0.015350103943466038,0.32226547353274465,1.323204955841811,1.5022502617948834,0.26415691152448256,-0.006041609363626365
9,690710,22,4194304,3.418386980759986,0.0,3.418386980759986,0.0,0.0,0.0,0.0,0.00014456610700985646,0.018555027046542955,0.3159529666948306,1.323318596279898,1.502283448775094,0.2641742243446408,-0.006041848488030056
10,690711,18,262144,3.4087063850069885,0.0,3.4087063850069885,0.0,0.0,0.0,0.0,2.7018225172793358e-06,0.02231883764770374,0.30057080774048556,1.325392259015067,1.5024214026852891,0.2640387007498315,-0.006038324653905529
10,690711,20,1048576,3.41272138379937,0.0,3.4127213837993704,4.440892098500626e-16,0.0,0.0,-5.873497955987882e-09,0.0001559940854043985,0.013738657674875433,0.3118811197230412,1.3263774179727479,1.5024833029408362,0.2641268363174534,-0.006041939041490125
10,690711,22,4194304,3.419673428151495,0.0,3.419673428151495,0.0,0.0,0.0,-1.4684008692173624e-09,5.43659563834544e-05,0.019606129805130004,0.3159774212456517,1.3236449132011012,1.5022762529403484,0.2641561014403832,-0.006041754969101806
11,690712,18,262144,3.395826133397839,0.0,3.395826133397839,0.0,0.0,0.0,0.0,6.681100971240489e-08,0.00764740368481387,0.30890369497555653,1.319842032154871,1.5011467243738164,0.2643285997825251,-0.006042388384753718
11,690712,20,1048576,3.4152379657847844,0.0,3.415237965784784,-4.440892098500626e-16,0.0,0.0,0.0,-2.6973898504848547e-05,0.007604756865603938,0.32546974172808557,1.3220480867759539,1.501952078294687,0.2642327084875413,-0.006042432468582654
11,690712,22,4194304,3.4176287866488844,0.0,3.4176287866488844,0.0,0.0,0.0,0.0,8.321784091678687e-05,0.01413407980289803,0.32015313899717235,1.3226062067546194,1.502516569829795,0.2641779346209666,-0.00604236119748378
12,690713,18,262144,3.433222404660185,0.0,3.433222404660185,0.0,0.0,0.0,0.0,3.4769053103683913e-06,0.00995445630681479,0.33852947188893734,1.3223830085638233,1.5043216806195812,0.2640694795221743,-0.006039169146456035
12,690713,20,1048576,3.4393828360142313,0.0,3.439382836014232,4.440892098500626e-16,0.0,0.0,0.0,8.854787504200912e-07,0.022519967641898828,0.3336864825294782,1.3234047503867572,1.5015717279987104,0.26424154416544704,-0.006042522186810416
12,690713,22,4194304,3.4210750597329835,0.0,3.4210750597329835,0.0,0.0,0.0,4.56706572798798e-17,1.5939927286459347e-05,0.02017353349360526,0.3172423371408786,1.3230378839645796,1.502480474081189,0.26416704828433696,-0.006042157158892227
13,690714,18,262144,3.426032708804893,0.0,3.426032708804893,0.0,0.0,0.0,0.0,8.569350619823287e-07,0.010027666514401835,0.3317061725987569,1.323673066918278,1.5025454534578044,0.2641239009220299,-0.0060444085414398975
13,690714,20,1048576,3.425981146940325,0.0,3.425981146940325,0.0,0.0,0.0,0.0,2.216167105966707e-07,0.022441527736404517,0.3199443681380181,1.3222408889781254,1.5032350920502164,0.2641617581818596,-0.006042709761009803
13,690714,22,4194304,3.416910046194297,0.0,3.416910046194297,0.0,0.0,0.0,-1.0936662665441835e-15,0.0002965737296194914,0.017822578218017412,0.3140185274760894,1.3240903441409628,1.5025518059364131,0.26417223695509784,-0.006042020261901837
14,690715,18,262144,3.370124730868959,0.0,3.370124730868959,0.0,0.0,0.0,0.0,0.0011652611300581647,0.00753611194851119,0.2619162964216223,1.3362017491337224,1.5052556570519706,0.26408041932985704,-0.006030764146782735
14,690715,20,1048576,3.399705950950306,0.0,3.399705950950306,0.0,0.0,0.0,0.0,0.0011597752643730736,0.013402858956454003,0.2958182750057541,1.3281700589094259,1.5029801523445387,0.26421749140095135,-0.006042660931191221
14,690715,22,4194304,3.4177536004304594,0.0,3.4177536004304594,0.0,0.0,0.0,1.991808911805202e-13,0.0004289577194031241,0.01873725508941506,0.31328917023020164,1.3246975926870768,1.5024618191597567,0.26418057800623707,-0.006041772461830325
15,690716,18,262144,3.4343052600162745,0.0,3.434305260016275,4.440892098500626e-16,0.0,0.0,0.0,-1.4461467095120001e-05,0.0025038744505473873,0.36032143730277133,1.3110270401131108,1.5022950485218223,0.2642133686847914,-0.006041047589673337
15,690716,20,1048576,3.417945739676499,0.0,3.4179457396764996,4.440892098500626e-16,0.0,0.0,0.0,4.746549322566741e-05,0.00348973382522733,0.33728486693086634,1.3158949057669798,1.5031404678150584,0.2641291905533104,-0.006040890708168282
15,690716,22,4194304,3.417959585532263,0.0,3.417959585532263,0.0,0.0,0.0,0.0,0.0003205230484158149,0.01766109120319132,0.31666884195176953,1.3227468650125556,1.502428111139784,0.2641761144607293,-0.00604196128418248
