panel,route,series,kind,x,y,yParameter,lambda,R,p,source,pointer,status,note
A,exact cell reduction,full profile y=0,proved analytic identity,-3.1415926535897931,-0.875,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.8536133270107289,-0.85398591387501499,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.8274333882308138,-0.8499293919982851,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.8012534494508987,-0.84549824591005696,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.7750735106709841,-0.84068732331252749,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.748893571891069,-0.83549118486296836,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.7227136331111539,-0.82990413184774359,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.6965336943312392,-0.82392023546863091,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.6703537555513241,-0.81753336765180862,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.6441738167714091,-0.81073723328508696,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.6179938779914944,-0.80352540378443871,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.5918139392115793,-0.79589135188664883,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.5656340004316647,-0.78782848756094914,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.5394540616517496,-0.77933019492885314,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.5132741228718345,-0.77038987007807891,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.4870941840919194,-0.76100095965341996,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.4609142453120048,-0.75115700010475095,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.4347343065320897,-0.74085165747000203,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.408554367752175,-0.73007876756893764,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.3823744289722599,-0.71883237648191978,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.3561944901923448,-0.70710678118654746,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.3300145514124297,-0.69489657022412188,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.3038346126325151,-0.68219666426731496,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.2776546738526,-0.66900235646021244,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.2514747350726854,-0.65530935240205745,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.2252947962927703,-0.64111380964653575,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.1991148575128552,-0.62641237658934146,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.1729349187329401,-0.61120223061799517,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.1467549799530254,-0.59548111539950221,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.1205750411731104,-0.57924737718339214,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.0943951023931957,-0.56250000000000022,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.0682151636132806,-0.54523863963648678,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.0420352248333655,-0.52746365627610592,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-2.0158552860534504,-0.50917614568952463,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.9896753472735358,-0.49037796887065754,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.9634954084936207,-0.47107178001340821,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.9373154697137058,-0.45126105272997452,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.911135530933791,-0.43095010441589238,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.8849555921538759,-0.41014411867181577,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.858775653373961,-0.38884916569710065,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.8325957145940461,-0.36707222057557565,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.806415775814131,-0.34482117937945134,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.7802358370342162,-0.32210487302308444,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.7540558982543013,-0.29893307880429776,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.7278759594743862,-0.27531652957712505,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.7016960206944713,-0.25126692050618515,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.6755160819145565,-0.22679691335937924,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.6493361431346414,-0.2019201383022371,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.6231562043547265,-0.17665119316397801,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.5969762655748116,-0.15100564015219498,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.5707963267948966,-0.12499999999999994,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.5446163880149817,-0.098651743536448594,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.5184364492350668,-0.071979280678090424,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.4922565104551517,-0.045001946846547208,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.4660765716752369,-0.017739986824072254,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.439896632895322,0.0097854639339179511,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.4137166941154069,0.037552400503336733,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.387536755335492,0.065537972179997225,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.3613568165555772,0.093718508612434109,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.3351768777756621,0.1220695483323595,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.3089969389957472,0.15056586962946589,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.2828170002158323,0.17918152371074453,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.2566370614359172,0.20788987007807902,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.2304571226560024,0.23666361405164954,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.2042771838760875,0.26547484636062585,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.1780972450961724,0.2942950847167714,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.1519173063162575,0.32309531728094293,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.1257373675363427,0.35184604792706531,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.0995574287564276,0.38051734320298775,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.0733774899765129,0.40907888088272976,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.0471975511965979,0.43749999999999989,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-1.0210176124166828,0.46574975224850557,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.99483767363676812,0.49379695463055179,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.96865773485685303,0.52161024323167016,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.94247779607693793,0.54915812799560471,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.91629785729702329,0.57640904837090523,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.8901179185171082,0.60333142969761744,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.86393797973719311,0.62989374020015476,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.83775804095727846,0.6560645484504013,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.81157810217736337,0.68181258116338594,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.78539816339744828,0.70710678118654757,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.75921822461753363,0.73191636554265538,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.73303828583761854,0.75621088338585074,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.70685834705770345,0.77996027373005983,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
A,exact cell reduction,full profile y=0,proved analytic identity,-0.6806784082777888,0.80313492280919052,0.0,0.125,,0.7071067811865476,/Users/kasifa/Documents/Math/navier-stokes-r072k/research/r072p_report-source.md,R0.72P affine-row reduction,proved declared two-carrier class,Direct formula evaluation; no PDE evolution.
