r,Y,normalizedByMu,absoluteOverM2,asymptoticGuideOverM2,sign,classification
0,1,1,1,0.01306339681528448258620705,positive,exact integer sequence; decimal normalizations are display values
11,-155167848959419938212940782,-0.0034614826799449423253833477408392364540108190742863443652632440468804642925945181,0.50137436074526821242503313869797896992551000227428259492512552242260426282882690,1.8921522460222760871948964686992834720255579582603959482588522458222875722460373,negative,exact integer sequence; decimal normalizations are display values
12,-135936821773574588946462606702,-0.0075355007769833402123498839408005553946778778933759356965013374377408339546394091,1.7157639084347103635747133163956034578034211366113256490989469327246297325473279,2.9744147655968857013548733836266127978023076971853242085940942016032175379467149,negative,exact integer sequence; decimal normalizations are display values
13,-71251708249812899800689475182318,-0.0098148772399686112319286465790024724198389951553306402241974173841063180125722953,3.5129804417806774310254451578235042074689598304928399262944400775754427712627148,4.6757036683487995230787941554697620047412314654205829083035237831135913871046964,negative,exact integer sequence; decimal normalizations are display values
14,-32885585957211670577712777338460270,-0.011256665464410995777606753629971361607370815070591912037335625155505971952996179,6.3335334733714337043267367107845353958810997937997023217713138381880456570516280,7.3500861571413223239933566571164659590284980679549371847414418132695848301569957,negative,exact integer sequence; decimal normalizations are display values
15,-14165529313173292247323519538269991406,-0.012049015582669122212801623131019355613481304767776459111581534950460610261140270,10.656959797787342979593570812895218721484087397294260586078002155867968828395443,11.554146787167695734004068929124370361212839382884646829198978708095212681057651,negative,exact integer sequence; decimal normalizations are display values
16,-5942694359587709444406649386443732134766,-0.012560783709762124118805070950716635335182052585506780968638579240080078277883381,17.464009120897060292267249396885602666212975810847159700980969471053330729871141,18.162822193548169231185682543259589296018697383537361823810618032732862938322390,negative,exact integer sequence; decimal normalizations are display values
17,-2441054948248435806818715526349985966458094,-0.012821105749016952466472874052409325854402141840999646639133922441151339765745654,28.021936540164332787725107318902320781110805007750595991995072354264282515100196,28.551490310026815715254475613374049112077028066835169722347009177577494163251084,negative,exact integer sequence; decimal normalizations are display values
18,-994460405488641697628899140962175259052097134,-0.012979262233781608706271574035752154121256752448338272124026204246434767834834854,44.593146849378191884613562198566549086693735050823681068963191109519643057451524,44.882209947148388452422579566811620837390430274972594757803118060178909558553513,negative,exact integer sequence; decimal normalizations are display values
19,-402603226549130653518681401057545333063612913646,-0.013057328961875804693681350489857159437175263972100247817740013520285656285238795,70.520910386939150762896972902729211407102477816173904268463505614529342645140930,70.553682062350243695960839846295563499748188412106774977943042779499596151479773,negative,exact integer sequence; decimal normalizations are display values
20,-162476333298811748085599988924799526934067295310190,-0.013094284965830524725983716164345184531189340137164326598689594424778110737586348,111.17081852575783315139348981741513018770858912248434851342995876926862403581177,110.90857732756251492056631660044340735113609761407291165860123518946111702594527,negative,exact integer sequence; decimal normalizations are display values
21,-65458316144393698723516838594426869820252401291242222,-0.013109046131104741577153811039385128502398229759555431060696832203438481527426791,174.95467737279371404679174011471205164672293678974093226581713072807317428182652,174.34543691076864628262159995234769084088918084681293524271926128308791597693629,negative,exact integer sequence; decimal normalizations are display values
22,-26346634270646123105277317023058055862176911752337286254,-0.013111307083905413321540477622492170855492400187261795971012692100162613202165355,275.07169651675231134496659672471547597640539106997834854567549381719341965874981,274.06655196588521079386829618434270704302492000422435039118777042612320769081853,negative,exact integer sequence; decimal normalizations are display values
23,-10599495027323601892255864940337884649246216991727682026990,-0.013107522315694246738315406665318272473259625103760110473645714453220681357364635,432.28082662701776398495789818259375501865675863759691127910523675159029795297995,430.82558532869666612647094712918651585884701618591697417928162731394663897581443,negative,exact integer sequence; decimal normalizations are display values
24,-4263622952653794293697783416198441171678401232401926702954350,-0.013101734842122207889688771917331207709161216307339307056400370168900295764694306,679.23432379914222412194904126697486228383930031220063514654033785066645493712514,677.24676230070651812862718220752928856581045953280629020442831562872058772268588,negative,exact integer sequence; decimal normalizations are display values
25,-1714925659292812861673697918209885566517809570720969455919845614,-0.013095132486469685372003317699889046011172315453060321131166398641468954957098096,1067.2008578175265464366082357045732287399520338562770903497920523918950423510391,1064.6145277023286106712433639368331449461013193940517102474602738565733708552634,negative,exact integer sequence; decimal normalizations are display values
26,-689808313920279974514957077628197169875731557024647071712280939118,-0.013089034322019965944419439127662618617855665760202646732149999511447661168438953,1676.8311235631002931934480079241642922025707061866885672442181687699898893681554,1673.5467124929654635256284152078498463607389597265021829680591422309587144376128,negative,exact integer sequence; decimal normalizations are display values
27,-277483166601379405749406534525698511028323667972349008634335064794094,-0.013083694893770107941804976517218623587652218979844862966545500762139662370397610,2634.8602067713509201699693266221307949955690873525048099091443724199638353249910,2630.7724777536739606934513954006316971477911179820800564767111925686110357835604,negative,exact integer sequence; decimal normalizations are display values
28,-111628055185516961426801106428001917536470330990085762058576232248221038,-0.013079215887849356238430954170407574876694307248230101733336217602423566482229716,4140.5146888339441663577012451178102844786949676016085108785530616256258853868009,4135.5068119948258258879270594321478025029772158464611587278029425088942132758645,negative,exact integer sequence; decimal normalizations are display values
29,-44909552107720702873505602491828608521217500185328715523110083836277323502,-0.013075600939505044276163453437355017688533797096537857828051050137089263551921504,6506.9838633818312548129136891466818139496156756990687491259391810634461173078434,6500.9105639795853263967876168751569849394221784170653498607936017955829552234584,negative,exact integer sequence; decimal normalizations are display values
30,-18068772188584660173383177731680487175577966995364112874204346601730592026734,-0.013072726046580286186964425300969747244676382178470034101338257327807979203840919,10226.562643015753437365853146101749905355166683114143252234994563507198849691200,10219.264550183564397307279935397254413404477605663644011209872982873474443448305,negative,exact integer sequence; decimal normalizations are display values
31,-7270082399478063543355967514036834096345482904878561607626386163239857899424238,-0.013070476931978421093814969208350954352038356050487378579971724559839363728601637,16073.128194897413374507341209895834071202870164867225994385089288096244929576264,16064.421578922438272030441331764771714656754797508299462798397550054600442797924,negative,exact integer sequence; decimal normalizations are display values
32,-2925277774987578578545166316932496492847738806030132917324452709287589810872664942,-0.013068742389811321089618987418641569499303125047860575391458334688815265503704090,25263.191935264368399233085749621380634732209031290304679058410919367624981689207,25252.858402683523729213363270615767435784152375230404249667817088918262305369748,negative,exact integer sequence; decimal normalizations are display values
33,-1177086373711644001126612013458429554679056291323626708315853024036597102038423215342,-0.013067412532973783898104634354215947598836436087336120786163712811248242558971015,39709.048153432218912096120442559724642715546977600912002303449592107304441810217,39696.845253531976261000702730136781805639015499386230124509874305515828913933228,negative,exact integer sequence; decimal normalizations are display values
34,-473652874065640032522383088590405650864075390813668929521521673391478943030150470227566,-0.013066402448064428006934832212491357409701006415019523599575840619517711746180794,62416.779434750204819843756589062926111475549109215453883466471858658247576259343,62402.421854763412161851415446444848936627557092561626948128419889339784850973558,negative,exact integer sequence; decimal normalizations are display values
35,-190598830757933173146581648471278297836560913478118416348257209540435940558765904470536174,-0.013065639450572074041302736185350894277803640256340111423893126805019920282748965,98111.845781173129194372207873553753218793550832019097559344354416532060180588933,98095.005496523306272676197933790070123269336331828974719311460635473402124960235,negative,exact integer sequence; decimal normalizations are display values
36,-76698446683430402956572823607595390754406419835139951837172351928037186678926475040051095918,-0.013065065458920989543741167217170811036375384915530953447343861766989099411117351,154222.52786160200871742910604885542974046344755754270538816415805986175845209430,154202.83087343678199615186858369858961298184290711914539793043809536748510964845,negative,exact integer sequence; decimal normalizations are display values
37,-30864390146478981886050875685375586924362811966597187098745422109454249693506785076287388041966,-0.013064635737463147226009685073901087384017658481259780546396752966465074776526617,242425.88156556721796540803813164078462925036348998500832043297022411722272158371,242402.89226778736046580587950785202218971199373584748476281252135553449683017638,negative,exact integer sequence; decimal normalizations are display values
38,-12420310452659903516931872985027089664497479824020795206067460947943918273730681799494069788507246,-0.013064314919223258723736617550030028634042762161733181221080903077916687697085319,381077.90550076112776219121681251840959085331664669683223962981197281994999701509,381051.12498236547881134813982496766735131961743948635401093489025282326774291098,negative,exact integer sequence; decimal normalizations are display values
39,-4998157381820446535200680405858643408249105302044200436858533340674261938326949499207182606283052526,-0.013064076059871043107971354956854093528643623630126813849376832465376230763399199,599033.73392637568502087749901333825529704405346805344668871982330341642759330347,599002.58817836626604395413038473061329047099921471699244568487151882379390342502,negative,exact integer sequence; decimal normalizations are display values
