panel,series,x,value,parameter,evidenceClass,formula
A,commonHeatPulse,0.52000000000000002,0.054583070992622995,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.54000000000000004,0.05528130537629819,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.56000000000000005,0.055832127357171045,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.57999999999999996,0.056242091792451987,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.59999999999999998,0.056518091778367814,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.62,0.056667257349375076,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.64000000000000001,0.056696866695633681,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.66000000000000003,0.056614268784911735,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.68000000000000005,0.056426816351051214,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.69999999999999996,0.05614180828303577,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.71999999999999997,0.055766440516819206,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.73999999999999999,0.055307764596608328,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.76000000000000001,0.054772653133430646,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.78000000000000003,0.054167771446709388,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.80000000000000004,0.053499554729351022,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.81999999999999995,0.052774190128642401,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.83999999999999997,0.051997603184159788,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.85999999999999999,0.051175448110009104,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.88,0.050313101452134981,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.90000000000000002,0.04941565869224205,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.92000000000000004,0.048487933408151891,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.93999999999999995,0.047534458636253475,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.95999999999999996,0.046559490115182414,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,0.97999999999999998,0.045567011121065627,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1,0.044560738633683164,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.02,0.043544130599813387,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.04,0.042520394084932911,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.0600000000000001,0.041492494127427421,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.0800000000000001,0.040463163130627262,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.1000000000000001,0.039434910647403683,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.1200000000000001,0.038410033429840153,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.1399999999999999,0.037390625632721206,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.1599999999999999,0.03637858907434946,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.1799999999999999,0.03537564347159964,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.2,0.034383336578236008,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.22,0.033403054166441494,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.24,0.032436029801318544,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.26,0.031483354366902187,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.28,0.030545985310056024,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3,0.029624755575573203,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3200000000000001,0.028720382211951827,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3400000000000001,0.027833474632722642,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3600000000000001,0.026964542522942173,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3799999999999999,0.026114003384587144,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.3999999999999999,0.025282189718152017,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.4199999999999999,0.024469355840815079,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.4399999999999999,0.023675684344149083,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.46,0.022901292196555581,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.48,0.022146236497441459,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.5,0.02141051989167083,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.52,0.020694095654050983,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.54,0.019996872454582693,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.5600000000000001,0.019318718815950847,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.5800000000000001,0.018659467275281193,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.6000000000000001,0.018018918262566366,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.6200000000000001,0.017396843708393457,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.6399999999999999,0.016792990393705774,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.6599999999999999,0.016207083054322245,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.6799999999999999,0.015638827252836215,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.7,0.0150879120303343,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.72,0.014554012350131025,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.74,0.014036791345416291,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.76,0.013535902382371064,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.78,0.013050990949931569,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8,0.012581696386981209,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8200000000000001,0.012127653457329825,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8400000000000001,0.011688493782407307,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8600000000000001,0.011263847141158736,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8799999999999999,0.010853342646185283,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.8999999999999999,0.010456609804732861,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.9199999999999999,0.010073279472692506,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.9399999999999999,0.0097029847093447839,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.96,0.0093453615401581751,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,1.98,0.0090000496345392766,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,2,0.008666692905033099,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,2.02,0.0083449400340850754,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
A,commonHeatPulse,2.04,0.0080344449341040337,"A0=diag(K^2,2K^2);F0=(e1-e2)/sqrt(2);C0=(e1+e2)/sqrt(2);Y=1",closed-form common-heat Hilbert model; not NSE,x*(1-x)^2/(2*(1+x));x=exp(-2*tau)
