panel,series,parameter,x,y,quantity_class,source_origin,source_record_type,source_family,formula
B,D_exact,5,32,0.9546449081780054,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,5,32,0.22711084538786289,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,5,32,0.14637867399158255,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,6,64,1.0491577502859759,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,6,64,0.95453890021737664,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,6,64,0.15647334559861895,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,6,64,0.091497929757189053,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
B,D_certificate,7,128,1.0491257354633907,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*(A*Q)^(1/6)
B,D_exact,7,128,0.95451241394281328,exact,sealed-r073s-certificate,matched_r073r,D,m^(-2/3)*Theta^(1/6)
B,RS_certificate,7,128,0.10970589416090928,rigorous-upper-bound,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*(A*Q)^(1/6)
B,RS_exact,7,128,0.057866125718969326,exact,sealed-r073s-certificate,matched_r073r,RS,m^(-2/3)*Theta^(1/6)
C,l6_norm_ratio,0,0,1,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,1,1,1.0063298512086347,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,2,2,1.0126997694335929,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,3,3,1.0191100082931261,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,4,4,1.0255608230108519,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,5,5,1.0320524704259155,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,6,6,1.0385852090032155,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,7,7,1.0451592988436946,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,8,8,1.0517750016946961,exact,sealed-r073s-certificate,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,9,9,1.0584325809603849,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,10,10,1.0651323017122354,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,11,11,1.0718744306995844,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,12,12,1.0786592363602527,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,13,13,1.0854869888312326,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,14,14,1.0923579599594433,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,15,15,1.0992724233125544,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,16,16,1.1062306541898781,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,17,17,1.1132329296333305,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,18,18,1.1202795284384619,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,19,19,1.1273707311655567,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,20,20,1.1345068201508046,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,21,21,1.1416880795175404,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,22,22,1.1489147951875582,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,23,23,1.1561872548924945,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,24,24,1.1635057481852837,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,25,25,1.1708705664516879,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,26,26,1.1782820029218968,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,27,27,1.1857403526822043,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,28,28,1.1932459126867567,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,29,29,1.2007989817693754,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,30,30,1.2083998606554556,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,31,31,1.2160488519739394,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,32,32,1.2237462602693654,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,33,33,1.2314923920139937,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,34,34,1.2392875556200078,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,35,35,1.2471320614517951,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,36,36,1.2550262218383028,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,37,37,1.2629703510854742,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,38,38,1.2709647654887624,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,39,39,1.2790097833457235,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,40,40,1.2871057249686899,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,41,41,1.2952529126975236,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,42,42,1.3034516709124495,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,43,43,1.3117023260469716,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,44,44,1.320005206600869,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,45,45,1.3283606431532755,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,46,46,1.3367689683758419,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,47,47,1.3452305170459811,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,48,48,1.3537456260601968,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,49,49,1.3623146344474979,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,50,50,1.3709378833828962,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,51,51,1.3796157162009903,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,52,52,1.3883484784096365,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,53,53,1.3971365177037041,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,54,54,1.4059801839789183,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,55,55,1.4148798293457936,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,56,56,1.4238358081436511,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,57,57,1.4328484769547265,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,58,58,1.4419181946183686,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,59,59,1.4510453222453261,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,60,60,1.4602302232321243,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,61,61,1.469473263275535,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,62,62,1.4787748103871361,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,63,63,1.4881352349079635,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,64,64,1.4975549095232574,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,65,65,1.5070342092773001,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,66,66,1.5165735115883479,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,67,67,1.5261731962636587,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,68,68,1.535833645514614,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,69,69,1.5455552439719364,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,70,70,1.5553383787010038,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,71,71,1.5651834392172603,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,72,72,1.5750908175017246,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,73,73,1.5850609080165974,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,74,74,1.5950941077209659,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,75,75,1.6051908160866093,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,76,76,1.6153514351139044,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,77,77,1.62557636934783,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,78,78,1.6358660258940743,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,79,79,1.6462208144352444,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,80,80,1.6566411472471769,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,81,81,1.6671274392153532,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,82,82,1.6776801078514185,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,83,83,1.6882995733098043,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,84,84,1.6989862584044566,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,85,85,1.7097405886256718,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,86,86,1.7205629921570358,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,87,87,1.7314538998924731,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,88,88,1.7424137454534026,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,89,89,1.7534429652060026,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,90,90,1.7645419982785837,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,91,91,1.7757112865790741,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,92,92,1.7869512748126128,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,93,93,1.7982624104992566,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,94,94,1.8096451439917978,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,95,95,1.8210999284936942,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,96,96,1.8326272200771143,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,97,97,1.8442274777010963,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,98,98,1.8559011632298197,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,99,99,1.8676487414509966,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,100,100,1.8794706800943752,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,101,101,1.8913674498503639,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,102,102,1.9033395243887716,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,103,103,1.9153873803776662,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,104,104,1.9275114975023531,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,105,105,1.9397123584844758,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,106,106,1.9519904491012323,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,107,107,1.9643462582047189,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,108,108,1.9767802777413932,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,109,109,1.9892930027716598,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,110,110,2.0018849314895824,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,111,111,2.0145565652427191,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,112,112,2.0273084085520838,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,113,113,2.0401409691322323,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,114,114,2.0530547579114793,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,115,115,2.0660502890522383,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,116,116,2.0791280799714955,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,117,117,2.0922886513614096,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,118,118,2.105532527210042,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,119,119,2.1188602348222223,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,120,120,2.1322723048405394,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,121,121,2.1457692712664729,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,122,122,2.1593516714816499,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,123,123,2.1730200462692455,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,124,124,2.1867749398355101,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,125,125,2.2006168998314397,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,126,126,2.2145464773745798,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,127,127,2.2285642270709669,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
C,l6_norm_ratio,128,128,2.2426707070372118,exact,exact-formula,riesz_product_no_go,B/A,(323/311)^(r/6)
