panel,series,N,M,h,deltaObs,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
A,analytic upper bound 3/(4N),512,1025,0.0,0.0,512.0,0.00146484375,0.00146484375,0.0014598498521616898,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,1024,2049,0.0,0.0,1024.0,0.0007311717908591625,0.0007311717908591625,0.000732421875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),1024,2049,0.0,0.0,1024.0,0.000732421875,0.000732421875,0.0007311717908591625,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,2048,4097,0.0,0.0,2048.0,0.00036589821490624306,0.00036589821490624306,0.0003662109375,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),2048,4097,0.0,0.0,2048.0,0.0003662109375,0.0003662109375,0.00036589821490624306,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,4096,8193,0.0,0.0,4096.0,0.00018302726288492641,0.00018302726288492641,0.00018310546875,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),4096,8193,0.0,0.0,4096.0,0.00018310546875,0.00018310546875,0.00018302726288492641,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,8192,16385,0.0,0.0,8192.0,9.153317975528752e-05,9.153317975528752e-05,9.1552734375e-05,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),8192,16385,0.0,0.0,8192.0,9.1552734375e-05,9.1552734375e-05,9.153317975528752e-05,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,16384,32769,0.0,0.0,16384.0,4.577147813830603e-05,4.577147813830603e-05,4.57763671875e-05,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),16384,32769,0.0,0.0,16384.0,4.57763671875e-05,4.57763671875e-05,4.577147813830603e-05,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,32768,65537,0.0,0.0,32768.0,2.288696128216294e-05,2.288696128216294e-05,2.288818359375e-05,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),32768,65537,0.0,0.0,32768.0,2.288818359375e-05,2.288818359375e-05,2.288696128216294e-05,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,65536,131073,0.0,0.0,65536.0,1.144378621281683e-05,1.144378621281683e-05,1.1444091796875e-05,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),65536,131073,0.0,0.0,65536.0,1.1444091796875e-05,1.1444091796875e-05,1.144378621281683e-05,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,131072,262145,0.0,0.0,131072.0,5.7219695016527615e-06,5.7219695016527615e-06,5.7220458984375e-06,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),131072,262145,0.0,0.0,131072.0,5.7220458984375e-06,5.7220458984375e-06,5.7219695016527615e-06,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,262144,524289,0.0,0.0,262144.0,2.8610038499262895e-06,2.8610038499262895e-06,2.86102294921875e-06,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),262144,524289,0.0,0.0,262144.0,2.86102294921875e-06,2.86102294921875e-06,2.8610038499262895e-06,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,524288,1048577,0.0,0.0,524288.0,1.4305066997742253e-06,1.4305066997742253e-06,1.430511474609375e-06,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),524288,1048577,0.0,0.0,524288.0,1.430511474609375e-06,1.430511474609375e-06,1.4305066997742253e-06,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
A,exact minimum-lattice factor NM/Ks,1048576,2097153,0.0,0.0,1048576.0,7.152545435943958e-07,7.152545435943958e-07,7.152557373046875e-07,dimensionless theorem factor,N(2N+1)/sum_{j=1}^{2N+1} j^2,exact analytic lattice identity,research/certificates/r071y/result.json,unit carrier phases; minimum over distinct positive integer carrier frequencies
A,analytic upper bound 3/(4N),1048576,2097153,0.0,0.0,1048576.0,7.152557373046875e-07,7.152557373046875e-07,7.152545435943958e-07,dimensionless theorem bound,3/(4N),exact analytic upper bound,research/certificates/r071y/result.json,upper bound for the minimum-lattice factor; not a fitted trend
B,no separation; fixed delta_obs=1/8,1,3,0.0,0.125,1.0,1.0,0.01185725058482295,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,1,3,0.05,0.125,1.0,1.0,1.6741071428571428,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,1,3,1.0,0.125,1.0,1.0,0.08370535714285714,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,2,5,0.0,0.125,2.0,0.8484848484848485,0.010060697465910382,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,2,5,0.05,0.125,2.0,0.42424242424242425,0.7102272727272727,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,2,5,0.5,0.125,2.0,0.8484848484848485,0.07102272727272727,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,4,9,0.0,0.125,4.0,0.5894736842105263,0.006989537186843002,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,4,9,0.05,0.125,4.0,0.14736842105263157,0.24671052631578944,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,4,9,0.25,0.125,4.0,0.5894736842105264,0.049342105263157895,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,8,17,0.0,0.125,8.0,0.3555555555555555,0.0042159113190481596,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,8,17,0.05,0.125,8.0,0.044444444444444446,0.0744047619047619,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,8,17,0.125,0.125,8.0,0.35555555555555557,0.02976190476190476,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,16,33,0.0,0.125,16.0,0.19666374012291482,0.0023318912475859006,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,16,33,0.05,0.125,16.0,0.012291483757682178,0.020577260755048288,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,16,33,0.0625,0.125,16.0,0.19666374012291485,0.01646180860403863,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,32,65,0.0,0.125,32.0,0.10363173721952347,0.001228787476752413,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,32,65,0.05,0.125,32.0,0.0032384917881101084,0.005421582234559333,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,32,65,0.03125,0.125,32.0,0.10363173721952348,0.008674531575294934,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,64,129,0.0,0.125,64.0,0.05322245322245322,0.0006310719645976455,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,64,129,0.05,0.125,64.0,0.0008316008316008316,0.0013921888921888921,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,64,129,0.015625,0.125,64.0,0.05322245322245322,0.0044550044550044545,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,128,257,0.0,0.125,128.0,0.02697373372469331,0.00031983431998197827,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,128,257,0.05,0.125,128.0,0.00021073229472416647,0.00035278843982840366,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,128,257,0.0078125,0.125,128.0,0.026973733724693312,0.002257846014901784,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,256,513,0.0,0.125,256.0,0.013578895123494443,0.000161008362144304,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,256,513,0.05,0.125,256.0,5.3042559076150167e-05,8.879892702480497e-05,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,256,513,0.00390625,0.125,256.0,0.013578895123494444,0.0011366262659175037,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,512,1025,0.0,0.125,512.0,0.006812632643421218,8.077909239539016e-05,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,512,1025,0.05,0.125,512.0,1.3305923131682067e-05,2.227554095705703e-05,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,512,1025,0.001953125,0.125,512.0,0.00681263264342122,0.0005702538485006601,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,1024,2049,0.0,0.125,1024.0,0.0034121350240094253,4.045854000893063e-05,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,1024,2049,0.05,0.125,1024.0,3.3321631093842044e-06,5.578398062585163e-06,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,1024,2049,0.0009765625,0.125,1024.0,0.0034121350240094253,0.00028561398080436035,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,2048,4097,0.0,0.125,2048.0,0.0017075250028958009,2.0246551839186044e-05,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,2048,4097,0.05,0.125,2048.0,8.337524428202153e-07,1.3957909198999139e-06,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,2048,4097,0.00048828125,0.125,2048.0,0.0017075250028958007,0.00014292899019775117,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,4096,8193,0.0,0.125,4096.0,0.0008541272267963232,1.0127600559443909e-05,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,4096,8193,0.05,0.125,4096.0,2.085271549795711e-07,3.490967996309784e-07,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,4096,8193,0.000244140625,0.125,4096.0,0.0008541272267963234,7.149502456442438e-05,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,8192,16385,0.0,0.125,8192.0,0.00042715483885800835,5.064881962859073e-06,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,8192,16385,0.05,0.125,8192.0,5.2142924665284235e-08,8.729284263161423e-08,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,8192,16385,0.0001220703125,0.125,8192.0,0.0004271548388580084,3.575514834190918e-05,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,16384,32769,0.0,0.125,16384.0,0.00021360023131209476,2.5327114676436532e-06,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,16384,32769,0.05,0.125,16384.0,1.303712349316985e-08,2.182554156222631e-08,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,16384,32769,6.103515625e-05,0.125,16384.0,0.00021360023131209482,1.7879483647775793e-05,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,32768,65537,0.0,0.125,32768.0,0.00010680581931676038,1.2664233635561515e-06,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,32768,65537,0.05,0.125,32768.0,3.25945493520387e-09,5.456676788845764e-09,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
B,separated; h=N^-1,32768,65537,3.0517578125e-05,0.125,32768.0,0.0001068058193167604,8.940219250844899e-06,0.08370535714285714,separated upper-envelope factor / N=1 value,[M/(b N^-1 K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,quasi-uniform roots in a fixed scaled interval; same normalized N-law as no separation
B,no separation; fixed delta_obs=1/8,65536,131073,0.0,0.125,65536.0,5.340433565981187e-05,6.332285902343854e-07,0.01185725058482295,optimized selected-root upper envelope / N=1 value,"C(delta_obs) N M / K_s, normalized at N=1",exact nonlinear selected-root theorem envelope,research/certificates/r071y/result.json,fixed observation coupling; selected roots; unit phases and full enstrophy floors
B,separated; fixed h=0.05,65536,131073,0.05,0.125,65536.0,8.148854928560163e-10,1.36420562420092e-09,1.6741071428571428,separated upper-envelope factor / N=1 value,[M/(b h K_s)] / value at N=1,exact nonlinear separated-root theorem envelope,research/certificates/r071y/result.json,fixed scaled separation; common theorem constants cancel under normalization
