panel,row_role,series,index,x_exact,x_numeric,y_exact,y_numeric,context
A,asymptotic-reference,N^-4,15,15,15,1/50625,1.9753086419753087e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),15,15,15,51076,51076,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,15,15,15,50625,50625,neutral asymptotic reference
A,exact-curve,Bessel response A(N),16,16,16,1/66049,1.5140274644582053e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,16,16,16,1/264196,3.7850686611455132e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,16,16,16,1/65536,1.52587890625e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),16,16,16,66049,66049,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,16,16,16,65536,65536,neutral asymptotic reference
A,exact-curve,Bessel response A(N),17,17,17,1/84100,1.1890606420927467e-05,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,17,17,17,1/336400,2.9726516052318668e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,17,17,17,1/83521,1.1973036721303624e-05,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),17,17,17,84100,84100,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,17,17,17,83521,83521,neutral asymptotic reference
A,exact-curve,Bessel response A(N),18,18,18,1/105625,9.4674556213017744e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,18,18,18,1/422500,2.3668639053254436e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,18,18,18,1/104976,9.5259868922420365e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),18,18,18,105625,105625,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,18,18,18,104976,104976,neutral asymptotic reference
A,exact-curve,Bessel response A(N),19,19,19,1/131044,7.6310246939959091e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,19,19,19,1/524176,1.9077561734989773e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,19,19,19,1/130321,7.673360394717659e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),19,19,19,131044,131044,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,19,19,19,130321,130321,neutral asymptotic reference
A,exact-curve,Bessel response A(N),20,20,20,1/160801,6.2188667980920521e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,20,20,20,1/643204,1.554716699523013e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,20,20,20,1/160000,6.2500000000000003e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),20,20,20,160801,160801,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,20,20,20,160000,160000,neutral asymptotic reference
A,exact-curve,Bessel response A(N),21,21,21,1/195364,5.1186503142851297e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,21,21,21,1/781456,1.2796625785712824e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,21,21,21,1/194481,5.1418904674492621e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),21,21,21,195364,195364,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,21,21,21,194481,194481,neutral asymptotic reference
A,exact-curve,Bessel response A(N),22,22,22,1/235225,4.2512488043362734e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,22,22,22,1/940900,1.0628122010840684e-06,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,22,22,22,1/234256,4.2688340960316914e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),22,22,22,235225,235225,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,22,22,22,234256,234256,neutral asymptotic reference
A,exact-curve,Bessel response A(N),23,23,23,1/280900,3.5599857600569598e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,23,23,23,1/1123600,8.8999644001423995e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,23,23,23,1/279841,3.5734577849564572e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),23,23,23,280900,280900,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,23,23,23,279841,279841,neutral asymptotic reference
A,exact-curve,Bessel response A(N),24,24,24,1/332929,3.0036434194678146e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,24,24,24,1/1331716,7.5091085486695365e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,24,24,24,1/331776,3.0140817901234566e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),24,24,24,332929,332929,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,24,24,24,331776,331776,neutral asymptotic reference
A,exact-curve,Bessel response A(N),25,25,25,1/391876,2.5518276189406855e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,25,25,25,1/1567504,6.3795690473517136e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,25,25,25,1/390625,2.5600000000000001e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),25,25,25,391876,391876,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,25,25,25,390625,390625,neutral asymptotic reference
A,exact-curve,Bessel response A(N),26,26,26,1/458329,2.1818388101123864e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,26,26,26,1/1833316,5.4545970252809661e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,26,26,26,1/456976,2.1882987290360982e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),26,26,26,458329,458329,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,26,26,26,456976,456976,neutral asymptotic reference
A,exact-curve,Bessel response A(N),27,27,27,1/532900,1.8765246762994934e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,27,27,27,1/2131600,4.6913116907487334e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,27,27,27,1/531441,1.8816764231589208e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),27,27,27,532900,532900,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,27,27,27,531441,531441,neutral asymptotic reference
A,exact-curve,Bessel response A(N),28,28,28,1/616225,1.6227838857560144e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,28,28,28,1/2464900,4.0569597143900361e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,28,28,28,1/614656,1.6269262807163682e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),28,28,28,616225,616225,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,28,28,28,614656,614656,neutral asymptotic reference
A,exact-curve,Bessel response A(N),29,29,29,1/708964,1.4105088551745929e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,29,29,29,1/2835856,3.5262721379364822e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,29,29,29,1/707281,1.4138652105740151e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),29,29,29,708964,708964,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,29,29,29,707281,707281,neutral asymptotic reference
A,exact-curve,Bessel response A(N),30,30,30,1/811801,1.2318289827186711e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,30,30,30,1/3247204,3.0795724567966778e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,30,30,30,1/810000,1.2345679012345679e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),30,30,30,811801,811801,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,30,30,30,810000,810000,neutral asymptotic reference
A,exact-curve,Bessel response A(N),31,31,31,1/925444,1.0805624111237418e-06,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,31,31,31,1/3701776,2.7014060278093544e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,31,31,31,1/923521,1.0828124103295972e-06,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),31,31,31,925444,925444,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,31,31,31,923521,923521,neutral asymptotic reference
A,exact-curve,Bessel response A(N),32,32,32,1/1050625,9.5181439619274241e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,32,32,32,1/4202500,2.379535990481856e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,32,32,32,1/1048576,9.5367431640625e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),32,32,32,1050625,1050625,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,32,32,32,1048576,1048576,neutral asymptotic reference
A,exact-curve,Bessel response A(N),33,33,33,1/1188100,8.4167999326656008e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,33,33,33,1/4752400,2.1041999831664002e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,33,33,33,1/1185921,8.432264881050255e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),33,33,33,1188100,1188100,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,33,33,33,1185921,1185921,neutral asymptotic reference
A,exact-curve,Bessel response A(N),34,34,34,1/1338649,7.4702181079580982e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,34,34,34,1/5354596,1.8675545269895246e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,34,34,34,1/1336336,7.4831479508147651e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),34,34,34,1338649,1338649,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,34,34,34,1336336,1336336,neutral asymptotic reference
A,exact-curve,Bessel response A(N),35,35,35,1/1503076,6.6530235330748415e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,35,35,35,1/6012304,1.6632558832687104e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,35,35,35,1/1500625,6.6638900458142439e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),35,35,35,1503076,1503076,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,35,35,35,1500625,1500625,neutral asymptotic reference
A,exact-curve,Bessel response A(N),36,36,36,1/1682209,5.9445645576738686e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,36,36,36,1/6728836,1.4861411394184671e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,36,36,36,1/1679616,5.9537418076512728e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),36,36,36,1682209,1682209,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,36,36,36,1679616,1679616,neutral asymptotic reference
A,exact-curve,Bessel response A(N),37,37,37,1/1876900,5.3279343598486862e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,37,37,37,1/7507600,1.3319835899621716e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,37,37,37,1/1874161,5.3357208905745026e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),37,37,37,1876900,1876900,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,37,37,37,1874161,1874161,neutral asymptotic reference
A,exact-curve,Bessel response A(N),38,38,38,1/2088025,4.7892146885214493e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,38,38,38,1/8352100,1.1973036721303623e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,38,38,38,1/2085136,4.7958502466985369e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),38,38,38,2088025,2088025,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,38,38,38,2085136,2085136,neutral asymptotic reference
A,exact-curve,Bessel response A(N),39,39,39,1/2316484,4.316887144482759e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,39,39,39,1/9265936,1.0792217861206897e-07,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,39,39,39,1/2313441,4.3225653906885888e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),39,39,39,2316484,2316484,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,39,39,39,2313441,2313441,neutral asymptotic reference
A,exact-curve,Bessel response A(N),40,40,40,1/2563201,3.9013717613249993e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,40,40,40,1/10252804,9.7534294033124983e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,40,40,40,1/2560000,3.9062500000000002e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),40,40,40,2563201,2563201,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,40,40,40,2560000,2560000,neutral asymptotic reference
A,exact-curve,Bessel response A(N),41,41,41,1/2829124,3.5346630264350377e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,41,41,41,1/11316496,8.8366575660875944e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,41,41,41,1/2825761,3.5388697062490424e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),41,41,41,2829124,2829124,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,41,41,41,2825761,2825761,neutral asymptotic reference
A,exact-curve,Bessel response A(N),42,42,42,1/3115225,3.2100410082738806e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,42,42,42,1/12460900,8.0251025206847014e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,42,42,42,1/3111696,3.2136815421557888e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),42,42,42,3115225,3115225,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,42,42,42,3111696,3111696,neutral asymptotic reference
A,exact-curve,Bessel response A(N),43,43,43,1/3422500,2.9218407596785973e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,43,43,43,1/13690000,7.3046018991964933e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,43,43,43,1/3418801,2.9250020694389642e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),43,43,43,3422500,3422500,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,43,43,43,3418801,3418801,neutral asymptotic reference
A,exact-curve,Bessel response A(N),44,44,44,1/3751969,2.6652672236897482e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,44,44,44,1/15007876,6.6631680592243704e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,44,44,44,1/3748096,2.6680213100198071e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),44,44,44,3751969,3751969,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,44,44,44,3748096,3748096,neutral asymptotic reference
A,exact-curve,Bessel response A(N),45,45,45,1/4104676,2.4362458815263372e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,45,45,45,1/16418704,6.0906147038158431e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,45,45,45,1/4100625,2.4386526444139612e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),45,45,45,4104676,4104676,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,45,45,45,4100625,4100625,neutral asymptotic reference
A,exact-curve,Bessel response A(N),46,46,46,1/4481689,2.2313016365035592e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,46,46,46,1/17926756,5.5782540912588979e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,46,46,46,1/4477456,2.2334111155977858e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),46,46,46,4481689,4481689,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,46,46,46,4477456,4477456,neutral asymptotic reference
A,exact-curve,Bessel response A(N),47,47,47,1/4884100,2.0474601257140516e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,47,47,47,1/19536400,5.118650314285129e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,47,47,47,1/4879681,2.0493142891922648e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),47,47,47,4884100,4884100,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,47,47,47,4879681,4879681,neutral asymptotic reference
A,exact-curve,Bessel response A(N),48,48,48,1/5313025,1.8821669387966367e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,48,48,48,1/21252100,4.7054173469915917e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,48,48,48,1/5308416,1.8838011188271604e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),48,48,48,5313025,5313025,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,48,48,48,5308416,5308416,neutral asymptotic reference
A,exact-curve,Bessel response A(N),49,49,49,1/5769604,1.733221205476147e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,49,49,49,1/23078416,4.3330530136903674e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,49,49,49,1/5764801,1.7346652555743034e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),49,49,49,5769604,5769604,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,49,49,49,5764801,5764801,neutral asymptotic reference
A,exact-curve,Bessel response A(N),50,50,50,1/6255001,1.5987207675906048e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,50,50,50,1/25020004,3.9968019189765119e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,50,50,50,1/6250000,1.6e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),50,50,50,6255001,6255001,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,50,50,50,6250000,6250000,neutral asymptotic reference
A,exact-curve,Bessel response A(N),51,51,51,1/6770404,1.4770167334179763e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,51,51,51,1/27081616,3.6925418335449408e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,51,51,51,1/6765201,1.4781526816424228e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),51,51,51,6770404,6770404,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,51,51,51,6765201,6765201,neutral asymptotic reference
A,exact-curve,Bessel response A(N),52,52,52,1/7317025,1.3666756639481209e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,52,52,52,1/29268100,3.4166891598703023e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,52,52,52,1/7311616,1.3676867056475614e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),52,52,52,7317025,7317025,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,52,52,52,7311616,7311616,neutral asymptotic reference
A,exact-curve,Bessel response A(N),53,53,53,1/7896100,1.2664479933131545e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,53,53,53,1/31584400,3.1661199832828862e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,53,53,53,1/7890481,1.2673498611808331e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),53,53,53,7896100,7896100,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,53,53,53,7890481,7890481,neutral asymptotic reference
A,exact-curve,Bessel response A(N),54,54,54,1/8508889,1.1752415620887757e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,54,54,54,1/34035556,2.9381039052219392e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,54,54,54,1/8503056,1.1760477644743255e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),54,54,54,8508889,8508889,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,54,54,54,8503056,8503056,neutral asymptotic reference
A,exact-curve,Bessel response A(N),55,55,55,1/9156676,1.092099360073459e-07,A(N)=1/(1+N^2)^2
A,exact-curve,residual L2 time norm,55,55,55,1/36626704,2.7302484001836474e-08,nu=1; ||r_N||_L2t=A(N)/4
A,asymptotic-reference,N^-4,55,55,55,1/9150625,1.0928215285841131e-07,neutral asymptotic reference
B,exact-curve,inverse response 1/A(N),55,55,55,9156676,9156676,1/A(N)=(1+N^2)^2
B,asymptotic-reference,N^4,55,55,55,9150625,9150625,neutral asymptotic reference
