panel,series,q,x,y,unit,formula,evidenceClass,note
A,rescaled target profile,8,0.23999999999999999,0.008229784461109696,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.24199999999999999,0.0087175211935269226,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.24399999999999999,0.0092111763566315175,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.246,0.0097105798796301157,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.248,0.010215564109999159,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.25,0.010725963826312856,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.252,0.01124161624797454,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.254,0.011762361042043007,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.25600000000000001,0.012288040327333327,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.25800000000000001,0.012818498675962603,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.26000000000000001,0.013353583112505119,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.26200000000000001,0.013893143110909195,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.26400000000000001,0.014437030589323274,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.26600000000000001,0.014985099902969951,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.26800000000000002,0.01553720783519999,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.27000000000000002,0.016093213586850591,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.27200000000000002,0.016652978764027021,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.27400000000000002,0.017216367364420282,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.27600000000000002,0.017783245762266281,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.27800000000000002,0.018353482692048451,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28000000000000003,0.01892694923103852,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28200000000000003,0.019503518780766421,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28400000000000003,0.020083067047505204,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28600000000000003,0.020665472021851011,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28800000000000003,0.021250613957476322,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.28999999999999998,0.021838375349126971,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.29199999999999998,0.02242864090993385,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.29399999999999998,0.023021297548102337,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.29599999999999999,0.023616234343040776,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.29799999999999999,0.024213342520986891,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.29999999999999999,0.024812515430185589,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.30199999999999999,0.025413648515670045,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.30399999999999999,0.026016639293694049,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.30599999999999999,0.026621387325862944,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.308,0.027227794193003696,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.31,0.027835763468816332,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.312,0.028445200693345302,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.314,0.02905601334630506,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.316,0.029668110820293775,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.318,0.030281404393928929,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.32000000000000001,0.030895807204931375,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.32200000000000001,0.031511234223188078,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.32400000000000001,0.032127602223817747,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.32600000000000001,0.032744829760266408,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.32800000000000001,0.033362837137451445,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33000000000000002,0.033981546384980632,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33200000000000002,0.03460088123046115,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33400000000000002,0.035220767072920378,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33600000000000002,0.0358411309563543,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33800000000000002,0.036461901543419772,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.33999999999999997,0.037083009089285246,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.34199999999999997,0.037704385415654268,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.34399999999999997,0.038325963884973807,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.34599999999999997,0.038947679374839783,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.34799999999999998,0.03956946825260993,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.34999999999999998,0.04019126835023451,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.35199999999999998,0.040813018939313495,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.35399999999999998,0.041434660706388737,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.35599999999999998,0.042056135728478466,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.35799999999999998,0.042677387448861959,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.35999999999999999,0.043298360653118623,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.36199999999999999,0.043919001445428707,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.36399999999999999,0.044539257225140461,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.36599999999999999,0.045159076663606745,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.36799999999999999,0.045778409681297039,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.37,0.046397207425186604,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.372,0.047015422246426103,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.374,0.047633007678295064,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.376,0.048249918414439597,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.378,0.048866110287397124,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.38,0.049481540247410249,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.38200000000000001,0.050096166341528081,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.38400000000000001,0.050709947692998358,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.38600000000000001,0.051322844480949287,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.38800000000000001,0.05193481792036142,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.39000000000000001,0.052545830242329561,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.39200000000000002,0.053155844674613706,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.39400000000000002,0.053764825422478596,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.39600000000000002,0.054372737649822006,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.39800000000000002,0.054979547460588196,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.40000000000000002,0.055585221880468133,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.40199999999999997,0.056189728838882097,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.40399999999999997,0.056793037151245784,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
A,rescaled target profile,8,0.40599999999999997,0.057395116501516408,target coefficient times q^2,q^2 gamma_q(r/q^2),exact-response finite evaluation,finite-q exact response tangent
