degree,exact,decimal
52,85149917865696274342544995405253562083170973257073316330637679/22014394635488615448608366055043826049174433885281185472000000,3.867920025764831
53,4417700280700912003556022299643462391784275631375479498666081387/1144748521045408003327635034862278954557070562034621644544000000,3.85910110341665
54,12153252029087299659772697274829151700159004166246066812209039400883/3156050473475503839100154094170213035510981371556080862495872000000,3.850778728422522
55,11906694825867583006365718874230849991479842618460021607301247126163/3098667737594131042025605837912572798501690801164152119541401600000,3.842520668289587
56,11670304006439082981612107717207804152845746200421399411360689938683/3043334385137092987703720019378419712814160608286220831692448000000,3.83470973923668
57,880183681678493545798564283983766161022280521921404605830930868191/229995581062992182606488962328193662506873136388702249088768000000,3.826959098998624
58,11223518370203589252045830769691124317967036154470457725010786156083/2938391820132365643300143466986060412372293001103937354737536000000,3.819612583082267
59,649721658280528876174321668863489129142914968151580068081984125416097/170426725567677207311408321085191503917592994064028366574777088000000,3.812322604429324
60,2219947481344645436714454427023998288921298618420781376913248157497324617/583367841172732952673495492935925764718188858797934698312685725939200000,3.805399140415297
61,132956370155017101561526855216349168906426891008161176863871483626289376277/35002070470363977160409729576155545883091331527876081898761143556352000000,3.798528726110371
62,485913470273700633950360660668151065575117743445802172056408177556631504869917/128142015442478804836241303692344547743386347121432918475204889122005376000000,3.791991788140873
63,477382479512037263825700905143859473091227398965566047208282714579965500720317/126108015197360093648364457601989872382380214627441919769249255961338624000000,3.78550466253021
64,234577930585211146420615028748662895776930840746787713425171743964278986410821/62068788729950671092554381475979390313202761886944069886427368168471354000000,3.779321868287369
65,47963561464170206341496795310036540015401960725612496167759589138807603352266753/12711687931893897439755137326280579136143925634446145512740325000902933299200000,3.773185883821817
66,47163510722920519211129211488922135232783994775706664296977404971283677583056193/12519086599592474751273998881942994603778108579378779671638198864525616128000000,3.767328418708742
67,3107988297127734260010658162673908716633647646785426428055703531122084815555550531/826259715573103333584083926208237643849355166238999458328121125058690664448000000,3.761514979550948
68,13726275123412809786683185335765705997906399546540992491796022542329644800094130894459/3654534571101665851746321086737767330545053056816767560075598440235690886931968000000,3.755957114745531
69,13507475826098856986685016616935281112750092643904258077786294399029976554805159408859/3601570301955264897373185998524176499667588519761452088190444839652564932048896000000,3.750440694928474
70,13295762594341245638158355072442686979050631973085096392069677164746886273758253749019/3550119297641618255982140484259545406815194398050574201216295627657528290162483200000,3.745159381875916
71,929400635829653104777785308594249865205177644877128753905661168036021779094973325075389/248508350834913277918749833898168178477063607863540194085140693936026980311373824000000,3.73991712031868
72,4613829527608067360925948045651299793594111190444360554767396028864671788536149865005520349/1235331560495481197405245441671212096207004346583993533405649873713018785419779398912000000,3.734891647840276
73,331752016884750334435687161042462408505392497569647308578407753498586996644127239882959457877/88943872355674646213177671800327270926904312954047534405206790907337352550224116721664000000,3.729903006225301
74,1741776973343552679293974322469801286369886888055599602558034123278806117427201354052199054535333/467576735029560592512320788523620458840155879897901482320409867275671011851763989387994112000000,3.725114709211176
75,1716360276619783631549258974599684640146805145153492679421075059788843912340443532526541028010597/461342378562499784612156511343305519388953801499262795889471069045328731693740469529487523840000,3.720361181575826
76,338339382163519637200426998534786528574543516267688061182115125676948401073474723903075957169793/91054416821546010120820364080915563037293513453801867609764026785262249676396145301872537600000,3.715793192400735
77,333537783060282953225635053547642218659778205206369305737975267097553224173789480869558370159073/89871891927759698301069450261682893387458532759596648549896961502336765914365026531718348800000,3.711258057506849
78,29897688798789053150006147310895048971962740909367984341835046298665744257285187032687247644803/8065426198645101129583155792715131457848842683553545382683060647645607197443015201564467200000,3.706895093009657
79,2329294519798926309349814782427145612236040522068601033219450800806847205337180142294562670467757/629103243494317888107486151831780253712209729317176539849278730516357361400555185722028441600000,3.702563202282973
80,14339238207848533220848538295930221139914552005699641050295876155095456596844521301517680423561034869/3877155425864937465432835810162363806375177159160142550384356700188178963844604102665039760225280000,3.698391380492479
81,1571816456578195134983252468215917348668133747170351750610748858737650530322420829724743118667607973/425476589944026059306758387946487111810719029811812625556582353930115661327254222514682003865600000,3.694248975683895
82,376885617685165791601523878968864152424251505036962062481877546291348635904174720769620262408869226079/102129947803271523479694211584764705143541251997389120839392810639103250754931034899469340025446400000,3.690255657538807
83,30871411420215070951293121821104484738764752250315439970920463823640869397614412403364258796852181248397/8374655719868264925334925349950705821770382663785907908830210472406466561904344861756485882086604800000,3.686290213336756
84,209923204540117255841850270134511126904928224013790803116597419319775579984337952666935408926468124093167413/57006181786860899962648582869907907496578830859263725303170232802212813047995233755585188012626827366400000,3.682463865497856
85,207239449741280669489888714904317636821565290798583110410673943688468124394282328599062055848942231419996757/56335520824662536433676246600850167408383785790331210887838818298657368188607054534931244624242982338560000,3.678663953179527
86,204625345627784665618888362265974435798792340705116431222822015123004466556086773495691333204303871808681493/55680456629026925544912569314793770112937462699745964249608134364952049953855809714757625500705273241600000,3.674994028714752
87,18370247001063210640189828887390701188682992026903905249707705828804351398685138156788880347823699192026143/5003677398219765513962885016794424482458329981377380277394252408971657571610866912715941267565991116800000,3.671349197611955
88,2195431954130863156603333866867639792427312495545801679305243690908897378755446721455676392560879623272344663/598564908762039449607810120134033028714077724022269115683287444423234537003949954433644474132581687347200000,3.667826031885977
89,193013689479490910443889106463170504328319243725354273923842835476718282532671629395175917313857716969409645327/52673711971059471565487290571794906526838839713959682180129295109244639256347595990160713723667188486553600000,3.664326705995933
90,1510477343430352550480858375159496634057226292236183556997350174921321358181035713692767010389753094462133600926431/412592600605842495667222330523418705103544999936782702076039656042989823243423426639862313256221491113080053760000,3.660941425542772
91,114808196023868032549484290162514581874990743596023486371447075683373469065000848747580820779175293651204414823899/31389124306446174649239230555458734961385502953770450707391013562019513179973041756202542851276360270648524800000,3.657578813063308
92,1474969632530989842949028072669331378067048361633440913306710235844296674571614804511505054964033842973413511659007/403623196244845919674456627685953081079554891242504817248299663520316131433783786930300089054999284784534835200000,3.654323255584755
93,1457818467827380593154650146782362993466255947846159839929476359262854000412001430282375343516640566907104581826847/399283161876621770000537739216211650100204838648499389105844828428699828945248477393415141860859507528787148800000,3.651089269519073
94,1441071973939611029421441653631420564400983351023753564285910290383366665755512590246907315030103724194998400943967/395035468665168346915425635607528547439564361641600459434506053658181745658596897846676682904892917023161753600000,3.647955913450045
95,284937213626740582744119429495129436516142351484321440731696725404504967039031891828131042578650730244307872011987/78175440114791209705368441572858280966987473672232511972302250618671755982964438731763385669599861474057273344000,3.644843101725358
96,1408678171287623731884836698242374015196757231944612500210700062205562601824752837342365346805773695882578863774487/386805563067977339688020934865705036034573437440733783196287177540302959290709462474870918677707647918512550400000,3.641825004052649
97,135121759539522984496973549026078653846561282956277818545624662264496263574266491911521669952439066985569881026293479/37133334054525824610050009747107683459319049994310443186843569043869084091908108397587608193059934200177204838400000,3.638826487842782
98,1257381481058886846446613887239475397718124862331474857290451810356651562612554286884904005893878979380490506713543584231/345822361138227019636001760672673579447623421586298929741490619285460495769531112403586480942699891084472755831398400000,3.635917229066355
99,1243691127768944811346319157322566434909848282110125883388502789154945090338600473591998275810472083717410967679367505191/342329205975214625498264369150727381675425205206639344592586673636112409953677262783348233660450397235134647186636800000,3.633026648211227
100,6151515614479089979911466335840089726877490437803623373741664181981065204239661623404883958354568208709070206500616755171/1694529569577312396216408627296100539293354765772864755733304034498756429270702450777573756619229466313916503573852160000,3.630220283505315
101,614679035875914558010687142166392078572162121173509481549403985371712069234218603884498135527765399507351371959888037960431/169452956957731239621640862729610053929335476577286475573330403449875642927070245077757375661922946631391650357385216000000,3.6274317480883
102,6204230102154593049427880577349884543778165871068112538737141645065597840693716772125752210208116586705334413783218528514204631/1711642656926543665817805906972352629151453635814263069310567529458924752778464711508416685312302684679112242694748484608000000,3.624722763859496
103,37197734646332864266712293609416013336952306049488859570203148511470106712882206091593554121880453780861679633585533226999748529/10269855941559261994906835441834115774908721814885578415863405176753548516670788269050500111873816108074673456168490907648000000,3.622030811143508
104,390553881837778884875109962562135594589076767915353894612116160332530130543627049319006521873419052064668528881330625414546959142161/107905277629348343095274630498548729118929642909754552361838184120945911634385773585334094574495571676231862516717563115783424000000,3.61941408630003
105,29735107063642122205756243913368484093137147048188644771192443559851698383279181913355305516399782391283870922907738924406623504997/8221354486045588045354257561794188885251782316933680179949575933024450410238916082692121491390138794379570477464195285012070400000,3.616813642339912
106,29433989667172096726335274658653993592148181493967585326549721169029293454456517522372271227590505931720349027525413473451871967397/8143794538064025893982990981022545593881482483755060555610428990260068802595152723421441099961929937828819812582457593644032000000,3.614284413684294
107,3117833011894433402746583644933042701655725716379775822541807755916183254866208372426808946455648717646146127654011733173531051783479/863242221034786744762197043988389832951437143278036418894705472967567293075086188682672756595964573409854900133740504926267392000000,3.611770759031018
108,209121885892063726703086469940923194270551418353502683132602464348040827277446270027644861675910494619901599811733477509798507538365959/57939340356296200863670619842136151990375159561294957742276280775838677372922573407976522121334112913857597875549959970216380928000000,3.609324590271051
109,3814321581295763587010683040727450652996980787638113983174051307156604857335581366233073131005787288370927517203171850718871610275252102739/1057508840183118258163716153358669046128327412312755568712026676720607539410582809842387481758590228903728876424537869376389384697856000000,3.60689332926548
110,44876500988194075102885777279282309458172637802086627927807559461013908322279626732810584438016640195763289041477846530687786471527983190531659/12450041961759122315922719694253852873986561094908868467214247228425560555957705869521611073766775868608791846429025931278510622507997798400000,3.604526083207937
111,44443177566127301070638678675072019079267004737522165609936925813642444617356525767708139239141803372136582868185218868665334581857452123618059/12337879421563094186950442940251565911157853337297076859401506262403708659057185996823218181210318428351054982947683355321046562845763584000000,3.602173116431443
112,44018335267121393051838742434284697165106102831504991430416686668925975776564771454728524473957037164582323464068423538678065980575163111395059/12227719783870566560281242556856462644093943932499781530299707099346532688887032550423010876020940585240777706314221896791394361391783552000000,3.599880929982173
113,289819596057451810291536763530834187008429473834790449136386126863784776826599121230060902316967225450204445925655487836445468062025324815193451/80559095046676673808911715668701400949324807084704443023151011478047744773843979155728071653785020326292182535717226614155068733875279872000000,3.597602429490149
114,62321655593297632460650085507315187221428119597365312990861774292179587032579460957052935077635698937477594689255544014537014239601127873480895532923/17333807908899989073250648181182264653814250656646310301063016887253431275842698700540909174434513649593703440105782852702075487590714692324352000000,3.595381691134282
115,61741794564702297060572358623404431065756388972377674444593666137788624229049372360631398614989929521677777673450513870041858397030042222589869729723/17183079144474771776961512110041549308998474563979820646271164566494705786487544798797075181613343965684192975409210827895970483350795434130227200000,3.593174078148584
116,61172867082137136506975025071868308645024172524748648605449003613362366410483158830356776123012074081134762320535712733798996062282813392137698680923/17034949151849989261642878384954984228748487714290339433803309699542165219362652171221238326599435828048984415276372803517556944701219611422208000000,3.591021407627377
117,787980408567714724326949953464100384613752523834498321950239507216780332593424308592665406056282221771382587524413314999997490200401202577002171503999/219561566846066528261174876961642018948313841650853263813464880571876796160674183540184849542837172894853576908006582800892956176149052769441792000000,3.588881332406248
118,780848099124416863813939135759095658265462757096883254447294529710344877410835597413431008240537672460599990677911453026267260620624576946411930327999/217700875601608337343707293258577256075870504009744337848943991753471060599990504018657859292474146005914139815565849048343015869571518423938048000000,3.586793562343614
119,13155250608926930923170155912623013669122977825531585707886282259344174173538994408796365060958121957821373712101936057967437432692245694566230975119983/3669814760141397686651065800644588030993245639021404552310770146701369307256982782028803913787421318385409785462395741100639410372777024860669952000000,3.584717885983995
