degree,exact,decimal
81,1571816456578195134983252468215917348668133747170351750610748858737650530322420829724743118667607973/425476589944026059306758387946487111810719029811812625556582353930115661327254222514682003865600000,3.69424897568389558
82,376885617685165791601523878968864152424251505036962062481877546291348635904174720769620262408869226079/102129947803271523479694211584764705143541251997389120839392810639103250754931034899469340025446400000,3.69025565753880698
83,30871411420215070951293121821104484738764752250315439970920463823640869397614412403364258796852181248397/8374655719868264925334925349950705821770382663785907908830210472406466561904344861756485882086604800000,3.68629021333675609
84,209923204540117255841850270134511126904928224013790803116597419319775579984337952666935408926468124093167413/57006181786860899962648582869907907496578830859263725303170232802212813047995233755585188012626827366400000,3.68246386549785583
85,207239449741280669489888714904317636821565290798583110410673943688468124394282328599062055848942231419996757/56335520824662536433676246600850167408383785790331210887838818298657368188607054534931244624242982338560000,3.67866395317952729
86,204625345627784665618888362265974435798792340705116431222822015123004466556086773495691333204303871808681493/55680456629026925544912569314793770112937462699745964249608134364952049953855809714757625500705273241600000,3.67499402871475173
87,18370247001063210640189828887390701188682992026903905249707705828804351398685138156788880347823699192026143/5003677398219765513962885016794424482458329981377380277394252408971657571610866912715941267565991116800000,3.67134919761195498
88,2195431954130863156603333866867639792427312495545801679305243690908897378755446721455676392560879623272344663/598564908762039449607810120134033028714077724022269115683287444423234537003949954433644474132581687347200000,3.66782603188597723
89,193013689479490910443889106463170504328319243725354273923842835476718282532671629395175917313857716969409645327/52673711971059471565487290571794906526838839713959682180129295109244639256347595990160713723667188486553600000,3.66432670599593326
90,1510477343430352550480858375159496634057226292236183556997350174921321358181035713692767010389753094462133600926431/412592600605842495667222330523418705103544999936782702076039656042989823243423426639862313256221491113080053760000,3.66094142554277188
91,114808196023868032549484290162514581874990743596023486371447075683373469065000848747580820779175293651204414823899/31389124306446174649239230555458734961385502953770450707391013562019513179973041756202542851276360270648524800000,3.65757881306330807
92,1474969632530989842949028072669331378067048361633440913306710235844296674571614804511505054964033842973413511659007/403623196244845919674456627685953081079554891242504817248299663520316131433783786930300089054999284784534835200000,3.65432325558475511
93,1457818467827380593154650146782362993466255947846159839929476359262854000412001430282375343516640566907104581826847/399283161876621770000537739216211650100204838648499389105844828428699828945248477393415141860859507528787148800000,3.65108926951907259
94,1441071973939611029421441653631420564400983351023753564285910290383366665755512590246907315030103724194998400943967/395035468665168346915425635607528547439564361641600459434506053658181745658596897846676682904892917023161753600000,3.64795591345004552
95,284937213626740582744119429495129436516142351484321440731696725404504967039031891828131042578650730244307872011987/78175440114791209705368441572858280966987473672232511972302250618671755982964438731763385669599861474057273344000,3.64484310172535817
96,1408678171287623731884836698242374015196757231944612500210700062205562601824752837342365346805773695882578863774487/386805563067977339688020934865705036034573437440733783196287177540302959290709462474870918677707647918512550400000,3.64182500405264894
97,135121759539522984496973549026078653846561282956277818545624662264496263574266491911521669952439066985569881026293479/37133334054525824610050009747107683459319049994310443186843569043869084091908108397587608193059934200177204838400000,3.63882648784278217
98,1257381481058886846446613887239475397718124862331474857290451810356651562612554286884904005893878979380490506713543584231/345822361138227019636001760672673579447623421586298929741490619285460495769531112403586480942699891084472755831398400000,3.63591722906635538
99,1243691127768944811346319157322566434909848282110125883388502789154945090338600473591998275810472083717410967679367505191/342329205975214625498264369150727381675425205206639344592586673636112409953677262783348233660450397235134647186636800000,3.63302664821122723
100,6151515614479089979911466335840089726877490437803623373741664181981065204239661623404883958354568208709070206500616755171/1694529569577312396216408627296100539293354765772864755733304034498756429270702450777573756619229466313916503573852160000,3.63022028350531475
101,614679035875914558010687142166392078572162121173509481549403985371712069234218603884498135527765399507351371959888037960431/169452956957731239621640862729610053929335476577286475573330403449875642927070245077757375661922946631391650357385216000000,3.62743174808830041
102,6204230102154593049427880577349884543778165871068112538737141645065597840693716772125752210208116586705334413783218528514204631/1711642656926543665817805906972352629151453635814263069310567529458924752778464711508416685312302684679112242694748484608000000,3.62472276385949634
103,37197734646332864266712293609416013336952306049488859570203148511470106712882206091593554121880453780861679633585533226999748529/10269855941559261994906835441834115774908721814885578415863405176753548516670788269050500111873816108074673456168490907648000000,3.62203081114350756
104,390553881837778884875109962562135594589076767915353894612116160332530130543627049319006521873419052064668528881330625414546959142161/107905277629348343095274630498548729118929642909754552361838184120945911634385773585334094574495571676231862516717563115783424000000,3.61941408630002986
105,29735107063642122205756243913368484093137147048188644771192443559851698383279181913355305516399782391283870922907738924406623504997/8221354486045588045354257561794188885251782316933680179949575933024450410238916082692121491390138794379570477464195285012070400000,3.61681364233991245
106,29433989667172096726335274658653993592148181493967585326549721169029293454456517522372271227590505931720349027525413473451871967397/8143794538064025893982990981022545593881482483755060555610428990260068802595152723421441099961929937828819812582457593644032000000,3.61428441368429437
107,3117833011894433402746583644933042701655725716379775822541807755916183254866208372426808946455648717646146127654011733173531051783479/863242221034786744762197043988389832951437143278036418894705472967567293075086188682672756595964573409854900133740504926267392000000,3.61177075903101785
108,209121885892063726703086469940923194270551418353502683132602464348040827277446270027644861675910494619901599811733477509798507538365959/57939340356296200863670619842136151990375159561294957742276280775838677372922573407976522121334112913857597875549959970216380928000000,3.60932459027105051
109,3814321581295763587010683040727450652996980787638113983174051307156604857335581366233073131005787288370927517203171850718871610275252102739/1057508840183118258163716153358669046128327412312755568712026676720607539410582809842387481758590228903728876424537869376389384697856000000,3.60689332926547977
110,44876500988194075102885777279282309458172637802086627927807559461013908322279626732810584438016640195763289041477846530687786471527983190531659/12450041961759122315922719694253852873986561094908868467214247228425560555957705869521611073766775868608791846429025931278510622507997798400000,3.60452608320793746
111,44443177566127301070638678675072019079267004737522165609936925813642444617356525767708139239141803372136582868185218868665334581857452123618059/12337879421563094186950442940251565911157853337297076859401506262403708659057185996823218181210318428351054982947683355321046562845763584000000,3.60217311643144306
112,44018335267121393051838742434284697165106102831504991430416686668925975776564771454728524473957037164582323464068423538678065980575163111395059/12227719783870566560281242556856462644093943932499781530299707099346532688887032550423010876020940585240777706314221896791394361391783552000000,3.5998809299821732
113,289819596057451810291536763530834187008429473834790449136386126863784776826599121230060902316967225450204445925655487836445468062025324815193451/80559095046676673808911715668701400949324807084704443023151011478047744773843979155728071653785020326292182535717226614155068733875279872000000,3.59760242949014876
114,62321655593297632460650085507315187221428119597365312990861774292179587032579460957052935077635698937477594689255544014537014239601127873480895532923/17333807908899989073250648181182264653814250656646310301063016887253431275842698700540909174434513649593703440105782852702075487590714692324352000000,3.59538169113428185
115,61741794564702297060572358623404431065756388972377674444593666137788624229049372360631398614989929521677777673450513870041858397030042222589869729723/17183079144474771776961512110041549308998474563979820646271164566494705786487544798797075181613343965684192975409210827895970483350795434130227200000,3.59317407814858397
116,61172867082137136506975025071868308645024172524748648605449003613362366410483158830356776123012074081134762320535712733798996062282813392137698680923/17034949151849989261642878384954984228748487714290339433803309699542165219362652171221238326599435828048984415276372803517556944701219611422208000000,3.59102140762737677
117,787980408567714724326949953464100384613752523834498321950239507216780332593424308592665406056282221771382587524413314999997490200401202577002171503999/219561566846066528261174876961642018948313841650853263813464880571876796160674183540184849542837172894853576908006582800892956176149052769441792000000,3.58888133240624798
118,780848099124416863813939135759095658265462757096883254447294529710344877410835597413431008240537672460599990677911453026267260620624576946411930327999/217700875601608337343707293258577256075870504009744337848943991753471060599990504018657859292474146005914139815565849048343015869571518423938048000000,3.58679356234361462
119,13155250608926930923170155912623013669122977825531585707886282259344174173538994408796365060958121957821373712101936057967437432692245694566230975119983/3669814760141397686651065800644588030993245639021404552310770146701369307256982782028803913787421318385409785462395741100639410372777024860669952000000,3.58471788598399449
120,13038251014116557535878528507011177030081610527034755629400734779434692837135419952354063895619714806903011022227535367858088771618181914494943690423583/3639232970473552705928973585639216464068301925362892847708180395478857896363174592178563881172526140732198037250209109924800748619670549653497702400000,3.58269204524709613
121,1174838839145221896740402813000334520522276318177529727635152172526514275905330447213048238930128068976183477259980983263398342197292969866000339745453/328105151357495360414332704941176540712393862542109047126207098014622800573689670218953918663187931546103504485368214268201419860526270442088448000000,3.58067782320536073
122,17050454977255437444693718744682294155035695227861217857855641259194865239777628956245596797471338801120421424326094039793194140132181153831998809790241373/4764412213475703591729308697527013554434337569827551193737299776769534288583002015268526418859638321293005495980355729813026029258473608120136500224000000,3.5787111218105325
123,16902592175130968815345393892061236750652000673088129939766384116003199992120829992828350788393303695287513428495361299653461650259913300963615318761369373/4725677154829559660089233017059314257243814500154156468584964006226692546399400372867969293503055895916639597639052024692594923329542928379322382336000000,3.57675558895444525
124,16757326829886758362356333735758122149532380428742562583589900102241771669586834595174631385489563233917985271872579049869917420261459631443958339558253373/4687566855193837404765932750792706884201525673540010045451214296499057929089727789215808250813515122562473149270995153525719157818820807989166556672000000,3.57484540435291981
125,664577427178187434361997072340285789113349290700686333327477048935445550480234296786332979655077909923008372009513734676055519571119994760670548567499429/186002652814091468221112211551454609165116538726067598603504183285082618626280398676083271392280280063278934563073087691900536182250809661010128968744960,3.57294596138060769
126,2059251553414607629620756706254801634277639890946904348805917599834141246762107828434876789598165738270615936266952486157849087003327269312888600560520165609/576645129011940315665650457438785370675584507459286950035665250759804745245164926451151014981027653966018522330955753013084499572950178760572076416000000000,3.57108982597851388
127,259331584989860083322765774866535876547305912633415178733239359323444667555777668701070088140297553076938876122609338315034002917668600777943210373658017536343/72657286255504479773871957637286956705123647939870155704493821595735397900890780732845027887609484399718333813700424879648646946191722523832081628416000000000,3.56924402706016634
128,2073991639742729099165682097731458944601789347266417865241676683523582759736187382301200244353669612620096046569187713567765281203408353971328661024312136749291311/581366992155894659346262352347417063423872239601621285751711592819286177962579531679247252966817103449797811610582489907223962412425934213026292430701763000000000,3.56743961684461149
129,32910064533803575772060281226043973863156970813400340246695679772244013346937560786274161778078321238855157839612733458327859004634976506414494401044145420767458351/9229764340583505909621281376802404231721630594605584443562056915456574360212115355651925380434429673373534249445526661472826938144560567971146099985094656000000000,3.56564515835980713
130,32640837693771565939214167457146423619994489996190324301820064270160234921223948643561370676136335566721445134381878081868490095432548936280994782015057689664031151/9158766153348248171854963827750078045323771897724003024765425708414600711287406775993064415969549445116814755219022610230728269389602409755983437677517004800000000,3.56389028251788881
131,4241230889110705005058669198510478349852429681976441384328119055586438483471423465491478489677343209610970351660811414755760897580928790243592072447867459551137171981/1190639599935272262341145297607510145892090346704120393219505342093898092467362880879098374076041427865185918178472939329994675020648313268277846898077210624000000000,3.5621449927763822
132,72197748696801752658844324473092682502698315140813888578093332038389270235252442053159164376682454465527230278586130564694718162313571979586117579634976586312701905253941/20277774006500652693323997524573977965065873330397066052372962000100101943886714289684645021780167042506618757452737944328083780013971872906030402355646170522112000000000,3.56043758420705273
133,71620732281050682230793556446813610963617693558215843014738526995020175910462684166727491418784057227367683427375588268775300057279436518539635973309232810013734922669941/20125309540286362071569681753712519484125528418138441495588202887317394410474032227356189044172797365495290796870386531212835029788302911455609121134927026382848000000000,3.55873941405383195
134,71053052683733517339975285261194532969410375663966751596244615021493610174426257315114746862278178802489916960832666440651546987051951085427844258167293060614402441437941/19975120663120045936707221442117649935736531937406065066516649134426966093977957359987859275186433206051296089431055288442589992252569307638776217245860406782976000000000,3.55707752068393624
135,70493959766641631740913671201840328137836367729254512257383695698698681148508960074471659554980812890563180740142320927961209459809870159219953266196928421829518401492341/19827156806356193744583464246250111788064409478610464584542451733431210789578120638802764021296163330450916118398232656676348584902550275730340837858854033399398400000000,3.55542453490067041
136,69943772979944667770200752380529749224686647128154290995859567943426543690279019658659646564577631182723378411934002272306004951030117531290138791215536721573989897145941/19681368888662398202343879950321802142563935879503034697891404294214804827890046222340978991727809188315247617527657416553728374719443288408794214051068341977344000000000,3.55380631172643223
137,9508044681567666829818711122477463038461595196210848080575690353033383305227462893791570054507425025976975595397762702436841665225511239070652504496028818400012518497429917/2676666168858086155518767673243765091388695279612412718913230984013213456593046286238373142874982049610873675983761408651307058961844287223596013110945294508918784000000000,3.552196681151303
138,7699335255676745471877972026403402325321674611315757399648174032243016822366934943970312166021948697513385271103938264789937418512917149184025681199072934495610313853817833051/2168447883834828736689240646785877472916696840994712124138529688227891764729331867441052141162890270388490503894729946257014606169727534179349489319744333922933787648000000000,3.55062038293524694
139,24426898061444529290745202657194779601189735121616908855093477379313922222239414396795670325185377855009563051334777025757131529266505315720274717320621362020832511812887582840047/6882653583291746410251649812898375099037595773317216282015693230435328461250899347257899496051013718213068859361872849419764359982715193485255279100868515871391841994752000000000,3.54905237723179856
140,468378209758137486631018408645779532650127535857361023215979171212935779110489087431692821807198883518152511595283956786401190346831915536651284323492163068302414132682917618997871287/132029894526474262161097325134759437393587492308145779100647885984489259905544136100595805619178767220669026978646954285613272433517282822947698552882824305185796337900741939200000000,3.5475163517927344
141,464856065107425198130055028490100529744234506212493893393901024653577487987153246419193004027026563056292771655634744254678206767275443179645077326705055619273597478117483109328004087/131093512295790047535841315736640576135476942717307865773692936438499974374299142227541934657340619935416055156103358865147930075832763086614736151798548955503627569546835968000000000,3.5459883328059526
142,461387524490338869618191065738159206549841934480956364866279038150145268456002778872858945885297316625024652163119693784468896986922168711239307117228075420563813476393484789725780087/130170318547228145792631165625819163627480626219298655451342986181890819625184359535798681596373432471082139274722349295675057328819856304314632376081657765676137234550027264000000000,3.5444910148463617
143,457968494576780060249119321009367794236957857549633324088934174321550576157824467905124271981830881263581450584007126889494940352409765782977624841525247932030496129598673271434692087/129260036599345431486388989642421826818896845616366497021613314949849625082350902476107781725070121754501145293780234964936070913933004162326418163661506312769311100042684416000000000,3.54300143049084668
144,454600736568221573282452622351247406037572102722467271992650548597250306569872606124773672277775078975886871996643623626789482268688472122619994797405777007126868939960020881911758087/128362397456294421545511288325460564132654506410697285236741000262697891574834576764468144351979357020094887340351205555457348199252913855643595815302745852263968661847943552000000000,3.54154133591191833
145,451280383057683183803957038887929757625432092379384854024855453304254796964211933660142166127148137918286896925011299079845917176124748987967586368643978834865283424624372934744362487/127477139542802735879680175992181525759325854642347648786832441640196526805352958993678708873689844213059750186279817930936952694430479966983984809679968294662148188317957734400000000,3.54008871454287458
146,448009102056265975899919494083370214583830673381214367875378073604114681816350081791385995966930640165355671903851756197730229834132547524905132999492095843540169197444206948755764087/126604008450043813031189215882646035856864718651646637493771945464578742375179308589612416347157721992422354637058723287574370826660408186388204091805447963876791008945916928000000000,3.53866443520265125
147,444783236715844653110087095902907591863701136203583316464815015955032437707240538113595314797323078240564800281276866397791199320447709762340570619899366134794183730658607849532420087/125742756691880249677235547747389940374845230769662646762521796175704057052899177238662672018265492591113359027282813605345973746206936021854951002745546957319806036095944704000000000,3.53724738042558135
148,63086338277790528956198652160736498159200423744359773392438500241441569930756430995814174858194063260868732129817098820743934322281729343570644065200230062203855041949994895060847441/17841877638712738129878016910102626674809120582181862040628092700606656743992450824404838597186319894685003645763101930488280058583416597695634939578760041241323829446046208000000000,3.53585757930027501
149,9333126609063548001988739866909112023480731119370193677294068901760020310365009725500968605305788940108152782496989177123657398845564020174966504244875041563172923216408435179686020709/2640597890529485243221946502695188747871749846162915582012957719689785198110882722011916112383575344413380539572939085712265448670345656458953971057656486103715926758014838784000000000,3.53447476517982667
150,205744380272989617541440400174776292470952323659946664996719427964426785502741147045415402544297277273624749168737103356290710687397603075803727740045515378262092419837409591607909576269949/58233087675860801205538631410960312822224046879098469577361209839267368375371309262643972613620904513179318283331761837618685191090808292918268864041358103668673308021656186271293440000000,3.53311817189244216
151,30849866296222409421132961702675669757720345224993721709092924150034586528612993900800633122912773832811583909848139877993192354089897092350645953885060274148621818353396147000016879836332859/8734963151379120180830794711644046923333607031864770436604181475890105256305696389396595892043135676976897742499764275642802778663621243937740329606203715550300996203248427940694016000000000,3.53176833852489423
152,698518040320234097182148050974684847457790218485892665774689133493726514765254309402501742100512753886352760931704254613743848867333862804849930990978079181048801880380741717193212013278339370059/197855592875025613195470825547694624991699774105038442364978968530245485409887853220851310678327671198574256969982275740714891247386140956820309247092162425379107665651120909387107915008000000000,3.53044374520890668
153,693693483721563812992759443604708716592485914045810461725474486205550929485609679596994603544689699482524784570708514313451684122216280496121876393973129102682873495201081550920840551357131054059/196562419065384922913147486818624725481950102378861720519456230173838652171914729997185615837292849818191418689132718382932440977795381865599261474235350906258982778947518811940133353472000000000,3.52912569462635786
154,688936330725225041854914244157079142552143419198495135798442083633952192310654797711677315722465516476755458998774548324459646750800237771224333021820184649221729422403369891008447361219218846059/195286039720804501335789386254867422069729647168609371684914306601281258326642556425775319630557181962229136749592895536290022529887619645692772763363692783491067306356950507966496123904000000000,3.52783195209539731
155,684241789485965035976948484042845687788387004462488147529219370396004402390428221980424689420149628246960500539348341741031816015201878942166176326655335500908916099035434961434192741294245025259/194026129787121891649752035375803761282183004283650601545011633655466540530986797997221930471650361433440561673789070403797828836146409196365722616503281862307253968896583085334454213427200000000,3.52654454447289738
156,679611949986848954799508356511024021773131043387394573873344444897382665423265774546426602875932523818802221025441513280235918142530592202861959075823048449619678109017782667121134965275646438059/192782372544896751318663881302881942299604908102345148971005148824341755014762523651085892455806448860149276022034012260183740189760855291260814138192363388830925417813912680941284635136000000000,3.52528055867024518
157,105981635558209739681153162972265350537043326089176059069357393991452754731754850042371507498591377360857985872961272474333905083225998480218704288363144617050441313056688589401494800798944071359263/30074050117003893205711565483249582998738365663965843239476803216597313782302953689569399223105806022183287059437305912588663469602693425436687005558008688657624365178970378226840403081216000000000,3.52402270880993292
158,2594897623773795357625409279901749317500103880594517070578425179534544628710771086941954147508953071124479101098787487906561716272904023290668799374920803773399884295255872223509106600689604727996185687/736603519173687008161587008118159357593269684268492208807269648292958407752770407358156905491788588510157894356373506898642282533994785242047196113923410874527341312883172239920266379754279936000000000,3.52278743751417368
159,2577677682256199915585503358234690637259046108749472809750165665964823148854897042452139043176458098905306091585235355185279419026368144690379346845096543402000472309216069591913253358963712466935561687/731970792638003442072520423161441374212179937826552006236154744844575021540488832469111893507563503047829857284949774150852079499189786592726144566037100114310188222865039081178629484284127232000000000,3.52155811158300114
160,2560688829561645989497185808630689571285831735273424507108585476252591274087554510763558649311593635825400141250720201961582304476735860403030885033156492037588866331321626694272667344165478641721785487/727395975184015920559567170516682365623353813215136056197178777689296427655860777266179944173141231153780920676918838062409254002319850426521606162499368238595749546472132586921263050007351436800000000,3.52035056134843947
161,2543915184269338656294827067400444591323616008353750433360149277095993449115608490888654678232733205768253926264196912298915534591275200159853998497343355131590298107470160370258154307528391116876417687/722877987760512716084041908588007319874140435493302912990985120685015083384706362500551497314922962637297809368366547142766960499199851355549422273291297628418136195251808782033553341622212608000000000,3.51914877384830542
162,2527363715516962804155245131036487726598549336371242704732571181559843790933479008998968721333642212269802198532517202390514501215296206676524923393013155683567324780996317187884809791143086106310513687/718415777959521896848955230139933200615658087126060302416966694014119928548998298534498710294460475213610785853747000555465929878834420174342327074073450112193332885404575394490136345686273024000000000,3.51796799716077989
163,409296149468270220085090741917574223506410852937080815926146348258861076101440608402422533972217574177634162469750203308976673229399352217740362775997255054073455813326423407409942020025166317620271186981/116383356029442547289530747282669178499736610114421768991548604430287428424937724362588791067702596984604947308307014089985480640371176068243456985999898918175319927435541213907402088001176229888000000000,3.51679280811189945
164,10804731506553183983676440769673973920213147249779022738855209079612128585299419500597329743303437204783880424824879297591772585517966532120502204334206295319882243651137091312637354166859152170193782903210189/3073334573014879410649350092696205468171944055141473980456354536528377986518376676647001946037072065751749522808589489933916770285643595390348454949683562440189099084034681740889267502468475329626624000000000,3.51563790074243679
165,10735736935741594007010443998150721867386350162176759299336564259437956943090710577819392773301789210103868588606589222265755437602735883621344033475957537828902832777902374837239533644539651025874263145816589/3054708302875395293009051001225319374425447424504252926029346327216084786600083484667323146364120113838102556003688947570680911071791209963740282495443056001157649998676895790944484063059575479144038400000000,3.51448841306256659
166,10667633094586072464736547191857285981917623201463580268859408010577460816508548054614855719019424670327181623588032429954021551909299956203263116001500140054813436534839607954833449300853126400524951316642189/3036306445629157971966827802422757209519270030380733330089410505967795119210926355241616380422167583031848926148245038247965965824370780988055100070771712290307302709528239792203854640992951530474496000000000,3.51335851160294031
167,1770260243442288060456680721793750405042816026423365413597881612825717364838223983261546512557819247198461510455369860594332165229798529300119177932007569473357396795505560052571660998251763463731475196612669563/504026869974440223346493415202177696780198825043201732794842143990653989789013774970108319150079818783286921740608676349162350326845549644017146611748104240191012249781687805505839870404829954058766336000000000,3.51223386866668433
