sampleIndex,scaledAExact,scaledADecimal,scaledBLowerExact,scaledBLowerDecimal,scaledBUpperExact,scaledBUpperDecimal,classification
26,13/50,0.26,0,0,169/10000,0.0169,exact invariant-domain presentation sample
27,27/100,0.27,0,0,729/40000,0.018225,exact invariant-domain presentation sample
28,7/25,0.28,0,0,49/2500,0.0196,exact invariant-domain presentation sample
29,29/100,0.29,0,0,841/40000,0.021025,exact invariant-domain presentation sample
30,3/10,0.3,0,0,9/400,0.0225,exact invariant-domain presentation sample
31,31/100,0.31,0,0,961/40000,0.024025,exact invariant-domain presentation sample
32,8/25,0.32,0,0,16/625,0.0256,exact invariant-domain presentation sample
33,33/100,0.33,0,0,1089/40000,0.027225,exact invariant-domain presentation sample
34,17/50,0.34,0,0,289/10000,0.0289,exact invariant-domain presentation sample
35,7/20,0.35,0,0,49/1600,0.030625,exact invariant-domain presentation sample
36,9/25,0.36,0,0,81/2500,0.0324,exact invariant-domain presentation sample
37,37/100,0.37,0,0,1369/40000,0.034225,exact invariant-domain presentation sample
38,19/50,0.38,0,0,361/10000,0.0361,exact invariant-domain presentation sample
39,39/100,0.39,0,0,1521/40000,0.038025,exact invariant-domain presentation sample
40,2/5,0.4,0,0,1/25,0.04,exact invariant-domain presentation sample
41,41/100,0.41,0,0,1681/40000,0.042025,exact invariant-domain presentation sample
42,21/50,0.42,0,0,441/10000,0.0441,exact invariant-domain presentation sample
43,43/100,0.43,0,0,1849/40000,0.046225,exact invariant-domain presentation sample
44,11/25,0.44,0,0,121/2500,0.0484,exact invariant-domain presentation sample
45,9/20,0.45,0,0,81/1600,0.050625,exact invariant-domain presentation sample
46,23/50,0.46,0,0,529/10000,0.0529,exact invariant-domain presentation sample
47,47/100,0.47,0,0,2209/40000,0.055225,exact invariant-domain presentation sample
48,12/25,0.48,0,0,36/625,0.0576,exact invariant-domain presentation sample
49,49/100,0.49,0,0,2401/40000,0.060025,exact invariant-domain presentation sample
50,1/2,0.5,0,0,1/16,0.0625,exact invariant-domain presentation sample
51,51/100,0.51,0,0,2601/40000,0.065025,exact invariant-domain presentation sample
52,13/25,0.52,0,0,169/2500,0.0676,exact invariant-domain presentation sample
53,53/100,0.53,0,0,2809/40000,0.070225,exact invariant-domain presentation sample
54,27/50,0.54,0,0,729/10000,0.0729,exact invariant-domain presentation sample
55,11/20,0.55,0,0,121/1600,0.075625,exact invariant-domain presentation sample
56,14/25,0.56,0,0,49/625,0.0784,exact invariant-domain presentation sample
57,57/100,0.57,0,0,3249/40000,0.081225,exact invariant-domain presentation sample
58,29/50,0.58,0,0,841/10000,0.0841,exact invariant-domain presentation sample
59,59/100,0.59,0,0,3481/40000,0.087025,exact invariant-domain presentation sample
60,3/5,0.6,0,0,9/100,0.09,exact invariant-domain presentation sample
61,61/100,0.61,0,0,3721/40000,0.093025,exact invariant-domain presentation sample
62,31/50,0.62,0,0,961/10000,0.0961,exact invariant-domain presentation sample
63,63/100,0.63,0,0,3969/40000,0.099225,exact invariant-domain presentation sample
64,16/25,0.64,0,0,64/625,0.1024,exact invariant-domain presentation sample
65,13/20,0.65,0,0,169/1600,0.105625,exact invariant-domain presentation sample
66,33/50,0.66,0,0,1089/10000,0.1089,exact invariant-domain presentation sample
67,67/100,0.67,0,0,4489/40000,0.112225,exact invariant-domain presentation sample
68,17/25,0.68,0,0,289/2500,0.1156,exact invariant-domain presentation sample
69,69/100,0.69,0,0,4761/40000,0.119025,exact invariant-domain presentation sample
70,7/10,0.7,0,0,49/400,0.1225,exact invariant-domain presentation sample
71,71/100,0.71,0,0,5041/40000,0.126025,exact invariant-domain presentation sample
72,18/25,0.72,0,0,81/625,0.1296,exact invariant-domain presentation sample
73,73/100,0.73,0,0,5329/40000,0.133225,exact invariant-domain presentation sample
74,37/50,0.74,0,0,1369/10000,0.1369,exact invariant-domain presentation sample
75,3/4,0.75,0,0,9/64,0.140625,exact invariant-domain presentation sample
76,19/25,0.76,0,0,361/2500,0.1444,exact invariant-domain presentation sample
77,77/100,0.77,0,0,5929/40000,0.148225,exact invariant-domain presentation sample
78,39/50,0.78,0,0,1521/10000,0.1521,exact invariant-domain presentation sample
79,79/100,0.79,0,0,6241/40000,0.156025,exact invariant-domain presentation sample
80,4/5,0.8,0,0,4/25,0.16,exact invariant-domain presentation sample
81,81/100,0.81,0,0,6561/40000,0.164025,exact invariant-domain presentation sample
82,41/50,0.82,0,0,1681/10000,0.1681,exact invariant-domain presentation sample
83,83/100,0.83,0,0,6889/40000,0.172225,exact invariant-domain presentation sample
84,21/25,0.84,0,0,441/2500,0.1764,exact invariant-domain presentation sample
85,17/20,0.85,0,0,289/1600,0.180625,exact invariant-domain presentation sample
86,43/50,0.86,0,0,1849/10000,0.1849,exact invariant-domain presentation sample
87,87/100,0.87,0,0,7569/40000,0.189225,exact invariant-domain presentation sample
88,22/25,0.88,0,0,121/625,0.1936,exact invariant-domain presentation sample
89,89/100,0.89,0,0,7921/40000,0.198025,exact invariant-domain presentation sample
90,9/10,0.9,0,0,81/400,0.2025,exact invariant-domain presentation sample
91,91/100,0.91,0,0,8281/40000,0.207025,exact invariant-domain presentation sample
92,23/25,0.92,0,0,529/2500,0.2116,exact invariant-domain presentation sample
93,93/100,0.93,0,0,8649/40000,0.216225,exact invariant-domain presentation sample
94,47/50,0.94,0,0,2209/10000,0.2209,exact invariant-domain presentation sample
95,19/20,0.95,0,0,361/1600,0.225625,exact invariant-domain presentation sample
96,24/25,0.96,0,0,144/625,0.2304,exact invariant-domain presentation sample
97,97/100,0.97,0,0,9409/40000,0.235225,exact invariant-domain presentation sample
98,49/50,0.98,0,0,2401/10000,0.2401,exact invariant-domain presentation sample
99,99/100,0.99,0,0,9801/40000,0.245025,exact invariant-domain presentation sample
100,1,1,0,0,1/4,0.25,exact invariant-domain presentation sample
101,101/100,1.01,1/100,0.01,10201/40000,0.255025,exact invariant-domain presentation sample
102,51/50,1.02,1/50,0.02,2601/10000,0.2601,exact invariant-domain presentation sample
103,103/100,1.03,3/100,0.03,10609/40000,0.265225,exact invariant-domain presentation sample
104,26/25,1.04,1/25,0.04,169/625,0.2704,exact invariant-domain presentation sample
105,21/20,1.05,1/20,0.05,441/1600,0.275625,exact invariant-domain presentation sample
106,53/50,1.06,3/50,0.06,2809/10000,0.2809,exact invariant-domain presentation sample
107,107/100,1.07,7/100,0.07,11449/40000,0.286225,exact invariant-domain presentation sample
108,27/25,1.08,2/25,0.08,729/2500,0.2916,exact invariant-domain presentation sample
109,109/100,1.09,9/100,0.09,11881/40000,0.297025,exact invariant-domain presentation sample
110,11/10,1.1,1/10,0.1,121/400,0.3025,exact invariant-domain presentation sample
111,111/100,1.11,11/100,0.11,12321/40000,0.308025,exact invariant-domain presentation sample
112,28/25,1.12,3/25,0.12,196/625,0.3136,exact invariant-domain presentation sample
113,113/100,1.13,13/100,0.13,12769/40000,0.319225,exact invariant-domain presentation sample
114,57/50,1.14,7/50,0.14,3249/10000,0.3249,exact invariant-domain presentation sample
115,23/20,1.15,3/20,0.15,529/1600,0.330625,exact invariant-domain presentation sample
116,29/25,1.16,4/25,0.16,841/2500,0.3364,exact invariant-domain presentation sample
117,117/100,1.17,17/100,0.17,13689/40000,0.342225,exact invariant-domain presentation sample
118,59/50,1.18,9/50,0.18,3481/10000,0.3481,exact invariant-domain presentation sample
119,119/100,1.19,19/100,0.19,14161/40000,0.354025,exact invariant-domain presentation sample
120,6/5,1.2,1/5,0.2,9/25,0.36,exact invariant-domain presentation sample
121,121/100,1.21,21/100,0.21,14641/40000,0.366025,exact invariant-domain presentation sample
122,61/50,1.22,11/50,0.22,3721/10000,0.3721,exact invariant-domain presentation sample
123,123/100,1.23,23/100,0.23,15129/40000,0.378225,exact invariant-domain presentation sample
124,31/25,1.24,6/25,0.24,961/2500,0.3844,exact invariant-domain presentation sample
125,5/4,1.25,1/4,0.25,25/64,0.390625,exact invariant-domain presentation sample
126,63/50,1.26,13/50,0.26,3969/10000,0.3969,exact invariant-domain presentation sample
127,127/100,1.27,27/100,0.27,16129/40000,0.403225,exact invariant-domain presentation sample
128,32/25,1.28,7/25,0.28,256/625,0.4096,exact invariant-domain presentation sample
129,129/100,1.29,29/100,0.29,16641/40000,0.416025,exact invariant-domain presentation sample
130,13/10,1.3,3/10,0.3,169/400,0.4225,exact invariant-domain presentation sample
131,131/100,1.31,31/100,0.31,17161/40000,0.429025,exact invariant-domain presentation sample
132,33/25,1.32,8/25,0.32,1089/2500,0.4356,exact invariant-domain presentation sample
133,133/100,1.33,33/100,0.33,17689/40000,0.442225,exact invariant-domain presentation sample
134,67/50,1.34,17/50,0.34,4489/10000,0.4489,exact invariant-domain presentation sample
135,27/20,1.35,7/20,0.35,729/1600,0.455625,exact invariant-domain presentation sample
136,34/25,1.36,9/25,0.36,289/625,0.4624,exact invariant-domain presentation sample
137,137/100,1.37,37/100,0.37,18769/40000,0.469225,exact invariant-domain presentation sample
138,69/50,1.38,19/50,0.38,4761/10000,0.4761,exact invariant-domain presentation sample
139,139/100,1.39,39/100,0.39,19321/40000,0.483025,exact invariant-domain presentation sample
140,7/5,1.4,2/5,0.4,49/100,0.49,exact invariant-domain presentation sample
141,141/100,1.41,41/100,0.41,19881/40000,0.497025,exact invariant-domain presentation sample
142,71/50,1.42,21/50,0.42,5041/10000,0.5041,exact invariant-domain presentation sample
143,143/100,1.43,43/100,0.43,20449/40000,0.511225,exact invariant-domain presentation sample
144,36/25,1.44,11/25,0.44,324/625,0.5184,exact invariant-domain presentation sample
145,29/20,1.45,9/20,0.45,841/1600,0.525625,exact invariant-domain presentation sample
146,73/50,1.46,23/50,0.46,5329/10000,0.5329,exact invariant-domain presentation sample
147,147/100,1.47,47/100,0.47,21609/40000,0.540225,exact invariant-domain presentation sample
148,37/25,1.48,12/25,0.48,1369/2500,0.5476,exact invariant-domain presentation sample
149,149/100,1.49,49/100,0.49,22201/40000,0.555025,exact invariant-domain presentation sample
150,3/2,1.5,1/2,0.5,9/16,0.5625,exact invariant-domain presentation sample
151,151/100,1.51,51/100,0.51,22801/40000,0.570025,exact invariant-domain presentation sample
152,38/25,1.52,13/25,0.52,361/625,0.5776,exact invariant-domain presentation sample
153,153/100,1.53,53/100,0.53,23409/40000,0.585225,exact invariant-domain presentation sample
154,77/50,1.54,27/50,0.54,5929/10000,0.5929,exact invariant-domain presentation sample
155,31/20,1.55,11/20,0.55,961/1600,0.600625,exact invariant-domain presentation sample
156,39/25,1.56,14/25,0.56,1521/2500,0.6084,exact invariant-domain presentation sample
157,157/100,1.57,57/100,0.57,24649/40000,0.616225,exact invariant-domain presentation sample
158,79/50,1.58,29/50,0.58,6241/10000,0.6241,exact invariant-domain presentation sample
159,159/100,1.59,59/100,0.59,25281/40000,0.632025,exact invariant-domain presentation sample
160,8/5,1.6,3/5,0.6,16/25,0.64,exact invariant-domain presentation sample
161,161/100,1.61,61/100,0.61,25921/40000,0.648025,exact invariant-domain presentation sample
162,81/50,1.62,31/50,0.62,6561/10000,0.6561,exact invariant-domain presentation sample
163,163/100,1.63,63/100,0.63,26569/40000,0.664225,exact invariant-domain presentation sample
164,41/25,1.64,16/25,0.64,1681/2500,0.6724,exact invariant-domain presentation sample
165,33/20,1.65,13/20,0.65,1089/1600,0.680625,exact invariant-domain presentation sample
166,83/50,1.66,33/50,0.66,6889/10000,0.6889,exact invariant-domain presentation sample
167,167/100,1.67,67/100,0.67,27889/40000,0.697225,exact invariant-domain presentation sample
168,42/25,1.68,17/25,0.68,441/625,0.7056,exact invariant-domain presentation sample
169,169/100,1.69,69/100,0.69,28561/40000,0.714025,exact invariant-domain presentation sample
170,17/10,1.7,7/10,0.7,289/400,0.7225,exact invariant-domain presentation sample
171,171/100,1.71,71/100,0.71,29241/40000,0.731025,exact invariant-domain presentation sample
172,43/25,1.72,18/25,0.72,1849/2500,0.7396,exact invariant-domain presentation sample
173,173/100,1.73,73/100,0.73,29929/40000,0.748225,exact invariant-domain presentation sample
174,87/50,1.74,37/50,0.74,7569/10000,0.7569,exact invariant-domain presentation sample
175,7/4,1.75,3/4,0.75,49/64,0.765625,exact invariant-domain presentation sample
176,44/25,1.76,19/25,0.76,484/625,0.7744,exact invariant-domain presentation sample
177,177/100,1.77,77/100,0.77,31329/40000,0.783225,exact invariant-domain presentation sample
178,89/50,1.78,39/50,0.78,7921/10000,0.7921,exact invariant-domain presentation sample
179,179/100,1.79,79/100,0.79,32041/40000,0.801025,exact invariant-domain presentation sample
180,9/5,1.8,4/5,0.8,81/100,0.81,exact invariant-domain presentation sample
181,181/100,1.81,81/100,0.81,32761/40000,0.819025,exact invariant-domain presentation sample
182,91/50,1.82,41/50,0.82,8281/10000,0.8281,exact invariant-domain presentation sample
183,183/100,1.83,83/100,0.83,33489/40000,0.837225,exact invariant-domain presentation sample
184,46/25,1.84,21/25,0.84,529/625,0.8464,exact invariant-domain presentation sample
185,37/20,1.85,17/20,0.85,1369/1600,0.855625,exact invariant-domain presentation sample
186,93/50,1.86,43/50,0.86,8649/10000,0.8649,exact invariant-domain presentation sample
187,187/100,1.87,87/100,0.87,34969/40000,0.874225,exact invariant-domain presentation sample
188,47/25,1.88,22/25,0.88,2209/2500,0.8836,exact invariant-domain presentation sample
189,189/100,1.89,89/100,0.89,35721/40000,0.893025,exact invariant-domain presentation sample
190,19/10,1.9,9/10,0.9,361/400,0.9025,exact invariant-domain presentation sample
191,191/100,1.91,91/100,0.91,36481/40000,0.912025,exact invariant-domain presentation sample
192,48/25,1.92,23/25,0.92,576/625,0.9216,exact invariant-domain presentation sample
193,193/100,1.93,93/100,0.93,37249/40000,0.931225,exact invariant-domain presentation sample
194,97/50,1.94,47/50,0.94,9409/10000,0.9409,exact invariant-domain presentation sample
195,39/20,1.95,19/20,0.95,1521/1600,0.950625,exact invariant-domain presentation sample
196,49/25,1.96,24/25,0.96,2401/2500,0.9604,exact invariant-domain presentation sample
197,197/100,1.97,97/100,0.97,38809/40000,0.970225,exact invariant-domain presentation sample
198,99/50,1.98,49/50,0.98,9801/10000,0.9801,exact invariant-domain presentation sample
199,199/100,1.99,99/100,0.99,39601/40000,0.990025,exact invariant-domain presentation sample
200,2,2,1,1,1,1,exact invariant-domain presentation sample
