panel,series,q,delta,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
B,high-precision complete-ledger-normalized proxy,128,0.0078125,128,2.2055937370137209e-11,2.2055937370137209e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,256,0.0078125,256,2.8295068379597607e-09,2.8295068379597607e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,256,0.0078125,256,2.20556321699482e-11,2.20556321699482e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,512,0.0078125,512,2.8294869757886921e-09,2.8294869757886921e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,512,0.0078125,512,2.2055463584921933e-11,2.2055463584921933e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,1024,0.0078125,1024,2.8294770422299582e-09,2.8294770422299582e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,1024,0.0078125,1024,2.2055375296367361e-11,2.2055375296367361e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,high-precision endpoint atom-proxy ratio,2048,0.0078125,2048,2.8294720748334861e-09,2.8294720748334861e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,tangent/high-precision algebra; atomProxy is not multiplier-locked J_*
B,high-precision complete-ledger-normalized proxy,2048,0.0078125,2048,2.2055330153104431e-11,2.2055330153104431e-11,1,dimensionless proxy,leadingAtomProxy/(D^(1/3) completeLedgerProxy),primary high-precision algebra certificate,research/certificates/r071x/result.json,complete-ledger-normalized analytic proxy; not the finite retained charge
B,finite-coset endpoint atomProxy ratio,256,0.0078125,256,2.3461574573337106e-09,2.3461574573337106e-09,1,dimensionless proxy,completePrescribedAtomProxySum/D^(1/3),finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40 finite retained-coset corroboration; atomProxy is not J_*
B,full retained rotational-charge upper bound,256,0.0078125,256,2.5195217588474355e-08,2.5195217588474355e-08,1,dimensionless proxy,"integral ||L||^2_H^-1,retained/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,all retained convolution modes; distinct from complete-ledger-normalized proxy
B,finite-coset endpoint atomProxy ratio,512,0.0078125,512,2.3454857339577649e-09,2.3454857339577649e-09,1,dimensionless proxy,completePrescribedAtomProxySum/D^(1/3),finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40 finite retained-coset corroboration; atomProxy is not J_*
B,full retained rotational-charge upper bound,512,0.0078125,512,2.5175937181909365e-08,2.5175937181909365e-08,1,dimensionless proxy,"integral ||L||^2_H^-1,retained/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,all retained convolution modes; distinct from complete-ledger-normalized proxy
B,finite-coset endpoint atomProxy ratio,1024,0.0078125,1024,2.345149806345481e-09,2.345149806345481e-09,1,dimensionless proxy,completePrescribedAtomProxySum/D^(1/3),finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40 finite retained-coset corroboration; atomProxy is not J_*
B,full retained rotational-charge upper bound,1024,0.0078125,1024,2.5166305450701384e-08,2.5166305450701384e-08,1,dimensionless proxy,"integral ||L||^2_H^-1,retained/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,all retained convolution modes; distinct from complete-ledger-normalized proxy
B,finite-coset endpoint atomProxy ratio,2048,0.0078125,2048,2.3449818260733554e-09,2.3449818260733554e-09,1,dimensionless proxy,completePrescribedAtomProxySum/D^(1/3),finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40 finite retained-coset corroboration; atomProxy is not J_*
B,full retained rotational-charge upper bound,2048,0.0078125,2048,2.5161491701712236e-08,2.5161491701712236e-08,1,dimensionless proxy,"integral ||L||^2_H^-1,retained/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,all retained convolution modes; distinct from complete-ledger-normalized proxy
B,finite-coset endpoint atomProxy ratio,4096,0.0078125,4096,2.3448978318226764e-09,2.3448978318226764e-09,1,dimensionless proxy,completePrescribedAtomProxySum/D^(1/3),finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,R=40 finite retained-coset corroboration; atomProxy is not J_*
B,full retained rotational-charge upper bound,4096,0.0078125,4096,2.5159085356195719e-08,2.5159085356195719e-08,1,dimensionless proxy,"integral ||L||^2_H^-1,retained/Y dt plus time-tail upper bound",finite nonlinear retained-coset corroboration,research/certificates/r071x/truncated-coset-result.json,all retained convolution modes; distinct from complete-ledger-normalized proxy
C,high-precision delta endpoint collapse,2048,0.0009765625,0.0009765625,1.7684200467709288e-10,1.7684200467709288e-10,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,q=2048 delta sweep; atomProxy is not multiplier-locked J_*
C,high-precision delta endpoint collapse,2048,0.001953125,0.001953125,4.4561392839655387e-10,4.4561392839655387e-10,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,q=2048 delta sweep; atomProxy is not multiplier-locked J_*
C,high-precision delta endpoint collapse,2048,0.00390625,0.00390625,1.1228767370263301e-09,1.1228767370263301e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,q=2048 delta sweep; atomProxy is not multiplier-locked J_*
C,high-precision delta endpoint collapse,2048,0.0078125,0.0078125,2.8294720748334861e-09,2.8294720748334861e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,q=2048 delta sweep; atomProxy is not multiplier-locked J_*
C,high-precision delta endpoint collapse,2048,0.015625,0.015625,7.1298228543448619e-09,7.1298228543448619e-09,1,dimensionless proxy,leadingAtomProxy/D^(1/3),primary high-precision algebra certificate,research/certificates/r071x/result.json,q=2048 delta sweep; atomProxy is not multiplier-locked J_*
C-inset,maximum retained-observable relative difference versus R=40,1024,0.0078125,15,1.3038823249343258e-12,1.3038823249343258e-12,40,relative difference,"max relative difference across atomProxy sum, endpoint coefficient, D, and retained charge",finite nonlinear truncation audit,research/certificates/r071x/truncated-coset-result.json,q=1024; R=40 reference; maximumZDifference excluded because it is absolute
C-inset,maximum retained-observable relative difference versus R=40,1024,0.0078125,30,3.2299969190224593e-12,3.2299969190224593e-12,40,relative difference,"max relative difference across atomProxy sum, endpoint coefficient, D, and retained charge",finite nonlinear truncation audit,research/certificates/r071x/truncated-coset-result.json,q=1024; R=40 reference; maximumZDifference excluded because it is absolute
C-inset,maximum retained-observable relative difference versus R=40,1024,0.0078125,60,1.8127460326793011e-14,1.8127460326793011e-14,40,relative difference,"max relative difference across atomProxy sum, endpoint coefficient, D, and retained charge",finite nonlinear truncation audit,research/certificates/r071x/truncated-coset-result.json,q=1024; R=40 reference; maximumZDifference excluded because it is absolute
