panel,series,x,y,x_unit,y_unit,exact_value,role,source_locator,note
B,Holder lower-rate curve,0.44,-0.0234122784916,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-27877/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.45,-0.0300789451583,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-7163/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.46,-0.036745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-43753/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.47,-0.0434122784916,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-51691/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.48,-0.0500789451583,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-59629/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.49,-0.056745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-67567/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.5,-0.0634122784916,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-15101/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.51,-0.0700789451583,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-83443/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.52,-0.076745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-91381/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.53,-0.0834122784916,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-99319/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.54,-0.0900789451583,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-107257/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.55,-0.096745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-23039/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.56,-0.103412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-123133/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.57,-0.110078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-131071/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.58,-0.116745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-139009/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.59,-0.123412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-146947/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.6,-0.130078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-30977/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.61,-0.136745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-162823/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.62,-0.143412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-170761/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.63,-0.150078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-178699/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.64,-0.156745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-186637/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.65,-0.163412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-7783/47628000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.66,-0.170078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-202513/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.67,-0.176745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-210451/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.68,-0.183412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-218389/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.69,-0.190078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-226327/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.7,-0.196745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-46853/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.71,-0.203412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-242203/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.72,-0.210078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-250141/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.73,-0.216745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-258079/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.74,-0.223412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-266017/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.75,-0.230078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-54791/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.76,-0.236745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-281893/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.77,-0.243412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-289831/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.78,-0.250078945158,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-297769/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.79,-0.256745611825,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-305707/1190700000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,Holder lower-rate curve,0.8,-0.263412278492,kappa times 10^-3,L^-2 log(P^(2/3)/h) lower rate times 10^-3,-62729/238140000,derived analytic curve,Z.18--Z.19a,affine leading-rate lower bound
B,delta remote,0,0.269921054842,kappa times 10^-3,rate times 10^-3,64279/238140000,threshold/reference,Z.1,rate at kappa=0
B,kappa star,0.404881582263,0,kappa times 10^-3,rate times 10^-3,64279/158760000,threshold/reference,Z.19,unique zero of affine rate
B,strict theorem region,0.404881582263,,kappa times 10^-3,rate times 10^-3,limsup kappa_L < kappa_*,threshold/reference,Z.19a,exponential W-kinetic no-go
B,critical layer,0.404881582263,,kappa times 10^-3,rate times 10^-3,kappa_L=kappa_*+o(1),threshold/reference,Z.19a,OPEN; lower-order factors decide
C,time-tame reserve,0.0423604484733,,proof step or rate times 10^-3,,7103/167680000,complexity component,Z.21,rho/4-beta
C,critical residence cost,0.404881582263,,proof step or rate times 10^-3,,64279/158760000,complexity component,Z.19,kappa_*
C,necessary complexity rate,0.447242030736,,proof step or rate times 10^-3,,476239/1064835072,complexity total,Z.36,"necessary, not sufficient; equality open"
C,endpoint preservation,0,,proof step or rate times 10^-3,,C(t_2)=o(A_rem) on enlarged strip,conditional proof node,Z.23,uniform endpoint hypothesis
C,moving-frame envelope,1,,proof step or rate times 10^-3,,R^2|D_2 C|<=|a_2|e^{o(L^2)},conditional proof node,Z.22,time-tame hypothesis
C,moving-strip all-winding,2,,proof step or rate times 10^-3,,uniform moving-strip all-winding comparison,conditional proof node,Z.24--Z.25,required; not proved generically
C,R^3 persistence,3,,proof step or rate times 10^-3,,theta_L asymp 1,conditional conclusion,Z.25,follows only from all three hypotheses
C,complexity scope,4,,proof step or rate times 10^-3,,log N_L/L^2 >= 476239/1064835072+o(1),scope boundary,Z.36,necessary within derivative/conditioning model
D,PROVED,0,,claim order,,same-b admissibility; Gamma ladder; shell-tube Holder coercivity,claim hierarchy,Z.6--Z.16,exact deterministic statements
D,CONDITIONAL,1,,claim order,,endpoint + Z.22 + moving-strip all-winding => R^3 persistence,claim hierarchy,Z.22--Z.25,not an unconditional theorem
D,OPEN,2,,claim order,,critical layer; accumulated rows; full-clock Y.57; arbitrary ill-conditioned finite family,claim hierarchy,Z.19a; Z.39,kinetic floor h is not an upper bound for K
D,NEXT Z.39,3,,claim order,,spectral/observability persistence-payment dichotomy,claim hierarchy,Z.39,must control critical time focusing and complete payment/clock ledger
