panel,kind,id,series,x,y,value,parameterXi,parameterLambda,power,formula,status,note
B,exact-lift-up-energy-ratio,lift-0-2-009,"xi=0, Lambda=2",0.22500000000000001,1.0203240906960351,1.0203240906960351,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-010,"xi=0, Lambda=2",0.25,1.023183310717164,1.023183310717164,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-011,"xi=0, Lambda=2",0.27500000000000002,1.0260056591305879,1.0260056591305879,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-012,"xi=0, Lambda=2",0.29999999999999999,1.0287788315222548,1.0287788315222548,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-013,"xi=0, Lambda=2",0.32500000000000001,1.0314931159346357,1.0314931159346357,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-014,"xi=0, Lambda=2",0.34999999999999998,1.0341404661930185,1.0341404661930185,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-015,"xi=0, Lambda=2",0.375,1.036713926484218,1.036713926484218,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-016,"xi=0, Lambda=2",0.40000000000000002,1.0392072934476471,1.0392072934476471,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-017,"xi=0, Lambda=2",0.42499999999999999,1.0416149344849113,1.0416149344849113,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-018,"xi=0, Lambda=2",0.45000000000000001,1.043931704946524,1.043931704946524,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-019,"xi=0, Lambda=2",0.47499999999999998,1.0461529244084846,1.0461529244084846,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-020,"xi=0, Lambda=2",0.5,1.048274385007522,1.048274385007522,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-021,"xi=0, Lambda=2",0.52500000000000002,1.0502923739799532,1.0502923739799532,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-022,"xi=0, Lambda=2",0.55000000000000004,1.0522036990696737,1.0522036990696737,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-023,"xi=0, Lambda=2",0.57499999999999996,1.0540057100345095,1.0540057100345095,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-024,"xi=0, Lambda=2",0.59999999999999998,1.0556963126130199,1.0556963126130199,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-025,"xi=0, Lambda=2",0.625,1.0572739734100147,1.0572739734100147,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-026,"xi=0, Lambda=2",0.65000000000000002,1.0587377155123208,1.0587377155123208,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-027,"xi=0, Lambda=2",0.67500000000000004,1.060087105474381,1.060087105474381,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-028,"xi=0, Lambda=2",0.69999999999999996,1.0613222327762319,1.0613222327762319,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-029,"xi=0, Lambda=2",0.72499999999999998,1.0624436830711703,1.0624436830711703,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-030,"xi=0, Lambda=2",0.75,1.0634525065914333,1.0634525065914333,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-031,"xi=0, Lambda=2",0.77500000000000002,1.0643501830278064,1.0643501830278064,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-032,"xi=0, Lambda=2",0.80000000000000004,1.0651385840857055,1.0651385840857055,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-033,"xi=0, Lambda=2",0.82499999999999996,1.0658199347752784,1.0658199347752784,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-034,"xi=0, Lambda=2",0.84999999999999998,1.0663967743362093,1.0663967743362093,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-035,"xi=0, Lambda=2",0.875,1.0668719175420625,1.0668719175420625,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-036,"xi=0, Lambda=2",0.90000000000000002,1.067248416982135,1.067248416982135,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-037,"xi=0, Lambda=2",0.92500000000000004,1.0675295267854197,1.0675295267854197,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-038,"xi=0, Lambda=2",0.94999999999999996,1.0677186681335542,1.0677186681335542,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-039,"xi=0, Lambda=2",0.97499999999999998,1.0678193968081611,1.0678193968081611,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-040,"xi=0, Lambda=2",1,1.0678353729322576,1.0678353729322576,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-041,"xi=0, Lambda=2",1.0249999999999999,1.0677703329944443,1.0677703329944443,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-042,"xi=0, Lambda=2",1.05,1.0676280641869098,1.0676280641869098,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-043,"xi=0, Lambda=2",1.075,1.0674123810424023,1.0674123810424023,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-044,"xi=0, Lambda=2",1.1000000000000001,1.0671271043196449,1.0671271043196449,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-045,"xi=0, Lambda=2",1.125,1.0667760420597034,1.0667760420597034,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-046,"xi=0, Lambda=2",1.1499999999999999,1.0663629727161688,1.0663629727161688,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-047,"xi=0, Lambda=2",1.175,1.0658916302484263,1.0658916302484263,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-048,"xi=0, Lambda=2",1.2,1.0653656910586504,1.0653656910586504,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-049,"xi=0, Lambda=2",1.2250000000000001,1.064788762648508,1.064788762648508,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-050,"xi=0, Lambda=2",1.25,1.0641643738700479,1.0641643738700479,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-051,"xi=0, Lambda=2",1.2749999999999999,1.0634959666462178,1.0634959666462178,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-052,"xi=0, Lambda=2",1.3,1.0627868890392542,1.0627868890392542,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-053,"xi=0, Lambda=2",1.325,1.0620403895494008,1.0620403895494008,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-054,"xi=0, Lambda=2",1.3500000000000001,1.0612596125315803,1.0612596125315803,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-055,"xi=0, Lambda=2",1.375,1.0604475946234939,1.0604475946234939,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-056,"xi=0, Lambda=2",1.3999999999999999,1.059607262084858,1.059607262084858,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-057,"xi=0, Lambda=2",1.425,1.0587414289539387,1.0587414289539387,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-058,"xi=0, Lambda=2",1.45,1.0578527959340309,1.0578527959340309,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-059,"xi=0, Lambda=2",1.4750000000000001,1.0569439499289361,1.0569439499289361,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-060,"xi=0, Lambda=2",1.5,1.0560173641527444,1.0560173641527444,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-061,"xi=0, Lambda=2",1.5249999999999999,1.0550753987452341,1.0550753987452341,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-062,"xi=0, Lambda=2",1.55,1.0541203018299463,1.0541203018299463,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-063,"xi=0, Lambda=2",1.575,1.0531542109574208,1.0531542109574208,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-064,"xi=0, Lambda=2",1.6000000000000001,1.052179154881201,1.052179154881201,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-065,"xi=0, Lambda=2",1.625,1.0511970556189907,1.0511970556189907,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-066,"xi=0, Lambda=2",1.6499999999999999,1.0502097307558182,1.0502097307558182,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-067,"xi=0, Lambda=2",1.675,1.0492188959501916,1.0492188959501916,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-068,"xi=0, Lambda=2",1.7,1.0482261676080618,1.0482261676080618,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-069,"xi=0, Lambda=2",1.7250000000000001,1.0472330656929421,1.0472330656929421,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-070,"xi=0, Lambda=2",1.75,1.0462410166437763,1.0462410166437763,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-071,"xi=0, Lambda=2",1.7749999999999999,1.0452513563751302,1.0452513563751302,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-072,"xi=0, Lambda=2",1.8,1.0442653333370122,1.0442653333370122,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-073,"xi=0, Lambda=2",1.825,1.0432841116141214,1.0432841116141214,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-074,"xi=0, Lambda=2",1.8500000000000001,1.0423087740465997,1.0423087740465997,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-075,"xi=0, Lambda=2",1.875,1.0413403253564388,1.0413403253564388,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-076,"xi=0, Lambda=2",1.8999999999999999,1.0403796952655842,1.0403796952655842,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-077,"xi=0, Lambda=2",1.925,1.0394277415934872,1.0394277415934872,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-078,"xi=0, Lambda=2",1.95,1.0384852533234197,1.0384852533234197,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-079,"xi=0, Lambda=2",1.9750000000000001,1.0375529536282697,1.0375529536282697,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-080,"xi=0, Lambda=2",2,1.0366315028478179,1.0366315028478179,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-081,"xi=0, Lambda=2",2.0249999999999999,1.0357215014106462,1.0357215014106462,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-082,"xi=0, Lambda=2",2.0499999999999998,1.0348234926948694,1.0348234926948694,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-083,"xi=0, Lambda=2",2.0750000000000002,1.0339379658228212,1.0339379658228212,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-084,"xi=0, Lambda=2",2.1000000000000001,1.0330653583856695,1.0330653583856695,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-085,"xi=0, Lambda=2",2.125,1.0322060590946938,1.0322060590946938,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-086,"xi=0, Lambda=2",2.1499999999999999,1.0313604103566369,1.0313604103566369,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-087,"xi=0, Lambda=2",2.1749999999999998,1.0305287107711572,1.0305287107711572,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-088,"xi=0, Lambda=2",2.2000000000000002,1.0297112175489387,1.0297112175489387,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
B,exact-lift-up-energy-ratio,lift-0-2-089,"xi=0, Lambda=2",2.2250000000000001,1.0289081488495198,1.0289081488495198,0,2,,exp(-2*xi^2*d)*(1+Lambda^2*d^2*(exp(-2*d)+exp(-8*d))/8),exact diagnostic; counterexample when value > 1,closed formula; no PDE discretization
