panel,row_role,scale_index_or_cutoff_depth,backward_time_s,hardy_reference_s_minus_one_half,finite_chain_envelope_G_K,finest_scale_cap_r_K_minus_1,finest_radius_r_K,breakpoint_r_K_squared,epsilon,alpha,integrand_power_one_half_plus_two_alpha,truncated_hardy_integral,radius_r,fixed_amplitude_a,energy_E_a_squared_r,integrated_dissipation_D_a_squared_r,target_functional_scale_factor_T_n_a_fourth_r_minus_1,dual_Q_r_minus_3_E_squared,T_n_scale_factor_over_Q_scale_factor,Q_scale_factor_over_T_n_scale_factor
B,subcritical,17,,,,,,,7.62939453125e-06,0.14999999999999999,0.80000000000000004,4.5263385729654999,,,,,,,,
B,subcritical,18,,,,,,,3.814697265625e-06,0.14999999999999999,0.80000000000000004,4.587653777883471,,,,,,,,
B,subcritical,19,,,,,,,1.9073486328125e-06,0.14999999999999999,0.80000000000000004,4.6410317640634267,,,,,,,,
B,subcritical,20,,,,,,,9.5367431640625e-07,0.14999999999999999,0.80000000000000004,4.6875,,,,,,,,
B,subcritical,21,,,,,,,4.76837158203125e-07,0.14999999999999999,0.80000000000000004,4.7279529489699605,,,,,,,,
B,subcritical,22,,,,,,,2.384185791015625e-07,0.14999999999999999,0.80000000000000004,4.76316928648275,,,,,,,,
B,subcritical,23,,,,,,,1.1920928955078125e-07,0.14999999999999999,0.80000000000000004,4.7938268889417346,,,,,,,,
B,subcritical,24,,,,,,,5.9604644775390625e-08,0.14999999999999999,0.80000000000000004,4.8205158820317129,,,,,,,,
B,subcritical,25,,,,,,,2.9802322387695312e-08,0.14999999999999999,0.80000000000000004,4.84375,,,,,,,,
B,subcritical,26,,,,,,,1.4901161193847656e-08,0.14999999999999999,0.80000000000000004,4.8639764744849803,,,,,,,,
B,subcritical,27,,,,,,,7.4505805969238281e-09,0.14999999999999999,0.80000000000000004,4.881584643241375,,,,,,,,
B,subcritical,28,,,,,,,3.7252902984619141e-09,0.14999999999999999,0.80000000000000004,4.8969134444708677,,,,,,,,
B,subcritical,29,,,,,,,1.862645149230957e-09,0.14999999999999999,0.80000000000000004,4.910257941015856,,,,,,,,
B,subcritical,30,,,,,,,9.3132257461547852e-10,0.14999999999999999,0.80000000000000004,4.921875,,,,,,,,
B,subcritical,31,,,,,,,4.6566128730773926e-10,0.14999999999999999,0.80000000000000004,4.9319882372424901,,,,,,,,
B,subcritical,32,,,,,,,2.3283064365386963e-10,0.14999999999999999,0.80000000000000004,4.9407923216206875,,,,,,,,
B,critical,2,,,,,,,0.25,0.25,1,1.3862943611198906,,,,,,,,
B,critical,3,,,,,,,0.125,0.25,1,2.0794415416798357,,,,,,,,
B,critical,4,,,,,,,0.0625,0.25,1,2.7725887222397811,,,,,,,,
B,critical,5,,,,,,,0.03125,0.25,1,3.4657359027997265,,,,,,,,
B,critical,6,,,,,,,0.015625,0.25,1,4.1588830833596715,,,,,,,,
B,critical,7,,,,,,,0.0078125,0.25,1,4.8520302639196169,,,,,,,,
B,critical,8,,,,,,,0.00390625,0.25,1,5.5451774444795623,,,,,,,,
B,critical,9,,,,,,,0.001953125,0.25,1,6.2383246250395077,,,,,,,,
B,critical,10,,,,,,,0.0009765625,0.25,1,6.9314718055994531,,,,,,,,
B,critical,11,,,,,,,0.00048828125,0.25,1,7.6246189861593985,,,,,,,,
B,critical,12,,,,,,,0.000244140625,0.25,1,8.317766166719343,,,,,,,,
B,critical,13,,,,,,,0.0001220703125,0.25,1,9.0109133472792884,,,,,,,,
B,critical,14,,,,,,,6.103515625e-05,0.25,1,9.7040605278392338,,,,,,,,
B,critical,15,,,,,,,3.0517578125e-05,0.25,1,10.397207708399179,,,,,,,,
B,critical,16,,,,,,,1.52587890625e-05,0.25,1,11.090354888959125,,,,,,,,
B,critical,17,,,,,,,7.62939453125e-06,0.25,1,11.78350206951907,,,,,,,,
B,critical,18,,,,,,,3.814697265625e-06,0.25,1,12.476649250079015,,,,,,,,
B,critical,19,,,,,,,1.9073486328125e-06,0.25,1,13.169796430638961,,,,,,,,
B,critical,20,,,,,,,9.5367431640625e-07,0.25,1,13.862943611198906,,,,,,,,
B,critical,21,,,,,,,4.76837158203125e-07,0.25,1,14.556090791758852,,,,,,,,
B,critical,22,,,,,,,2.384185791015625e-07,0.25,1,15.249237972318797,,,,,,,,
B,critical,23,,,,,,,1.1920928955078125e-07,0.25,1,15.942385152878742,,,,,,,,
B,critical,24,,,,,,,5.9604644775390625e-08,0.25,1,16.635532333438686,,,,,,,,
B,critical,25,,,,,,,2.9802322387695312e-08,0.25,1,17.328679513998633,,,,,,,,
B,critical,26,,,,,,,1.4901161193847656e-08,0.25,1,18.021826694558577,,,,,,,,
B,critical,27,,,,,,,7.4505805969238281e-09,0.25,1,18.714973875118524,,,,,,,,
B,critical,28,,,,,,,3.7252902984619141e-09,0.25,1,19.408121055678468,,,,,,,,
B,critical,29,,,,,,,1.862645149230957e-09,0.25,1,20.101268236238415,,,,,,,,
B,critical,30,,,,,,,9.3132257461547852e-10,0.25,1,20.794415416798358,,,,,,,,
B,critical,31,,,,,,,4.6566128730773926e-10,0.25,1,21.487562597358306,,,,,,,,
B,critical,32,,,,,,,2.3283064365386963e-10,0.25,1,22.180709777918249,,,,,,,,
B,supercritical,2,,,,,,,0.25,0.34999999999999998,1.2,1.5975395538644714,,,,,,,,
B,supercritical,3,,,,,,,0.125,0.34999999999999998,1.2,2.5785828325519904,,,,,,,,
B,supercritical,4,,,,,,,0.0625,0.34999999999999998,1.2,3.7055056329612408,,,,,,,,
B,supercritical,5,,,,,,,0.03125,0.34999999999999998,1.2,5,,,,,,,,
B,supercritical,6,,,,,,,0.015625,0.34999999999999998,1.2,6.4869835499703505,,,,,,,,
B,supercritical,7,,,,,,,0.0078125,0.34999999999999998,1.2,8.195079107728942,,,,,,,,
B,supercritical,8,,,,,,,0.00390625,0.34999999999999998,1.2,10.15716566510398,,,,,,,,
B,supercritical,9,,,,,,,0.001953125,0.34999999999999998,1.2,12.411011265922481,,,,,,,,
B,supercritical,10,,,,,,,0.0009765625,0.34999999999999998,1.2,14.999999999999996,,,,,,,,
B,supercritical,11,,,,,,,0.00048828125,0.34999999999999998,1.2,17.973967099940698,,,,,,,,
B,supercritical,12,,,,,,,0.000244140625,0.34999999999999998,1.2,21.39015821545788,,,,,,,,
B,supercritical,13,,,,,,,0.0001220703125,0.34999999999999998,1.2,25.314331330207956,,,,,,,,
B,supercritical,14,,,,,,,6.103515625e-05,0.34999999999999998,1.2,29.822022531844958,,,,,,,,
B,supercritical,15,,,,,,,3.0517578125e-05,0.34999999999999998,1.2,34.999999999999993,,,,,,,,
B,supercritical,16,,,,,,,1.52587890625e-05,0.34999999999999998,1.2,40.947934199881388,,,,,,,,
B,supercritical,17,,,,,,,7.62939453125e-06,0.34999999999999998,1.2,47.780316430915754,,,,,,,,
B,supercritical,18,,,,,,,3.814697265625e-06,0.34999999999999998,1.2,55.628662660415905,,,,,,,,
B,supercritical,19,,,,,,,1.9073486328125e-06,0.34999999999999998,1.2,64.644045063689916,,,,,,,,
B,supercritical,20,,,,,,,9.5367431640625e-07,0.34999999999999998,1.2,74.999999999999957,,,,,,,,
B,supercritical,21,,,,,,,4.76837158203125e-07,0.34999999999999998,1.2,86.895868399762762,,,,,,,,
B,supercritical,22,,,,,,,2.384185791015625e-07,0.34999999999999998,1.2,100.56063286183149,,,,,,,,
B,supercritical,23,,,,,,,1.1920928955078125e-07,0.34999999999999998,1.2,116.2573253208318,,,,,,,,
B,supercritical,24,,,,,,,5.9604644775390625e-08,0.34999999999999998,1.2,134.28809012737977,,,,,,,,
B,supercritical,25,,,,,,,2.9802322387695312e-08,0.34999999999999998,1.2,154.99999999999991,,,,,,,,
B,supercritical,26,,,,,,,1.4901161193847656e-08,0.34999999999999998,1.2,178.79173679952547,,,,,,,,
B,supercritical,27,,,,,,,7.4505805969238281e-09,0.34999999999999998,1.2,206.12126572366293,,,,,,,,
B,supercritical,28,,,,,,,3.7252902984619141e-09,0.34999999999999998,1.2,237.51465064166356,,,,,,,,
B,supercritical,29,,,,,,,1.862645149230957e-09,0.34999999999999998,1.2,273.57618025475955,,,,,,,,
B,supercritical,30,,,,,,,9.3132257461547852e-10,0.34999999999999998,1.2,314.99999999999977,,,,,,,,
B,supercritical,31,,,,,,,4.6566128730773926e-10,0.34999999999999998,1.2,362.58347359905093,,,,,,,,
B,supercritical,32,,,,,,,2.3283064365386963e-10,0.34999999999999998,1.2,417.2425314473258,,,,,,,,
C,initial-boundary-scale-ledger,1,,,,,,,,,,,0.5,0.125,0.0078125,0.0078125,0.00048828125,0.00048828125,1,1
C,initial-boundary-scale-ledger,2,,,,,,,,,,,0.25,0.125,0.00390625,0.00390625,0.0009765625,0.0009765625,1,1
C,initial-boundary-scale-ledger,3,,,,,,,,,,,0.125,0.125,0.001953125,0.001953125,0.001953125,0.001953125,1,1
C,initial-boundary-scale-ledger,4,,,,,,,,,,,0.0625,0.125,0.0009765625,0.0009765625,0.00390625,0.00390625,1,1
C,initial-boundary-scale-ledger,5,,,,,,,,,,,0.03125,0.125,0.00048828125,0.00048828125,0.0078125,0.0078125,1,1
C,initial-boundary-scale-ledger,6,,,,,,,,,,,0.015625,0.125,0.000244140625,0.000244140625,0.015625,0.015625,1,1
C,initial-boundary-scale-ledger,7,,,,,,,,,,,0.0078125,0.125,0.0001220703125,0.0001220703125,0.03125,0.03125,1,1
C,initial-boundary-scale-ledger,8,,,,,,,,,,,0.00390625,0.125,6.103515625e-05,6.103515625e-05,0.0625,0.0625,1,1
C,initial-boundary-scale-ledger,9,,,,,,,,,,,0.001953125,0.125,3.0517578125e-05,3.0517578125e-05,0.125,0.125,1,1
C,initial-boundary-scale-ledger,10,,,,,,,,,,,0.0009765625,0.125,1.52587890625e-05,1.52587890625e-05,0.25,0.25,1,1
C,initial-boundary-scale-ledger,11,,,,,,,,,,,0.00048828125,0.125,7.62939453125e-06,7.62939453125e-06,0.5,0.5,1,1
C,initial-boundary-scale-ledger,12,,,,,,,,,,,0.000244140625,0.125,3.814697265625e-06,3.814697265625e-06,1,1,1,1
