recordType,mu,theta,value,aux,level
profile,1.0000000000000000e+00,5.2000000000000002e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.4000000000000004e-01,-3.3995237326401438e-02,-2.9477738258936204e-01,H
profile,1.0000000000000000e+00,5.4000000000000004e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.6000000000000005e-01,-3.7162246899747779e-02,-3.4907729651507441e-01,H
profile,1.0000000000000000e+00,5.6000000000000005e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.7999999999999996e-01,-3.9598267119866054e-02,-4.0293906929664947e-01,H
profile,1.0000000000000000e+00,5.7999999999999996e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,5.9999999999999998e-01,-4.1397548938955801e-02,-4.5633248368035234e-01,H
profile,1.0000000000000000e+00,5.9999999999999998e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,6.2000000000000000e-01,-4.2644756333762357e-02,-5.0923231141620162e-01,H
profile,1.0000000000000000e+00,6.2000000000000000e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,6.4000000000000001e-01,-4.3415724455755124e-02,-5.6161788018160408e-01,H
profile,1.0000000000000000e+00,6.4000000000000001e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,6.6000000000000003e-01,-4.3778188313327360e-02,-6.1347266641236053e-01,H
profile,1.0000000000000000e+00,6.6000000000000003e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,6.8000000000000005e-01,-4.3792477056477874e-02,-6.6478391362208433e-01,H
profile,1.0000000000000000e+00,6.8000000000000005e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,7.0000000000000007e-01,-4.3512170590081521e-02,-7.1554227559760830e-01,H
profile,1.0000000000000000e+00,7.0000000000000007e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,7.1999999999999997e-01,-4.2984716580186877e-02,-7.6574148370765482e-01,H
profile,1.0000000000000000e+00,7.1999999999999997e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,7.3999999999999999e-01,-4.2252006986999255e-02,-8.1537803744841675e-01,H
profile,1.0000000000000000e+00,7.3999999999999999e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,7.6000000000000001e-01,-4.1350914100627641e-02,-8.6445091726704770e-01,H
profile,1.0000000000000000e+00,7.6000000000000001e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,7.8000000000000003e-01,-4.0313786708180338e-02,-9.1296131864745012e-01,H
profile,1.0000000000000000e+00,7.8000000000000003e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,8.0000000000000004e-01,-3.9168907515339892e-02,-9.6091240640785935e-01,H
profile,1.0000000000000000e+00,8.0000000000000004e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,8.2000000000000006e-01,-3.7940913309643519e-02,-1.0083090881427090e+00,H
profile,1.0000000000000000e+00,8.2000000000000006e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,8.3999999999999997e-01,-3.6651179609906485e-02,-1.0551578057390050e+00,H
profile,1.0000000000000000e+00,8.3999999999999997e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,8.5999999999999999e-01,-3.5318171716609760e-02,-1.1014663439070789e+00,H
profile,1.0000000000000000e+00,8.5999999999999999e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,8.8000000000000000e-01,-3.3957764178615027e-02,-1.1472436546846925e+00,H
profile,1.0000000000000000e+00,8.8000000000000000e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,9.0000000000000002e-01,-3.2583530736579804e-02,-1.1924996969001354e+00,H
profile,1.0000000000000000e+00,9.0000000000000002e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,9.2000000000000004e-01,-3.1207006804894348e-02,-1.2372452896122963e+00,H
profile,1.0000000000000000e+00,9.2000000000000004e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,9.4000000000000006e-01,-2.9837926521824508e-02,-1.2814919785823502e+00,H
profile,1.0000000000000000e+00,9.4000000000000006e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,9.5999999999999996e-01,-2.8484436340063903e-02,-1.3252519148714457e+00,H
profile,1.0000000000000000e+00,9.5999999999999996e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,9.7999999999999998e-01,-2.7153287053849569e-02,-1.3685377447005056e+00,H
profile,1.0000000000000000e+00,9.7999999999999998e-01,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.0000000000000000e+00,-2.5850006069700976e-02,-1.4113625097512230e+00,H
profile,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.0200000000000000e+00,-2.4579051630167624e-02,-1.4537395571307787e+00,H
profile,1.0000000000000000e+00,1.0200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.0400000000000000e+00,-2.3343950597292031e-02,-1.4956824582662007e+00,H
profile,1.0000000000000000e+00,1.0400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.0600000000000001e+00,-2.2147421297640319e-02,-1.5372049360371109e+00,H
profile,1.0000000000000000e+00,1.0600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.0800000000000001e+00,-2.0991482825934930e-02,-1.5783207994976083e+00,H
profile,1.0000000000000000e+00,1.0800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.1000000000000001e+00,-1.9877552101236175e-02,-1.6190438855788492e+00,H
profile,1.0000000000000000e+00,1.1000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.1200000000000001e+00,-1.8806529869534974e-02,-1.6593880072032816e+00,H
profile,1.0000000000000000e+00,1.1200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.1400000000000001e+00,-1.7778876750466487e-02,-1.6993669072794486e+00,H
profile,1.0000000000000000e+00,1.1400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.1599999999999999e+00,-1.6794680334277185e-02,-1.7389942180824909e+00,H
profile,1.0000000000000000e+00,1.1599999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.1799999999999999e+00,-1.5853714248598657e-02,-1.7782834255600606e+00,H
profile,1.0000000000000000e+00,1.1799999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.2000000000000000e+00,-1.4955490033238863e-02,-1.8172478381361321e+00,H
profile,1.0000000000000000e+00,1.2000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.2200000000000000e+00,-1.4099302585193825e-02,-1.8559005596162654e+00,H
profile,1.0000000000000000e+00,1.2200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.2400000000000000e+00,-1.3284269865398881e-02,-1.8942544658272107e+00,H
profile,1.0000000000000000e+00,1.2400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.2600000000000000e+00,-1.2509367493279099e-02,-1.9323221846512131e+00,H
profile,1.0000000000000000e+00,1.2600000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.2800000000000000e+00,-1.1773458794768366e-02,-1.9701160791414032e+00,H
profile,1.0000000000000000e+00,1.2800000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.3000000000000000e+00,-1.1075320813936820e-02,-2.0076482334288519e+00,H
profile,1.0000000000000000e+00,1.3000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.3200000000000001e+00,-1.0413666747463565e-02,-2.0449304411545883e+00,H
profile,1.0000000000000000e+00,1.3200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.3400000000000001e+00,-9.7871652146584234e-03,-2.0819741961810805e+00,H
profile,1.0000000000000000e+00,1.3400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.3600000000000001e+00,-9.1944567333060185e-03,-2.1187906853574425e+00,H
profile,1.0000000000000000e+00,1.3600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.3800000000000001e+00,-8.6341677330058937e-03,-2.1553907831309815e+00,H
profile,1.0000000000000000e+00,1.3800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.4000000000000001e+00,-8.1049224026443507e-03,-2.1917850478148542e+00,H
profile,1.0000000000000000e+00,1.4000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.4199999999999999e+00,-7.6053526368917244e-03,-2.2279837193373964e+00,H
profile,1.0000000000000000e+00,1.4199999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.4399999999999999e+00,-7.1341063179177037e-03,-2.2639967183134622e+00,H
profile,1.0000000000000000e+00,1.4399999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.4600000000000000e+00,-6.6898541426111792e-03,-2.2998336462916660e+00,H
profile,1.0000000000000000e+00,1.4600000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.4800000000000000e+00,-6.2712951822470600e-03,-2.3355037870440722e+00,H
profile,1.0000000000000000e+00,1.4800000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.5000000000000000e+00,-5.8771613405407186e-03,-2.3710161087764878e+00,H
profile,1.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.5200000000000000e+00,-5.5062208571646830e-03,-2.4063792671482926e+00,H
profile,1.0000000000000000e+00,1.5200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.5400000000000000e+00,-5.1572809868793866e-03,-2.4416016090006050e+00,H
profile,1.0000000000000000e+00,1.5400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.5600000000000001e+00,-4.8291899692717820e-03,-2.4766911767007724e+00,H
profile,1.0000000000000000e+00,1.5600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.5800000000000001e+00,-4.5208383905365156e-03,-2.5116557130195565e+00,H
profile,1.0000000000000000e+00,1.5800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.6000000000000001e+00,-4.2311600266219818e-03,-2.5465026664651469e+00,H
profile,1.0000000000000000e+00,1.6000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.6200000000000001e+00,-3.9591322462574690e-03,-2.5812391970051949e+00,H
profile,1.0000000000000000e+00,1.6200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.6400000000000001e+00,-3.7037760427498828e-03,-2.6158721821146798e+00,H
profile,1.0000000000000000e+00,1.6400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.6600000000000001e+00,-3.4641557548709904e-03,-2.6504082230933461e+00,H
profile,1.0000000000000000e+00,1.6600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.6799999999999999e+00,-3.2393785295425880e-03,-2.6848536516019896e+00,H
profile,1.0000000000000000e+00,1.6799999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.7000000000000000e+00,-3.0285935722693617e-03,-2.7192145363719096e+00,H
profile,1.0000000000000000e+00,1.7000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.7200000000000000e+00,-2.8309912252795469e-03,-2.7534966900464117e+00,H
profile,1.0000000000000000e+00,1.7200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.7400000000000000e+00,-2.6458019080313495e-03,-2.7877056761175871e+00,H
profile,1.0000000000000000e+00,1.7400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.7600000000000000e+00,-2.4722949500560038e-03,-2.8218468159253058e+00,H
profile,1.0000000000000000e+00,1.7600000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.7800000000000000e+00,-2.3097773419709007e-03,-2.8559251956890201e+00,H
profile,1.0000000000000000e+00,1.7800000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.8000000000000000e+00,-2.1575924268491327e-03,-2.8899456735461411e+00,H
profile,1.0000000000000000e+00,1.8000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.8200000000000001e+00,-2.0151185509218934e-03,-2.9239128865736657e+00,H
profile,1.0000000000000000e+00,1.8200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.8400000000000001e+00,-1.8817676897696983e-03,-2.9578312577724915e+00,H
profile,1.0000000000000000e+00,1.8400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.8600000000000001e+00,-1.7569840636839588e-03,-2.9917050029962113e+00,H
profile,1.0000000000000000e+00,1.8600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.8800000000000001e+00,-1.6402427537138425e-03,-3.0255381378084554e+00,H
profile,1.0000000000000000e+00,1.8800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.9000000000000001e+00,-1.5310483280196300e-03,-3.0593344842548493e+00,H
profile,1.0000000000000000e+00,1.9000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.9199999999999999e+00,-1.4289334865021477e-03,-3.0930976775375005e+00,H
profile,1.0000000000000000e+00,1.9199999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.9399999999999999e+00,-1.3334577302404509e-03,-3.1268311725815723e+00,H
profile,1.0000000000000000e+00,1.9399999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.9600000000000000e+00,-1.2442060610221078e-03,-3.1605382504849957e+00,H
profile,1.0000000000000000e+00,1.9600000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,1.9800000000000000e+00,-1.1607877151699659e-03,-3.1942220248438185e+00,H
profile,1.0000000000000000e+00,1.9800000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0000000000000000e+00,-1.0828349349365116e-03,-3.2278854479468047e+00,H
profile,1.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0200000000000000e+00,-1.0100017799342940e-03,-3.2615313168341094e+00,H
profile,1.0000000000000000e+00,2.0200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0400000000000000e+00,-9.4196298038271291e-04,-3.2951622792157886e+00,H
profile,1.0000000000000000e+00,2.0400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0600000000000001e+00,-8.7841283336391343e-04,-3.3287808392468969e+00,H
profile,1.0000000000000000e+00,2.0600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.0800000000000001e+00,-8.1906414278114952e-04,-3.3623893631565576e+00,H
profile,1.0000000000000000e+00,2.0800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.1000000000000001e+00,-7.6364720329099873e-04,-3.3959900847293940e+00,H
profile,1.0000000000000000e+00,2.1000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.1200000000000001e+00,-7.1190882812625510e-04,-3.4295851106380928e+00,H
profile,1.0000000000000000e+00,2.1200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.1400000000000001e+00,-6.6361142043085022e-04,-3.4631764256265916e+00,H
profile,1.0000000000000000e+00,2.1400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.1600000000000001e+00,-6.1853208748398846e-04,-3.4967658975439000e+00,H
profile,1.0000000000000000e+00,2.1600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.1800000000000002e+00,-5.7646179699113564e-04,-3.5303552822289714e+00,H
profile,1.0000000000000000e+00,2.1800000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.2000000000000002e+00,-5.3720457445866759e-04,-3.5639462282474796e+00,H
profile,1.0000000000000000e+00,2.2000000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.2200000000000002e+00,-5.0057674054159026e-04,-3.5975402814817343e+00,H
profile,1.0000000000000000e+00,2.2200000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.2400000000000002e+00,-4.6640618715517926e-04,-3.6311388895752001e+00,H
profile,1.0000000000000000e+00,2.2400000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.2600000000000002e+00,-4.3453169106762586e-04,-3.6647434062334745e+00,H
profile,1.0000000000000000e+00,2.2600000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.2800000000000002e+00,-4.0480226363820659e-04,-3.6983550953837590e+00,H
profile,1.0000000000000000e+00,2.2800000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3000000000000003e+00,-3.7707653533100935e-04,-3.7319751351950137e+00,H
profile,1.0000000000000000e+00,2.3000000000000003e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3199999999999998e+00,-3.5122217361513160e-04,-3.7656046219612711e+00,H
profile,1.0000000000000000e+00,2.3199999999999998e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3399999999999999e+00,-3.2711533285606330e-04,-3.7992445738506717e+00,H
profile,1.0000000000000000e+00,2.3399999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3599999999999999e+00,-3.0464013480764677e-04,-3.8328959345228819e+00,H
profile,1.0000000000000000e+00,2.3599999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3799999999999999e+00,-2.8368817832768220e-04,-3.8665595766177376e+00,H
profile,1.0000000000000000e+00,2.3799999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.3999999999999999e+00,-2.6415807696139642e-04,-3.9002363051179665e+00,H
profile,1.0000000000000000e+00,2.3999999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.4199999999999999e+00,-2.4595502306417889e-04,-3.9339268605889508e+00,H
profile,1.0000000000000000e+00,2.4199999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.4399999999999999e+00,-2.2899037716705853e-04,-3.9676319222985414e+00,H
profile,1.0000000000000000e+00,2.4399999999999999e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.4600000000000000e+00,-2.1318128132429327e-04,-4.0013521112199246e+00,H
profile,1.0000000000000000e+00,2.4600000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.4800000000000000e+00,-1.9845029522130782e-04,-4.0350879929206380e+00,H
profile,1.0000000000000000e+00,2.4800000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.5000000000000000e+00,-1.8472505386225426e-04,-4.0688400803407720e+00,H
profile,1.0000000000000000e+00,2.5000000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.5200000000000000e+00,-1.7193794569906015e-04,-4.1026088364634674e+00,H
profile,1.0000000000000000e+00,2.5200000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.5400000000000000e+00,-1.6002581010739596e-04,-4.1363946768807063e+00,H
profile,1.0000000000000000e+00,2.5400000000000000e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.5600000000000001e+00,-1.4892965315908531e-04,-4.1701979722575331e+00,H
profile,1.0000000000000000e+00,2.5600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.5800000000000001e+00,-1.3859438068468047e-04,-4.2040190506976298e+00,H
profile,1.0000000000000000e+00,2.5800000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.6000000000000001e+00,-1.2896854766392940e-04,-4.2378582000133225e+00,H
profile,1.0000000000000000e+00,2.6000000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.6200000000000001e+00,-1.2000412302536438e-04,-4.2717156699029148e+00,H
profile,1.0000000000000000e+00,2.6200000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.6400000000000001e+00,-1.1165626897904519e-04,-4.3055916740383164e+00,H
profile,1.0000000000000000e+00,2.6400000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.6600000000000001e+00,-1.0388313404839102e-04,-4.3394863920658162e+00,H
profile,1.0000000000000000e+00,2.6600000000000001e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.6800000000000002e+00,-9.6645659007896966e-05,-4.3733999715227974e+00,H
profile,1.0000000000000000e+00,2.6800000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.7000000000000002e+00,-8.9907394973238027e-05,-4.4073325296732291e+00,H
profile,1.0000000000000000e+00,2.7000000000000002e+00,0.0000000000000000e+00,nan,qRelative
profile,1.0000000000000000e+00,2.7200000000000002e+00,-8.3634332928720636e-05,-4.4412841552646487e+00,H
profile,1.0000000000000000e+00,2.7200000000000002e+00,0.0000000000000000e+00,nan,qRelative
