r,M,q,m,S4Lower,S4Upper,S4Center,S4OverMLower,S4OverMUpper,S4OverMCenter,signCertified,tailBound,relativeTail,absoluteBlockRatioLower,absoluteBlockRatioUpper,absoluteBlockRatioCenter,classification
11,17592186044416,2345624805922,2345624805923,1.4463604047195664485562635873339492E+11,1.4463604047195664485562637432136947E+11,144636040471.956644855626366527382195,0.00822160703091621171868305047686333864476182498037815093994141,0.00822160703091621171868305136293710518202715320512652397155762,0.00822160703091621171868305091990022191339448909275233745574951,positive,7.7939872714075533515038495483411528E-15,5.3886896004448647180607322510463877E-26,1.4291524512036410252428117448060912E+1,1.4291524512036410252428119074299211E+1,14.2915245120364102524281182611800615,exact rational interval at a specified finite scale
12,281474976710656,37529996894754,37529996894755,1.7319272415636462437589251511062783E+12,1.7319272415636462437589291416277613E+12,1731927241563.6462437589271463670198,0.00615304160179038548420367203244395533090482786064967513084412,0.00615304160179038548420368620962421353226545761572197079658508,0.00615304160179038548420367912103408443158514273818582296371460,positive,1.9952607414803336579849854843753351E-12,1.1520465141935988335344844626214989E-24,1.1974382290280188491192487483376857E+1,1.1974382290280188491192516363992198E+1,11.9743822902801884911925019236845275,exact rational interval at a specified finite scale
13,4503599627370496,600479950316066,600479950316067,1.4822826280307960786776788586099540E+13,1.4822826280307960786777810159599178E+13,14822826280307.960786777299372849359,0.00329132860528335253453331179198649625305961308185942471027374,0.00329132860528335253453353862687062525438363991270307451486588,0.00329132860528335253453342520942856075372162649728124961256981,positive,5.1078674981896541644415628400008579E-10,3.4459470829631368431279598766446590E-23,8.5585733191224475252179662892119882E+0,8.5585733191224475252185758567763729E+0,8.55857331912244752521827107299418055,exact rational interval at a specified finite scale
14,72057594037927936,9607679205057058,9607679205057059,-1.0830604719172654522086095657539263E+14,-1.0830604719172654522059943375948532E+14,-108306047191726.545220730195167438975,-0.00150304834122991983231894192706557852878823666742391651496291,-0.00150304834122991983231531256891951475740398791458574123680592,-0.00150304834122991983231712724799254664309611229100482887588441,negative,1.3076140795365514660970400870402196E-7,1.2073324744478714318787583831661686E-21,7.3067069088983727880659092237972899E+0,7.3067069088983727880840560433692369E+0,7.3067069088983727880749826335832634,exact rational interval at a specified finite scale
15,1152921504606846976,153722867280912930,153722867280912931,-1.0166737030369362801514986819968503E+16,-1.0166737030369362801448036979096232E+16,-10166737030369362.8014815118995323675,-0.00881823870033223121543251405218865387330984262348465563263744,-0.00881823870033223121537444432185163384341208825389912817627192,-0.00881823870033223121540347918702014385836096543869189190445468,negative,3.3474920436135717532084226228229622E-5,3.2925923367686000237225392702181099E-21,9.3870446701576195067075713620775334E+1,9.3870446701576195067920533525080126E+1,93.870446701576195067498123572927730,exact rational interval at a specified finite scale
16,18446744073709551616,2459565876494606882,2459565876494606883,-3.7787988349236304107630695510384793E+17,-3.7787988349236304105916779584054645E+17,-377879883492363041.06773737547219719,-0.0204849095310494656752609571783497463071457844741019016510108,-0.0204849095310494656743318414929574201909304176361104055104079,-0.0204849095310494656747963993356535832490381010551061535807094,negative,8.5695796316507436882135619144267833E-3,2.2678051957809326041244716713736561E-20,3.7168255888156327176772907069579626E+1,3.7168255888156327178703474175021945E+1,37.1682558881563271777381906223007855,exact rational interval at a specified finite scale
17,295147905179352825856,39353054023913710114,39353054023913710115,-1.1421929141179523387807819925233115E+19,-1.1421929141179523383420195153827934E+19,-11421929141179523385.6140075395305245,-0.0386990012151322848185863519992181698114574323055236959589820,-0.0386990012151322848037205010329409447691721701811928824099596,-0.0386990012151322848111534265160795572903148012433582891844708,negative,2.1938123857025903841826718500932565E+0,1.9207021498612090618578572539533406E-19,3.0226348742404967866407111397291559E+1,3.0226348742404967879389223414240183E+1,30.226348742404967872898167405765871,exact rational interval at a specified finite scale
18,4722366482869645213696,629648864382619361826,629648864382619361827,-3.1840957972281673471493754795630094E+20,-3.1840957972281673359170560647657467E+20,-318409579722816734153.321577216437805,-0.0674258511866551415081562791415694392731304367127886933985792,-0.0674258511866551412703026636811338525726098724194512712415417,-0.0674258511866551413892294714113516459228701545661199823200604,negative,5.6161597073986313835076399362387367E+2,1.7638161867766776029626948553672331E-18,2.7877040365699126767433336150513865E+1,2.7877040365699126876481984495840973E+1,27.877040365699126821957660323177419,exact rational interval at a specified finite scale
19,75557863725914323419136,10074381830121909789218,10074381830121909789219,-8.5012043807461943841423358078983846E+21,-8.5012043807461940965949587890884577E+21,-8501204380746194240368.64729849342115,-0.112512503153665910074184353339943654615915751612126305403194,-0.112512503153665906268526505972974243849482877408499370552875,-0.112512503153665908171355429656458949232699314510312837978034,negative,1.4377368850940496341779558236771166E+5,1.6912155274731227031101080627735808E-17,2.6698959208911675301458532827038856E+1,2.6698959208911676298716533302235095E+1,26.6989592089116758000875330646369755,exact rational interval at a specified finite scale
20,1208925819614629174706176,161190109281950556627490,161190109281950556627491,-2.2176684672144552567093705121165822E+23,-2.2176684672144545205880853439631695E+23,-221766846721445488864872.792803987585,-0.183441236114998707055072523460255170083520938231584629374282,-0.183441236114998646164546965588744611386356996843207539660270,-0.183441236114998676609809744524499890734938967537396084517276,negative,3.6806064258407670634955669086134185E+7,1.6596738783339709572216471183082820E-16,2.6086521013858960602527702760966644E+1,2.6086521013858970143909791351198679E+1,26.0865210138589653732187470560826615,exact rational interval at a specified finite scale
21,19342813113834066795298816,2579041748511208906039842,2579041748511208906039843,-5.7041765660070723147645888095722239E+24,-5.7041765660070534700596885048448588E+24,-5704176566007062892412138.65720854135,-0.294899016623772248563131057370919690567918445123338135743785,-0.294899016623771274314722131426750752447271148600589293908847,-0.294899016623771761438926594398835221507594796861963714826316,negative,9.4223524501523636825486512860503513E+9,1.6518339397667054889600273846290113E-15,2.5721502786987331599851226895328491E+1,2.5721502786987425113015055006118516E+1,25.7215027869873783564331409507235035,exact rational interval at a specified finite scale
22,309485009821345068724781056,41264667976179342496637474,41264667976179342496637475,-1.4550072310432289423220056131106832E+26,-1.4550072310431806998774608330086286E+26,-145500723104320482109973322.30596559,-0.470138192438837023777715917069479477451445689333573221824203,-0.470138192438821435803173101962776485615664844567072140277264,-0.470138192438829229790444509516127981533555266950322681050733,negative,2.4121222272390051027324547292288899E+12,1.6578077247833140264066741777762102E-14,2.5507752332107187990280777538482250E+1,2.5507752332108117998399996769201281E+1,25.5077523321076529943403871538417655,exact rational interval at a specified finite scale
23,4951760157141521099596496896,660234687618869479946199586,660234687618869479946199587,-3.6919670200516113839916527187842732E+27,-3.6919670200503763774113063481716741E+27,-3691967020050993880701479533.47797365,-0.745586802043913113524767689102753060704686411824645617379276,-0.745586802043663705932082647395504920721347968544738584188887,-0.745586802043788409728425168249128990713017190184692100784081,negative,6.1750329017318530629950841068259582E+14,1.6725590635548425851436750209657735E-13,2.5374217675902988815961037557642100E+1,2.5374217675912318102993397185801912E+1,25.374217675907653459477217371722006,exact rational interval at a specified finite scale
24,79228162514264337593543950336,10563755001901911679139193378,10563755001901911679139193379,-9.3378484498083589370903683255543991E+28,-9.3378484497767427686335012378718643E+28,-93378484497925508528619347817.131317,-1.17860217294919101635699236510753388144912556156246025779383,-1.17860217294520049487403169779156391434603931346562767704101,-1.17860217294719575561551203144954889789758243751404396741742,negative,1.5808084228433543841267415313474453E+17,1.6929043465879696734801273403457549E-12,2.5292339826064333322112025566268198E+1,2.5292339826158428932608967846980647E+1,25.2923398261113811273604967066244225,exact rational interval at a specified finite scale
