panel,series,case,component,N,x,y,value,unit,formula,evidenceClass,note
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,4,4,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,4,4,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,4,4,0.19634954084936207,0.19634954084936207,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,8,8,8,8,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,8,8,7.8769230769230774,7.8769230769230774,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,8,8,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,8,8,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,8,8,0.049087385212340517,0.049087385212340517,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,16,16,16,16,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,16,16,15.937743190661479,15.937743190661479,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,16,16,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,16,16,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,16,16,0.012271846303085129,0.012271846303085129,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,32,32,32,32,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,32,32,31.968780487804878,31.968780487804878,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,32,32,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,32,32,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,32,32,0.0030679615757712823,0.0030679615757712823,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,hardEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,64,64,64,64,positive entry mass,N,exact abstract Hilbert-path separation; not NSE,"distinct entry-time count; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,softEntryMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,64,64,63.98437881376617,63.98437881376617,positive entry mass,N/(1+N^(-2)),exact abstract Hilbert-path separation; not NSE,"epsilon_N=N^(-4); plotted data, not a separate claim; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,ordinaryTimeBudget,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,64,64,6.2831853071795862,6.2831853071795862,time integral,2*pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) 1 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,CtSquareMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,64,64,3.1415926535897931,3.1415926535897931,time integral,pi,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) ||C_(N,t)||^2 dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
C,denominatorMass,"C_N=N^(-1) sin(Nt)e on [0,2*pi)",,64,64,0.00076699039394282058,0.00076699039394282058,time integral,pi/N^2,exact abstract Hilbert-path separation; not NSE,"integral_0^(2*pi) d_N dt; left endpoint included, right endpoint excluded; exactly N positive atoms"
D,targetMode,filtered Lamb field,"(-1,-1,0)",,-1,-1,0.25,Fourier coefficient magnitude,|F_hat(k)|=1/4,exact NSE initial jet; standalone FFT cross-check,one of four exact target modes
D,targetMode,filtered Lamb field,"(-1,1,0)",,-1,1,0.25,Fourier coefficient magnitude,|F_hat(k)|=1/4,exact NSE initial jet; standalone FFT cross-check,one of four exact target modes
D,targetMode,filtered Lamb field,"(1,-1,0)",,1,-1,0.25,Fourier coefficient magnitude,|F_hat(k)|=1/4,exact NSE initial jet; standalone FFT cross-check,one of four exact target modes
D,targetMode,filtered Lamb field,"(1,1,0)",,1,1,0.25,Fourier coefficient magnitude,|F_hat(k)|=1/4,exact NSE initial jet; standalone FFT cross-check,one of four exact target modes
D,nseMetric,one-sided initial jet,Y0,,0,0,1,exact normalized scalar,||omega_0||_2^2,exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,F2,,1,0,0.25,exact normalized scalar,||F(0)||_2^2,exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,c2,,2,0,1,exact normalized scalar,||c||_2^2,exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,pairing,,3,0,0.5,exact normalized scalar,"<F(0),c>",exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,entryAtom,,4,0,0.25,exact normalized scalar,A_plus,exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,projectionBudget,,5,0,0.25,exact normalized scalar,||F||_2^2/Y,exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,nseMetric,one-sided initial jet,sharpnessRatio,,6,0,1,exact normalized scalar,A_plus/(||F||_2^2/Y),exact NSE initial jet; standalone FFT cross-check,exact Fourier result and standalone order-32 FFT cross-check
D,claimBoundary,one-sided initial jet,scope,,0,0,0,,,exact NSE initial jet; standalone FFT cross-check,One-sided initial jet only; no internal or repeated NSE face construction.
