panel,recordKind,series,evidenceClass,windowId,endpointExpression,endpoint,endpointRole,N,quadratureOrder,Lambda,x,y,finiteAction,finiteAverageRate,finiteWkbCorrection,residualLogGainMinusLambdaAction,residualMinusWkb,sourcePath,sourceSha256,sourceRowKey,note
A,inherited-rate-reference,r=0.17035 reference,analytic-reference-threshold,,,,,,,,all-windows,0.17035,,,,,,research/r073h_problem_freeze.md,d9248efda2f0e0f06adc55bd240c7d7024f9de0f8667b657fda5aaf217299524,r=alpha+eta>0.17035,reference threshold only; the theorem rate is strictly greater than 0.17035
B,finite-residual-minus-wkb,explicit-pilot,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,10000,10000,2.9194213491172134e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00015051224131529262,2.9194213491172134e-05,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=explicit-pilot;N=48;Lambda=10000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,explicit-pilot,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,50000,50000,1.8210103549291541e-05,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00016149635125717321,1.8210103549291541e-05,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=explicit-pilot;N=48;Lambda=50000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,explicit-pilot,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,100000,100000,9.8840341148304155e-06,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00016982242069163433,9.8840341148304155e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=explicit-pilot;N=48;Lambda=100000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,explicit-pilot,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,500000,500000,1.7292582029576685e-06,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00017797719660350708,1.7292582029576685e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=explicit-pilot;N=48;Lambda=500000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,explicit-pilot,finite-binary64-galerkin-diagnostic-only,explicit-pilot,1e-4,0.0001,explicit finite pilot; not a theorem endpoint,48,64,1000000,1000000,8.6423461597540758e-07,1.7039125194755544e-05,0.17039125194755542,-0.00017970645480646475,-0.00017884222019048934,8.6423461597540758e-07,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=explicit-pilot;N=48;Lambda=1000000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,analytic-upper-bound,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,10000,10000,0.00010069835378918954,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0013879487774002275,0.00010069835378918954,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=analytic-upper-bound;N=48;Lambda=10000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,analytic-upper-bound,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,50000,50000,1.7373148097647208e-05,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014712739830917698,1.7373148097647208e-05,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=analytic-upper-bound;N=48;Lambda=50000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,analytic-upper-bound,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,100000,100000,8.646681992367268e-06,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014800004491970498,8.646681992367268e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=analytic-upper-bound;N=48;Lambda=100000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,analytic-upper-bound,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,500000,500000,1.7295618659077597e-06,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014869175693235093,1.7295618659077597e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=analytic-upper-bound;N=48;Lambda=500000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,analytic-upper-bound,finite-binary64-galerkin-diagnostic-only,analytic-upper-bound,sqrt(19/180)/392,0.00082880904292593235,finite route diagnostic at a strict analytic upper bound for d0; not d0,48,64,1000000,1000000,8.6479680989990509e-07,0.00014112087459740226,0.17026946774036794,-0.001488647131189417,-0.0014877823343795171,8.6479680989990509e-07,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=analytic-upper-bound;N=48;Lambda=1000000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,one-over-450,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,10000,10000,8.1758105325676483e-05,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,-0.0039056553362972757,8.1758105325676483e-05,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=one-over-450;N=48;Lambda=10000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,one-over-450,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,50000,50000,1.7311301450381039e-05,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,-0.0039701021401725711,1.7311301450381039e-05,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=one-over-450;N=48;Lambda=50000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,one-over-450,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,100000,100000,8.6572226670154906e-06,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,-0.0039787562189559367,8.6572226670154906e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=one-over-450;N=48;Lambda=100000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,one-over-450,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,500000,500000,1.7316971557233829e-06,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,-0.0039856817444672288,1.7316971557233829e-06,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=one-over-450;N=48;Lambda=500000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,finite-residual-minus-wkb,one-over-450,finite-binary64-galerkin-diagnostic-only,one-over-450,1/450,0.0022222222222222222,legacy finite comparison; not the currently known theorem endpoint D=d0,48,64,1000000,1000000,8.6586442398992047e-07,0.00037786035537770328,0.17003715991996649,-0.0039874134416229522,-0.0039865475771989622,8.6586442398992047e-07,experiments/r073i/gain_rows.csv,31264adf77ebad06c82ff49a904128a44bf7ddfe07accee869bc5e669d336151,gridKind=primary;windowId=one-over-450;N=48;Lambda=1000000,finite diagnostic only; approach to C_N is not an asymptotic theorem
B,visual-slope-guide,Lambda^-1 guide,visual-guide-only,,,,,,,200000,200000,3.0000000000000001e-05,,,,,,figures/r073i/fig-r073i-action-boundary/config.json,d798d1be69aaa4c0c708fd083bad3321e85399bfa4174d0e016f4c981f29f061,panelB.inverseLambdaGuideConstant/range,"visual slope guide only; not a fit, error bound, or proof"
B,visual-slope-guide,Lambda^-1 guide,visual-guide-only,,,,,,,1000000,1000000,6.0000000000000002e-06,,,,,,figures/r073i/fig-r073i-action-boundary/config.json,d798d1be69aaa4c0c708fd083bad3321e85399bfa4174d0e016f4c981f29f061,panelB.inverseLambdaGuideConstant/range,"visual slope guide only; not a fit, error bound, or proof"
