panel,sample_index,n,J,s,r_exp_minus_s,energy_over_pi_cubed,D32_lower_bound_frequency_factor,l2_partial_sum,l2_partial_sum_exact,l2_limit_exact,lacunary_unit_term,lacunary_partial_lower_sum,Pi_s,centered_S_s,D_s,Q_s_magnitude,div_Q_s,normalization,analytic_formula,claim_qualifier
A,19,19,,,,6,19,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,20,20,,,,6,20,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,21,21,,,,6,21,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,22,22,,,,6,22,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,23,23,,,,6,23,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,24,24,,,,6,24,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,25,25,,,,6,25,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,26,26,,,,6,26,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,27,27,,,,6,27,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,28,28,,,,6,28,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,29,29,,,,6,29,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,30,30,,,,6,30,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,31,31,,,,6,31,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,32,32,,,,6,32,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,33,33,,,,6,33,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,34,34,,,,6,34,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,35,35,,,,6,35,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,36,36,,,,6,36,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,37,37,,,,6,37,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,38,38,,,,6,38,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,39,39,,,,6,39,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,40,40,,,,6,40,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,41,41,,,,6,41,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,42,42,,,,6,42,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,43,43,,,,6,43,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,44,44,,,,6,44,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,45,45,,,,6,45,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,46,46,,,,6,46,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,47,47,,,,6,47,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,48,48,,,,6,48,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,49,49,,,,6,49,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,50,50,,,,6,50,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,51,51,,,,6,51,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,52,52,,,,6,52,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,53,53,,,,6,53,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,54,54,,,,6,54,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,55,55,,,,6,55,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,56,56,,,,6,56,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,57,57,,,,6,57,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,58,58,,,,6,58,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,59,59,,,,6,59,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,60,60,,,,6,60,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,61,61,,,,6,61,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,62,62,,,,6,62,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,63,63,,,,6,63,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
A,64,64,,,,6,64,,,,,,,,,,,energy divided by pi^3; fixed geometry constant c suppressed,E_n/pi^3=6; lower-bound factor in c*n equals n,normalized analytic consequence; finite rows do not prove the quantified bound; NOT CLAY
B,1,,1,,,,,0.25,1/4,1/3,1,1,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,2,,2,,,,,0.3125,5/16,1/3,1,2,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,3,,3,,,,,0.328125,21/64,1/3,1,3,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,4,,4,,,,,0.33203125,85/256,1/3,1,4,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,5,,5,,,,,0.3330078125,341/1024,1/3,1,5,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,6,,6,,,,,0.333251953125,1365/4096,1/3,1,6,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,7,,7,,,,,0.33331298828125,5461/16384,1/3,1,7,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,8,,8,,,,,0.3333282470703125,21845/65536,1/3,1,8,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,9,,9,,,,,0.33333206176757812,87381/262144,1/3,1,9,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,10,,10,,,,,0.33333301544189453,349525/1048576,1/3,1,10,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,11,,11,,,,,0.33333325386047363,1398101/4194304,1/3,1,11,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,12,,12,,,,,0.33333331346511841,5592405/16777216,1/3,1,12,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,13,,13,,,,,0.3333333283662796,22369621/67108864,1/3,1,13,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,14,,14,,,,,0.3333333320915699,89478485/268435456,1/3,1,14,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,15,,15,,,,,0.33333333302289248,357913941/1073741824,1/3,1,15,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
B,16,,16,,,,,0.33333333325572312,1431655765/4294967296,1/3,1,16,,,,,,N_j=8^j; a_j=2^(-j)=N_j^(-1/3),S_J=(1-4^(-J))/3; a_j^3*N_j=1; sum_{j<=J}1=J,exact rational evaluation; finite display is not the divergence proof; NOT CLAY
C,1,,,0.0050000000000000001,0.99501247919268232,,,,,,,,0,0,0.014875746472038244,0.0030012457503473516,0.0073515206810474409,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,2,,,0.0052737709637489718,0.99474011095227044,,,,,,,,0,0,0.015683125290426179,0.0031621133466149974,0.0077455642080512255,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,3,,,0.0055625320356163521,0.99445291019979665,,,,,,,,0,0,0.01653391457901033,0.0033314039075133558,0.0081602397005217653,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,4,,,0.0058671039868713956,0.99415007385657483,,,,,,,,0,0,0.017430402507207839,0.0035095360473748481,0.0085965725499725087,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,5,,,0.0061883525294516382,0.99383075588720471,,,,,,,,0,0,0.018374992706481328,0.0036969466414835859,0.0090556328779307638,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,6,,,0.0065271907766529117,0.99349406506095117,,,,,,,,0,0,0.019370209514223281,0.0038940913239329049,0.0095385367554346179,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,7,,,0.0068845818385524452,0.99313906260317952,,,,,,,,0,0,0.020418703388111525,0.0041014449600420269,0.010046447360212707,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,8,,,0.0072615415595422795,0.99276475973222167,,,,,,,,0,0,0.021523256487947579,0.0043195020866490337,0.010580576055177343,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,9,,,0.0076591414057541,0.99237011507695372,,,,,,,,0,0,0.022686788420549227,0.0045487773127365939,0.011142183369753117,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,10,,,0.0080785115105826907,0.99195403197027132,,,,,,,,0,0,0.023912362141678023,0.004789805671911198,0.01173257986327117,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,11,,,0.0085208438869645679,0.99151535561357851,,,,,,,,0,0,0.025203190007128458,0.0050431429172222804,0.012353126847125612,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,12,,,0.008987395815542332,0.99105287010734411,,,,,,,,0,0,0.026562639963045098,0.0053093657476809258,0.013005236939628767,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,13,,,0.0094794934183452337,0.99056529534273896,,,,,,,,0,0,0.027994241863207439,0.005589071954608984,0.013690374424491836,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,14,,,0.0099985354281437143,0.9900512837493527,,,,,,,,0,0,0.029501693898379457,0.0058828804746051278,0.014410055380564696,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,15,,,0.010545997164191943,0.98950941689399297,,,,,,,,0,0,0.031088869119908519,0.0061914313344641611,0.015165847546916328,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,16,,,0.011123434725658894,0.98893820192561421,,,,,,,,0,0,0.0327598220364528,0.0065153854718066539,0.015959369883468938,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,17,,,0.011732489414667376,0.98833606786149275,,,,,,,,0,0,0.034518795259076425,0.0068554244134780076,0.016792291783239766,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,18,,,0.012374892401512997,0.98770136170988265,,,,,,,,0,0,0.036370226165876436,0.0072122497919465348,0.017666331887763148,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,19,,,0.013052469645323403,0.98703234442454768,,,,,,,,0,0,0.038318753552802877,0.0075865826779677025,0.018583256452458424,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,20,,,0.013767147084144282,0.9863271866867781,,,,,,,,0,0,0.040369224232351085,0.00797916270568985,0.019544877203585359,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,21,,,0.014520956109204286,0.98558396451077679,,,,,,,,0,0,0.042526699536307576,0.0083907469641499449,0.020553048622974385,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,22,,,0.015316039338918961,0.98480065466864275,,,,,,,,0,0,0.04479646167268355,0.0088221086267525652,0.021609664590949401,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,23,,,0.016154656709045562,0.98397512993159875,,,,,,,,0,0,0.047184019880344347,0.0092740352878499313,0.022716654311797646,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
C,24,,,0.017039191896299405,0.98310515412462085,,,,,,,,0,0,0.049695116317575991,0.0097473269729481532,0.023875977439790308,A=B=n=1; t=t_*; x1=x2=pi/3; r=exp(-s),D=(1-r^2)*(1+r^2/2); |Q|=sqrt(6)*(r^3-r^5)/8; divQ=3*(r^3-r^5)/4,"normalized analytic consequence; positivity is proved by formula, not finite sampling; NOT CLAY"
