record_type,family,m,N,q,s,k1,k2,k3,coefficient_sign,coefficient_modulus,r,unscaled_dirichlet_guide,unscaled_rudin_shapiro_guide,unscaled_ratio_guide,scaled_l2_guide,scaled_dirichlet_heat_guide,scaled_rudin_shapiro_heat_guide,scaled_hhalf_guide
positive_fourier_packet,Dirichlet,8,64,2,7,66,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,0,67,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,1,67,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,2,67,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,3,67,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,4,67,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,5,67,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,6,67,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,3,7,67,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,0,68,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,1,68,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,2,68,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,3,68,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,4,68,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,5,68,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,6,68,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,4,7,68,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,0,69,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,1,69,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,2,69,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,3,69,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,4,69,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,5,69,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,6,69,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,5,7,69,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,0,70,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,1,70,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,2,70,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,3,70,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,4,70,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,5,70,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,6,70,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,6,7,70,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,0,71,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,1,71,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,2,71,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,3,71,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,4,71,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,5,71,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,6,71,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Dirichlet,8,64,7,7,71,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,0,64,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,1,64,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,2,64,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,3,64,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,4,64,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,5,64,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,6,64,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,0,7,64,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,0,65,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,1,65,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,2,65,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,3,65,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,4,65,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,5,65,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,6,65,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,1,7,65,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,0,66,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,1,66,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,2,66,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,3,66,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,4,66,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,5,66,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,6,66,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,2,7,66,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,0,67,0,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,1,67,1,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,2,67,2,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,3,67,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,4,67,4,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,5,67,5,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,6,67,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,3,7,67,7,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,0,68,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,1,68,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,2,68,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,3,68,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,4,68,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,5,68,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,6,68,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,4,7,68,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,0,69,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,1,69,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,2,69,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,3,69,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,4,69,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,5,69,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,6,69,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,5,7,69,7,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,0,70,0,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,1,70,1,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,2,70,2,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,3,70,3,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,4,70,4,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,5,70,5,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,6,70,6,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,6,7,70,7,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,0,71,0,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,1,71,1,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,2,71,2,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,3,71,3,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,4,71,4,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,5,71,5,0,1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,6,71,6,0,-1,0.088388347648318433,,,,,,,,
positive_fourier_packet,Rudin-Shapiro,8,64,7,7,71,7,0,1,0.088388347648318433,,,,,,,,
analytic_scaling_guide,,1,8,,,,,,,,0,1,1,1,1,1,1,1
analytic_scaling_guide,,2,16,,,,,,,,1,1.122462048309373,0.70710678118654757,1.5874010519681994,0.89089871814033927,1,0.6299605249474366,1.2599210498948732
analytic_scaling_guide,,4,32,,,,,,,,2,1.2599210498948732,0.5,2.5198420997897464,0.79370052598409979,1,0.3968502629920499,1.5874010519681994
analytic_scaling_guide,,8,64,,,,,,,,3,1.4142135623730949,0.35355339059327379,3.9999999999999996,0.70710678118654757,1,0.25,2
analytic_scaling_guide,,16,128,,,,,,,,4,1.5874010519681994,0.25,6.3496042078727974,0.6299605249474366,1,0.15749013123685915,2.5198420997897464
analytic_scaling_guide,,32,256,,,,,,,,5,1.7817974362806785,0.17677669529663689,10.079368399158984,0.56123102415468651,1,0.099212565748012474,3.1748021039363987
analytic_scaling_guide,,64,512,,,,,,,,6,2,0.125,15.999999999999998,0.5,1,0.062500000000000014,3.9999999999999996
analytic_scaling_guide,,128,1024,,,,,,,,7,2.244924096618746,0.088388347648318447,25.398416831491186,0.44544935907016969,1,0.039372532809214794,5.0396841995794919
analytic_scaling_guide,,256,2048,,,,,,,,8,2.5198420997897464,0.0625,40.317473596635935,0.3968502629920499,1,0.024803141437003122,6.3496042078727974
analytic_scaling_guide,,512,4096,,,,,,,,9,2.8284271247461898,0.044194173824159223,63.999999999999986,0.35355339059327379,1,0.015625000000000003,7.9999999999999991
analytic_scaling_guide,,1024,8192,,,,,,,,10,3.1748021039363987,0.03125,101.59366732596474,0.3149802624737183,1,0.0098431332023036985,10.079368399158984
analytic_scaling_guide,,2048,16384,,,,,,,,11,3.5635948725613571,0.022097086912079612,161.26989438654371,0.28061551207734325,1,0.0062007853592507814,12.699208415745595
analytic_scaling_guide,,4096,32768,,,,,,,,12,3.9999999999999996,0.015625,255.99999999999991,0.25,1,0.0039062500000000009,15.999999999999998
