panel,series,M,N,eta,etaPower,R,x,y,rawValue,referenceValue,unit,formula,evidenceClass,source,note
A,exact minimum-lattice factor M/Ks,65,32,0.0,0.0,0.0,65.0,0.0006939625260235947,0.0006939625260235947,0.0007100591715976331,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,65,32,0.0,0.0,0.0,65.0,0.0007100591715976331,0.0007100591715976331,0.0006939625260235947,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,129,64,0.0,0.0,0.0,129.0,0.0001782001782001782,0.0001782001782001782,0.0001802776275464215,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,129,64,0.0,0.0,0.0,129.0,0.0001802776275464215,0.0001802776275464215,0.0001782001782001782,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,257,128,0.0,0.0,0.0,257.0,4.5156920298035674e-05,4.5156920298035674e-05,4.5420823933746156e-05,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,257,128,0.0,0.0,0.0,257.0,4.5420823933746156e-05,4.5420823933746156e-05,4.5156920298035674e-05,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,513,256,0.0,0.0,0.0,513.0,1.1366262659175037e-05,1.1366262659175037e-05,1.139951894030072e-05,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,513,256,0.0,0.0,0.0,513.0,1.139951894030072e-05,1.139951894030072e-05,1.1366262659175037e-05,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,1025,512,0.0,0.0,0.0,1025.0,2.8512692425033004e-06,2.8512692425033004e-06,2.8554431885782272e-06,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,1025,512,0.0,0.0,0.0,1025.0,2.8554431885782272e-06,2.8554431885782272e-06,2.8512692425033004e-06,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,2049,1024,0.0,0.0,0.0,2049.0,7.140349520109009e-07,7.140349520109009e-07,7.145577566316319e-07,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,2049,1024,0.0,0.0,0.0,2049.0,7.145577566316319e-07,7.145577566316319e-07,7.140349520109009e-07,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,4097,2048,0.0,0.0,0.0,4097.0,1.78661237747189e-07,1.78661237747189e-07,1.7872665479881962e-07,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,4097,2048,0.0,0.0,0.0,4097.0,1.7872665479881962e-07,1.7872665479881962e-07,1.78661237747189e-07,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,8193,4096,0.0,0.0,0.0,8193.0,4.468439035276524e-08,4.468439035276524e-08,4.4692571643197924e-08,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,8193,4096,0.0,0.0,0.0,8193.0,4.4692571643197924e-08,4.4692571643197924e-08,4.468439035276524e-08,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,16385,8192,0.0,0.0,0.0,16385.0,1.1173483856846622e-08,1.1173483856846622e-08,1.1174506778223009e-08,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,16385,8192,0.0,0.0,0.0,16385.0,1.1174506778223009e-08,1.1174506778223009e-08,1.1173483856846622e-08,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,32769,16384,0.0,0.0,0.0,32769.0,2.7936693199649675e-09,2.7936693199649675e-09,2.793797201395791e-09,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,32769,16384,0.0,0.0,0.0,32769.0,2.793797201395791e-09,2.793797201395791e-09,2.7936693199649675e-09,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,65537,32768,0.0,0.0,0.0,65537.0,6.984546289722577e-10,6.984546289722577e-10,6.984706151674171e-10,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,65537,32768,0.0,0.0,0.0,65537.0,6.984706151674171e-10,6.984706151674171e-10,6.984546289722577e-10,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,131073,65536,0.0,0.0,0.0,131073.0,1.7461831989771775e-10,1.7461831989771775e-10,1.74620318235636e-10,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,131073,65536,0.0,0.0,0.0,131073.0,1.74620318235636e-10,1.74620318235636e-10,1.7461831989771775e-10,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,262145,131072,0.0,0.0,0.0,262145.0,4.3655162823888867e-11,4.3655162823888867e-11,4.3655412620098986e-11,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,262145,131072,0.0,0.0,0.0,262145.0,4.3655412620098986e-11,4.3655412620098986e-11,4.3655162823888867e-11,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,524289,262144,0.0,0.0,0.0,524289.0,1.0913863563256414e-11,1.0913863563256414e-11,1.091389478803083e-11,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,524289,262144,0.0,0.0,0.0,524289.0,1.091389478803083e-11,1.091389478803083e-11,1.0913863563256414e-11,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,1048577,524288,0.0,0.0,0.0,1048577.0,2.72847499804349e-12,2.72847499804349e-12,2.7284789011558014e-12,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,1048577,524288,0.0,0.0,0.0,1048577.0,2.7284789011558014e-12,2.7284789011558014e-12,2.72847499804349e-12,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,2097153,1048576,0.0,0.0,0.0,2097153.0,6.821198879188497e-13,6.821198879188497e-13,6.82120375808858e-13,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,2097153,1048576,0.0,0.0,0.0,2097153.0,6.82120375808858e-13,6.82120375808858e-13,6.821198879188497e-13,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,4194305,2097152,0.0,0.0,0.0,4194305.0,1.7053011428097857e-13,1.7053011428097857e-13,1.705301752672902e-13,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,4194305,2097152,0.0,0.0,0.0,4194305.0,1.705301752672902e-13,1.705301752672902e-13,1.7053011428097857e-13,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,8388609,4194304,0.0,0.0,0.0,8388609.0,4.263254635791972e-14,4.263254635791972e-14,4.263255398121246e-14,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,8388609,4194304,0.0,0.0,0.0,8388609.0,4.263255398121246e-14,4.263255398121246e-14,4.263254635791972e-14,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,16777217,8388608,0.0,0.0,0.0,16777217.0,1.0658138812940366e-14,1.0658138812940366e-14,1.0658139765852196e-14,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,16777217,8388608,0.0,0.0,0.0,16777217.0,1.0658139765852196e-14,1.0658139765852196e-14,1.0658138812940366e-14,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,33554433,16777216,0.0,0.0,0.0,33554433.0,2.6645349811677116e-15,2.6645349811677116e-15,2.664535100281705e-15,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,33554433,16777216,0.0,0.0,0.0,33554433.0,2.664535100281705e-15,2.664535100281705e-15,2.6645349811677116e-15,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,67108865,33554432,0.0,0.0,0.0,67108865.0,6.661337800335095e-16,6.661337800335095e-16,6.661337949227596e-16,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,67108865,33554432,0.0,0.0,0.0,67108865.0,6.661337949227596e-16,6.661337949227596e-16,6.661337800335095e-16,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,134217729,67108864,0.0,0.0,0.0,134217729.0,1.6653344935107534e-16,1.6653344935107534e-16,1.6653345121223167e-16,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,134217729,67108864,0.0,0.0,0.0,134217729.0,1.6653345121223167e-16,1.6653345121223167e-16,1.6653344935107534e-16,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,268435457,134217728,0.0,0.0,0.0,268435457.0,4.1633362880606106e-17,4.1633362880606106e-17,4.163336311325064e-17,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,268435457,134217728,0.0,0.0,0.0,268435457.0,4.163336311325064e-17,4.163336311325064e-17,4.1633362880606106e-17,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,536870913,268435456,0.0,0.0,0.0,536870913.0,1.0408340788006184e-17,1.0408340788006184e-17,1.0408340817086751e-17,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,536870913,268435456,0.0,0.0,0.0,536870913.0,1.0408340817086751e-17,1.0408340817086751e-17,1.0408340788006184e-17,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
A,exact minimum-lattice factor M/Ks,1073741825,536870912,0.0,0.0,0.0,1073741825.0,2.602085205483378e-18,2.602085205483378e-18,2.6020852091184492e-18,dimensionless exact lattice factor,M/[M(M+1)(2M+1)/6],exact certified lattice identity,research/certificates/r071z/result.json,minimum over distinct positive integer carrier multipliers
A,analytic upper bound 3/M^2,1073741825,536870912,0.0,0.0,0.0,1073741825.0,2.6020852091184492e-18,2.6020852091184492e-18,2.602085205483378e-18,dimensionless analytic upper bound,3/M^2,exact analytic upper bound,research/certificates/r071z/result.json,not a fitted trend
B,complete-root BV envelope; eta=1,3,1,1.0,0.0,0.0,3.0,1.0,1.2544027032692728,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,3,1,1.0,0.0,0.0,3.0,1.0,1.2544027032692728,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,5,2,1.0,0.0,0.0,5.0,0.4242424242424243,0.5321708438112067,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,5,2,1.0,0.0,0.0,5.0,0.8484848484848486,1.0643416876224134,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,9,4,1.0,0.0,0.0,9.0,0.1473684210526316,0.18485934574494547,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,9,4,1.0,0.0,0.0,9.0,0.5894736842105264,0.7394373829797819,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,17,8,1.0,0.0,0.0,17.0,0.04444444444444445,0.05575123125641213,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,17,8,1.0,0.0,0.0,17.0,0.3555555555555556,0.44600985005129706,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,33,16,1.0,0.0,0.0,33.0,0.012291483757682178,0.015418470452826884,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,33,16,1.0,0.0,0.0,33.0,0.19666374012291485,0.24669552724523014,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,65,32,1.0,0.0,0.0,65.0,0.0032384917881101093,0.004062372853520662,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,65,32,1.0,0.0,0.0,65.0,0.1036317372195235,0.12999593131266118,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,129,64,1.0,0.0,0.0,129.0,0.0008316008316008316,0.0010431623312010586,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,129,64,1.0,0.0,0.0,129.0,0.053222453222453225,0.06676238919686775,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,257,128,1.0,0.0,0.0,257.0,0.0002107322947241665,0.0002643431601681316,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,257,128,1.0,0.0,0.0,257.0,0.026973733724693312,0.03383592450152084,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,513,256,1.0,0.0,0.0,513.0,5.304255907615017e-05,6.653672949344288e-05,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,513,256,1.0,0.0,0.0,513.0,0.013578895123494444,0.017033402750321378,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,1025,512,1.0,0.0,0.0,1025.0,1.3305923131682068e-05,1.6690985945875135e-05,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,1025,512,1.0,0.0,0.0,1025.0,0.006812632643421219,0.00854578480428807,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,2049,1024,1.0,0.0,0.0,2049.0,3.3321631093842044e-06,4.179874412145692e-06,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,2049,1024,1.0,0.0,0.0,2049.0,0.0034121350240094253,0.004280191398037188,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,4097,2048,1.0,0.0,0.0,4097.0,8.337524428202154e-07,1.045861318131038e-06,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,4097,2048,1.0,0.0,0.0,4097.0,0.001707525002895801,0.002141923979532366,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,8193,4096,1.0,0.0,0.0,8193.0,2.0852715497957116e-07,2.6157702691142466e-07,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,8193,4096,1.0,0.0,0.0,8193.0,0.0008541272267963235,0.0010714195022291954,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,16385,8192,1.0,0.0,0.0,16385.0,5.2142924665284235e-08,6.540822565649858e-08,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,16385,8192,1.0,0.0,0.0,16385.0,0.00042715483885800846,0.0005358241845780364,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,32769,16384,1.0,0.0,0.0,32769.0,1.3037123493169848e-08,1.6353802952687604e-08,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,32769,16384,1.0,0.0,0.0,32769.0,0.0002136002313120948,0.0002679407075768337,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,65537,32768,1.0,0.0,0.0,65537.0,3.2594549352038695e-09,4.088669081904106e-09,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,65537,32768,1.0,0.0,0.0,65537.0,0.0001068058193167604,0.00013397750847583375,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,131073,65536,1.0,0.0,0.0,131073.0,8.148854928560163e-10,1.0221945650935005e-09,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,131073,65536,1.0,0.0,0.0,131073.0,5.340433565981188e-05,6.699054301796765e-05,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
B,complete-root BV envelope; eta=1,262145,131072,1.0,0.0,0.0,262145.0,2.0372409317814803e-10,2.555520532037501e-10,1.2544027032692728,upper envelope / common M=3 value,C*CBV(eta)*(M/Ks)*eta^(4/3),exact complete-root theorem envelope,research/certificates/r071z/result.json,bounded observation coupling; complete squared-slope mass
B,prior selected-root envelope; N=(M-1)/2,262145,131072,1.0,0.0,0.0,262145.0,2.6702524341046218e-05,3.3495718717521936e-05,1.2544027032692728,prior upper envelope / common M=3 value,N*C*CBV(eta)*(M/Ks)*eta^(4/3),analytic reconstruction of prior selected-root payment,research/r071y_report-source.md,neutral comparator only; not new R0.71Z evidence
